inst#,actual,predicted,error
1,71,70.438,-0.562
2,74,70.624,-3.376
3,57,55.721,-1.279
4,30,33.335,3.335
5,59,53.879,-5.121
6,73,73.721,0.721
7,19,26.082,7.082
8,59,54.622,-4.378
9,68,62.434,-5.566
10,29,18.476,-10.524
11,72,73.721,1.721
12,48,52.082,4.082
13,48,46.188,-1.812
14,73,74.526,1.526
15,46,44.592,-1.408
16,31,35.579,4.579
17,73,73.677,0.677
18,54,55.084,1.084
19,50,57.223,7.223
20,39,45.276,6.276
21,67,60.3,-6.7
22,56,59.253,3.253
23,62,54.397,-7.603
24,28,21.221,-6.779
25,75,74.456,-0.544
26,60,62.073,2.073
27,62,55.821,-6.179
28,15,15.521,0.521
29,24,26.304,2.304
30,16,17.007,1.007
31,70,66.5,-3.5
32,27,30.498,3.498
33,26,29.944,3.944
34,66,68.756,2.756
35,64,66.651,2.651
36,31,26.621,-4.379
37,39,40.979,1.979
38,6,15.394,9.394
39,32,18.562,-13.438
40,68,66.939,-1.061
41,55,58.4,3.4
42,56,58.611,2.611
43,45,44.643,-0.357
44,34,21.221,-12.779
45,71,70.262,-0.738
46,36,34.985,-1.015
47,53,58.562,5.562
48,50,44.069,-5.931
49,47,49.059,2.059
50,56,50,-6
51,20,23.079,3.079
52,36,42.96,6.96
53,38,35.901,-2.099
54,50,54.622,4.622
55,54,52.175,-1.825
56,72,69.417,-2.583
57,38,46.164,8.164
58,62,62.259,0.259
59,34,36.484,2.484
60,22,28.073,6.073
61,20,18.223,-1.777
62,26,30.444,4.444
63,27,25.752,-1.248
64,69,68.838,-0.162
65,70,69.952,-0.048
66,56,55.893,-0.107
67,32,33.044,1.044
68,29,26.69,-2.31
69,31,23.079,-7.921
70,49,51.348,2.348
71,65,63.925,-1.075
72,52,59.735,7.735
73,67,68.897,1.897
74,39,40.981,1.981
75,54,52.377,-1.623
76,27,26.911,-0.089
77,64,65.634,1.634
78,28,20.914,-7.086
79,53,52.149,-0.851
80,43,50.25,7.25
81,48,48.929,0.929
82,12,18.558,6.558
83,36,33.152,-2.848
84,76,74.006,-1.994
85,14,17.609,3.609
86,71,70.187,-0.813
87,60,60.802,0.802
88,69,69.982,0.982
89,47,51.444,4.444
90,67,69.05,2.05
91,41,43.096,2.096
92,74,74.481,0.481
93,63,58.763,-4.237
94,8,6.02,-1.98
95,45,44.034,-0.966
96,31,35.554,4.554
97,30,29.086,-0.914
98,17,9.982,-7.018
99,28,34.787,6.787
100,63,63.453,0.453
101,64,63.779,-0.221
102,23,28.821,5.821
103,73,69.842,-3.158
104,70,67.185,-2.815
105,64,66.973,2.973
106,6,14.679,8.679
107,64,67.625,3.625
108,64,62.073,-1.927
109,26,25.947,-0.053
110,35,30.989,-4.011
111,63,66.838,3.838
112,64,64.543,0.543
113,67,65.176,-1.824
114,71,58.766,-12.234
115,71,67.443,-3.557
116,72,73.927,1.927
117,70,70.707,0.707
118,33,30.671,-2.329
119,45,45.567,0.567
120,26,22.442,-3.558
121,47,43.087,-3.913
122,65,64.921,-0.079
123,63,62.035,-0.965
124,57,59.253,2.253
125,68,70.306,2.306
126,74,73.721,-0.279
127,16,14.473,-1.527
128,15,23.079,8.079
129,22,26.471,4.471
130,34,30.804,-3.196
131,19,22.871,3.871
132,20,32.578,12.578
133,41,35.905,-5.095
134,34,39.386,5.386
135,47,53.92,6.92
136,35,39.722,4.722
137,46,51.102,5.102
138,36,35.882,-0.118
139,58,50.169,-7.831
140,37,40.789,3.789
141,72,73.14,1.14
142,55,53.121,-1.879
143,53,50.693,-2.307
144,61,59.545,-1.455
145,64,68.106,4.106
146,70,73.927,3.927
147,42,43.864,1.864
148,70,69.138,-0.862
149,41,41.555,0.555
150,67,70.122,3.122
151,10,10.606,0.606
152,62,58.739,-3.261
153,16,17.984,1.984
154,43,45.89,2.89
155,65,65.886,0.886
156,71,70.143,-0.857
157,33,34.464,1.464
158,35,26.372,-8.628
159,70,65.956,-4.044
160,45,46.691,1.691
161,66,66.097,0.097
162,69,70.052,1.052
163,42,43.644,1.644
164,28,32.983,4.983
165,22,19.138,-2.862
166,43,39.929,-3.071
167,69,69.617,0.617
168,46,40.203,-5.797
169,50,55.218,5.218
170,34,28.821,-5.179
171,74,70.64,-3.36
172,49,50.61,1.61
173,65,66.049,1.049
174,53,58.368,5.368
175,70,60.133,-9.867
176,69,69.417,0.417
177,53,42.547,-10.453
178,32,39.978,7.978
179,69,71.29,2.29
180,47,49.611,2.611
181,28,29.817,1.817
182,60,61.065,1.065
183,48,46.718,-1.282
184,66,69.446,3.446
185,62,62.58,0.58
186,64,65.806,1.806
187,45,30.762,-14.238
188,76,74.526,-1.474
189,56,54.111,-1.889
190,43,40.951,-2.049
191,48,51.782,3.782
192,36,31.862,-4.138
193,17,18.259,1.259
194,30,21.396,-8.604
195,70,66.5,-3.5
196,10,11.238,1.238
197,71,70.983,-0.017
198,53,60.133,7.133
199,44,54.328,10.328
200,68,67.65,-0.35
201,45,42.467,-2.533
202,51,52.932,1.932
203,65,51.149,-13.851
204,65,59.374,-5.626
205,4,6.965,2.965
206,33,31.862,-1.138
207,69,70.565,1.565
208,63,51.379,-11.621
209,67,65.956,-1.044
210,17,23.749,6.749
211,35,48.532,13.532
212,39,48.131,9.131
213,78,73.739,-4.261
214,37,39.789,2.789
215,23,21.267,-1.733
216,66,54.275,-11.725
217,57,60.969,3.969
218,45,43.644,-1.356
219,29,29.056,0.056
220,45,46.963,1.963
221,20,24.753,4.753
222,69,65.453,-3.547
223,63,62.073,-0.927
224,64,64.061,0.061
225,30,32.563,2.563
226,23,21.243,-1.757
227,50,49.697,-0.303
228,74,74.006,0.006
229,57,63.585,6.585
230,50,51.622,1.622
231,52,40.918,-11.082
232,58,64.593,6.593
233,28,34.58,6.58
234,63,55.855,-7.145
235,50,49.051,-0.949
236,44,45.895,1.895
237,65,69.446,4.446
238,55,52.266,-2.734
239,56,55.821,-0.179
240,32,36.544,4.544
241,65,59.852,-5.148
242,16,12.811,-3.189
243,50,52.437,2.437
244,65,64.406,-0.594
245,35,46.691,11.691
246,71,70.849,-0.151
247,67,66.57,-0.43
248,41,33.014,-7.986
249,38,38.989,0.989
250,39,36.833,-2.167
251,27,17.898,-9.102
252,44,49.051,5.051
253,60,58.25,-1.75
254,48,42.772,-5.228
255,68,64.71,-3.29
256,44,51.628,7.628
257,44,44.622,0.622
258,32,39.778,7.778
259,24,25.947,1.947
260,44,45.453,1.453
261,48,46.822,-1.178
262,56,48.449,-7.551
263,64,64.771,0.771
264,35,25.339,-9.661
265,29,30.644,1.644
266,44,40.452,-3.548
267,19,19.564,0.564
268,42,40.024,-1.976
269,56,59.57,3.57
270,29,34.628,5.628
271,18,26.063,8.063
272,43,45.641,2.641
273,30,32.525,2.525
274,27,31.451,4.451
275,67,64.724,-2.276
276,0,6.645,6.645
277,61,58.2,-2.8
278,51,50.61,-0.39
279,62,64.011,2.011
280,66,65.806,-0.194
281,74,69.872,-4.128
282,21,18.93,-2.07
283,48,45.718,-2.282
284,36,30.346,-5.654
285,43,42.77,-0.23
286,69,66.715,-2.285
287,42,48.47,6.47
288,53,60.3,7.3
289,44,46.251,2.251
290,41,43.087,2.087
291,47,50.165,3.165
292,26,27.397,1.397
293,64,63.555,-0.445
294,49,46.622,-2.378
295,66,59.997,-6.003
296,16,20.462,4.462
297,31,37.83,6.83
298,41,40.657,-0.343
299,49,47.309,-1.691
300,37,34.987,-2.013
301,65,64.735,-0.265
302,55,54.822,-0.178
303,64,62.536,-1.464
304,36,42.643,6.643
305,23,27.43,4.43
306,50,51.599,1.599
307,51,46.472,-4.528
308,15,18.839,3.839
309,74,74.526,0.526
310,18,14.453,-3.547
311,21,25.652,4.652
312,35,38.47,3.47
313,29,17.759,-11.241
314,44,43.964,-0.036
315,42,51.142,9.142
316,-2,5.72,7.72
317,71,70.453,-0.547
318,72,59.253,-12.747
319,74,67.487,-6.513
320,45,46.834,1.834
321,72,69.016,-2.984
322,61,59.695,-1.305
323,70,69.007,-0.993
324,21,12.811,-8.189
325,63,64.599,1.599
326,32,27.915,-4.085
327,67,65.789,-1.211
328,59,49.649,-9.351
329,54,59.152,5.152
330,41,30.696,-10.304
331,22,27.915,5.915
332,64,60.133,-3.867
333,60,62.259,2.259
334,34,39.053,5.053
335,36,40.787,4.787
336,41,39.781,-1.219
337,30,23.453,-6.547
338,58,55.401,-2.599
339,37,40.515,3.515
340,42,41.348,-0.652
341,67,68.451,1.451
342,23,24.783,1.783
343,19,25.339,6.339
344,33,40.914,7.914
345,59,59.954,0.954
346,43,42.541,-0.459
347,52,52.771,0.771
348,16,18.558,2.558
349,57,62.035,5.035
350,58,49.365,-8.635
351,19,26.69,7.69
352,56,46.718,-9.282
353,45,41.101,-3.899
354,68,68.461,0.461
355,36,34.043,-1.957
356,50,49.535,-0.465
357,10,17.243,7.243
358,37,34.985,-2.015
359,65,63.779,-1.221
360,73,69.844,-3.156
361,55,49.709,-5.291
362,52,53.92,1.92
363,46,31.978,-14.022
364,54,33.429,-20.571
365,49,50.46,1.46
366,42,46.622,4.622
367,62,64.277,2.277
368,58,59.714,1.714
369,76,73.677,-2.323
370,48,46.189,-1.811
371,41,32.39,-8.61
372,32,30.213,-1.787
