inst#,actual,predicted,error
1,71,69.212,-1.788
2,74,69.018,-4.982
3,57,57.171,0.171
4,30,34.45,4.45
5,59,53.903,-5.097
6,73,71.675,-1.325
7,19,26.029,7.029
8,59,54.228,-4.772
9,68,63.898,-4.102
10,29,22.583,-6.417
11,72,71.6,-0.4
12,48,52.964,4.964
13,48,44.84,-3.16
14,73,71.766,-1.234
15,46,45.633,-0.367
16,31,38.347,7.347
17,73,71.646,-1.354
18,54,55.689,1.689
19,50,56.873,6.873
20,39,43.739,4.739
21,67,61.69,-5.31
22,56,61.59,5.59
23,62,54.723,-7.277
24,28,22.925,-5.075
25,75,70.505,-4.495
26,60,62.886,2.886
27,62,58.217,-3.783
28,15,18.039,3.039
29,24,27.578,3.578
30,16,21.854,5.854
31,70,66.516,-3.484
32,27,29.956,2.956
33,26,29.716,3.716
34,66,68.34,2.34
35,64,67.734,3.734
36,31,31.384,0.384
37,39,38.655,-0.345
38,6,17.386,11.386
39,32,21.952,-10.048
40,68,67.187,-0.813
41,55,60.63,5.63
42,56,58.121,2.121
43,45,44.903,-0.097
44,34,22.925,-11.075
45,71,70.835,-0.165
46,36,31.752,-4.248
47,53,57.101,4.101
48,50,41.505,-8.495
49,47,47.591,0.591
50,56,48.293,-7.707
51,20,25.102,5.102
52,36,43.935,7.935
53,38,39.526,1.526
54,50,54.228,4.228
55,54,51.192,-2.808
56,72,68.085,-3.915
57,38,49.262,11.262
58,62,62.387,0.387
59,34,35.646,1.646
60,22,31.369,9.369
61,20,22.254,2.254
62,26,29.258,3.258
63,27,27.729,0.729
64,69,71.213,2.213
65,70,70.686,0.686
66,56,55.419,-0.581
67,32,33.833,1.833
68,29,26.148,-2.852
69,31,25.776,-5.224
70,49,49.575,0.575
71,65,66.034,1.034
72,52,59.6,7.6
73,67,68.988,1.988
74,39,40.131,1.131
75,54,52.693,-1.307
76,27,26.213,-0.787
77,64,65.844,1.844
78,28,23.215,-4.785
79,53,53.405,0.405
80,43,50.254,7.254
81,48,47.388,-0.612
82,12,20.07,8.07
83,36,34.779,-1.221
84,76,72.02,-3.98
85,14,19.217,5.217
86,71,70.345,-0.655
87,60,61.182,1.182
88,69,69.495,0.495
89,47,50.885,3.885
90,67,68.274,1.274
91,41,43.547,2.547
92,74,68.352,-5.648
93,63,59.615,-3.385
94,8,12.273,4.273
95,45,42.218,-2.782
96,31,35.25,4.25
97,30,28.085,-1.915
98,17,12.827,-4.173
99,28,35.268,7.268
100,63,64.904,1.904
101,64,65.302,1.302
102,23,26.366,3.366
103,73,71.031,-1.969
104,70,66.854,-3.146
105,64,65.624,1.624
106,6,16.971,10.971
107,64,68.421,4.421
108,64,62.31,-1.69
109,26,26.688,0.688
110,35,30.732,-4.268
111,63,67.198,4.198
112,64,63.321,-0.679
113,67,64.764,-2.236
114,71,61.792,-9.208
115,71,68.21,-2.79
116,72,71.926,-0.074
117,70,70.153,0.153
118,33,30.954,-2.046
119,45,43.77,-1.23
120,26,23.159,-2.841
121,47,42.585,-4.415
122,65,63.69,-1.31
123,63,62.015,-0.985
124,57,60.655,3.655
125,68,70.25,2.25
126,74,72.086,-1.914
127,16,15.079,-0.921
128,15,25.368,10.368
129,22,25.136,3.136
130,34,32.025,-1.975
131,19,23.617,4.617
132,20,34.581,14.581
133,41,37.152,-3.848
134,34,36.445,2.445
135,47,52.966,5.966
136,35,39.524,4.524
137,46,49.958,3.958
138,36,34.628,-1.372
139,58,49.863,-8.137
140,37,40.12,3.12
141,72,71.831,-0.169
142,55,53.174,-1.826
143,53,50.205,-2.795
144,61,60.47,-0.53
145,64,68.256,4.256
146,70,71.923,1.923
147,42,42.805,0.805
148,70,70.661,0.661
149,41,41.084,0.084
150,67,69.34,2.34
151,10,13.109,3.109
152,62,62.012,0.012
153,16,18.871,2.871
154,43,44.942,1.942
155,65,66.084,1.084
156,71,70.058,-0.942
157,33,32.365,-0.635
158,35,28.727,-6.273
159,70,65.394,-4.606
160,45,44.436,-0.564
161,66,66.943,0.943
162,69,70.302,1.302
163,42,43.333,1.333
164,28,33.005,5.005
165,22,21.2,-0.8
166,43,39.087,-3.913
167,69,70.511,1.511
168,46,39.411,-6.589
169,50,55.261,5.261
170,34,27.184,-6.816
171,74,70.934,-3.066
172,49,49.628,0.628
173,65,66.633,1.633
174,53,60.155,7.155
175,70,61.261,-8.739
176,69,67.223,-1.777
177,53,49.446,-3.554
178,32,37.736,5.736
179,69,70.686,1.686
180,47,45.523,-1.477
181,28,28.777,0.777
182,60,59.09,-0.91
183,48,45.058,-2.942
184,66,67.035,1.035
185,62,63.688,1.688
186,64,64.657,0.657
187,45,34.016,-10.984
