inst#,actual,predicted,error
1,71,70.544,-0.456
2,74,70.102,-3.898
3,57,57.072,0.072
4,30,34.857,4.857
5,59,54.326,-4.674
6,73,75.157,2.157
7,19,28.266,9.266
8,59,52.736,-6.264
9,68,64.214,-3.786
10,29,23.252,-5.748
11,72,74.936,2.936
12,48,51.826,3.826
13,48,43.234,-4.766
14,73,75.072,2.072
15,46,45.703,-0.297
16,31,38.249,7.249
17,73,74.058,1.058
18,54,55.155,1.155
19,50,54.271,4.271
20,39,43.796,4.796
21,67,61.905,-5.095
22,56,62.462,6.462
23,62,54.492,-7.508
24,28,24.723,-3.277
25,75,72.717,-2.283
26,60,63.672,3.672
27,62,58.176,-3.824
28,15,16.366,1.366
29,24,28.633,4.633
30,16,23.182,7.182
31,70,66.594,-3.406
32,27,31.032,4.032
33,26,30.796,4.796
34,66,69.214,3.214
35,64,68.611,4.611
36,31,31.066,0.066
37,39,38.868,-0.132
38,6,16.431,10.431
39,32,22.81,-9.19
40,68,67.407,-0.593
41,55,60.967,5.967
42,56,55.691,-0.309
43,45,46.121,1.121
44,34,24.723,-9.277
45,71,73.41,2.41
46,36,32.217,-3.783
47,53,54.884,1.884
48,50,39.444,-10.556
49,47,46.637,-0.363
50,56,47.365,-8.635
51,20,26.419,6.419
52,36,42.511,6.511
53,38,39.569,1.569
54,50,52.736,2.736
55,54,50.352,-3.648
56,72,68.441,-3.559
57,38,47.475,9.475
58,62,61.7,-0.3
59,34,34.958,0.958
60,22,30.947,8.947
61,20,24.07,4.07
62,26,30.505,4.505
63,27,21.288,-5.712
64,69,75.392,6.392
65,70,73.525,3.525
66,56,55.211,-0.789
67,32,33.521,1.521
68,29,27.789,-1.211
69,31,26.564,-4.436
70,49,48.228,-0.772
71,65,67.627,2.627
72,52,59.024,7.024
73,67,69.615,2.615
74,39,39.986,0.986
75,54,53.173,-0.827
76,27,28.076,1.076
77,64,67.522,3.522
78,28,22.986,-5.014
79,53,51.772,-1.228
80,43,49.198,6.198
81,48,46.255,-1.745
82,12,19.558,7.558
83,36,34.455,-1.545
84,76,77.039,1.039
85,14,16.717,2.717
86,71,71.568,0.568
87,60,61.79,1.79
88,69,69.47,0.47
89,47,49.548,2.548
90,67,67.487,0.487
91,41,43.755,2.755
92,74,70.068,-3.932
93,63,53.754,-9.246
94,8,8.269,0.269
95,45,42.14,-2.86
96,31,34.68,3.68
97,30,29.201,-0.799
98,17,9.594,-7.406
99,28,34.807,6.807
100,63,65.835,2.835
101,64,66.985,2.985
102,23,27.604,4.604
103,73,72.743,-0.257
104,70,67,-3
105,64,65.6,1.6
106,6,14.895,8.895
107,64,69.991,5.991
108,64,63.376,-0.624
109,26,27.523,1.523
110,35,31.549,-3.451
111,63,68.546,5.546
112,64,63.898,-0.102
113,67,64.807,-2.193
114,71,59.018,-11.982
115,71,67.859,-3.141
116,72,74.479,2.479
117,70,71.302,1.302
118,33,30.992,-2.008
119,45,43.153,-1.847
120,26,24.713,-1.287
121,47,41.292,-5.708
122,65,62.674,-2.326
123,63,62.568,-0.432
124,57,61.975,4.975
125,68,70.76,2.76
126,74,75.438,1.438
127,16,13.946,-2.054
128,15,25.606,10.606
129,22,26.113,4.113
130,34,33.863,-0.137
131,19,25.089,6.089
132,20,31.714,11.714
133,41,37.166,-3.834
134,34,36.314,2.314
135,47,51.656,4.656
136,35,39.133,4.133
137,46,48.143,2.143
138,36,33.713,-2.287
139,58,48.785,-9.215
140,37,39.104,2.104
141,72,75.247,3.247
142,55,52.685,-2.315
143,53,48.996,-4.004
144,61,60.194,-0.806
145,64,71.075,7.075
146,70,74.605,4.605
147,42,43.335,1.335
148,70,73.179,3.179
149,41,40.379,-0.621
150,67,70.383,3.383
151,10,11.081,1.081
152,62,59.646,-2.354
153,16,18.202,2.202
154,43,44.563,1.563
155,65,66.473,1.473
156,71,71.683,0.683
157,33,32.804,-0.196
158,35,28.813,-6.187
159,70,65.385,-4.615
160,45,42.421,-2.579
161,66,67.557,1.557
162,69,71.192,2.192
163,42,41.256,-0.744
164,28,33.682,5.682
165,22,22.203,0.203
166,43,40.758,-2.242
167,69,73.535,4.535
168,46,40.613,-5.387
169,50,52.78,2.78
170,34,27.664,-6.336
171,74,72.14,-1.86
172,49,49.599,0.599
173,65,66.875,1.875
174,53,58.879,5.879
175,70,59.636,-10.364
176,69,68.447,-0.553
177,53,46.445,-6.555
178,32,37.597,5.597
179,69,72.135,3.135
180,47,44.605,-2.395
181,28,29.085,1.085
182,60,58.709,-1.291
183,48,44.83,-3.17
184,66,67.598,1.598
185,62,64.957,2.957
186,64,65.003,1.003
187,45,31.398,-13.602
188,76,76.432,0.432
189,56,54.016,-1.984
190,43,40.608,-2.392
191,48,48.113,0.113
192,36,32.372,-3.628
193,17,21.636,4.636
194,30,26.479,-3.521
195,70,66.373,-3.627
196,10,15.166,5.166
197,71,70.464,-0.536
198,53,60.876,7.876
199,44,50.787,6.787
200,68,65.997,-2.003
201,45,39.148,-5.852
202,51,51.4,0.4
203,65,50.35,-14.65
204,65,58.884,-6.116
205,4,11.03,7.03
206,33,31.77,-1.23
207,69,71.417,2.417
208,63,49.914,-13.086
209,67,64.818,-2.182
210,17,26.629,9.629
211,35,43.837,8.837
212,39,47.329,8.329
213,78,80.934,2.934
214,37,39.65,2.65
215,23,24.211,1.211
216,66,53.754,-12.246
217,57,60.545,3.545
218,45,41.332,-3.668
219,29,28.518,-0.482
220,45,45.784,0.784
221,20,25.757,5.757
222,69,65.53,-3.47
223,63,63.893,0.893
224,64,66.669,2.669
225,30,35.163,5.163
226,23,23.979,0.979
227,50,52.086,2.086
228,74,76.396,2.396
229,57,64.37,7.37
230,50,51.325,1.325
231,52,42.129,-9.871
232,58,63.462,5.462
233,28,32.693,4.693
234,63,55.637,-7.363
235,50,46.04,-3.96
236,44,44.414,0.414
237,65,68.04,3.04
238,55,50.772,-4.228
239,56,57.659,1.659
240,32,40.051,8.051
241,65,60.841,-4.159
242,16,13.253,-2.747
243,50,52.209,2.209
244,65,64.636,-0.364
245,35,42.662,7.662
246,71,71.066,0.066
247,67,67.151,0.151
248,41,32.241,-8.759
249,38,38.356,0.356
250,39,35.699,-3.301
251,27,17.861,-9.139
252,44,46.482,2.482
253,60,60.987,0.987
254,48,42.722,-5.278
255,68,65.811,-2.189
256,44,49.147,5.147
257,44,44.209,0.209
258,32,38.325,6.325
259,24,28.146,4.146
260,44,45.569,1.569
261,48,45.196,-2.804
262,56,48.635,-7.365
263,64,64.415,0.415
264,35,26.565,-8.435
265,29,35.438,6.438
266,44,39.434,-4.566
267,19,23.021,4.021
268,42,39.48,-2.52
269,56,59.987,3.987
270,29,35.082,6.082
271,18,26.198,8.198
272,43,42.547,-0.453
273,30,33.968,3.968
274,27,31.735,4.735
275,67,67.677,0.677
276,0,9.594,9.594
277,61,57.398,-3.602
278,51,49.904,-1.096
279,62,62.172,0.172
280,66,64.341,-1.659
281,74,70.253,-3.747
282,21,16.681,-4.319
283,48,41.025,-6.975
284,36,33.747,-2.253
285,43,39.705,-3.295
286,69,65.494,-3.506
287,42,42.059,0.059
288,53,61.303,8.303
289,44,44.76,0.76
290,41,41.292,0.292
291,47,50.401,3.401
292,26,29.656,3.656
293,64,63.642,-0.358
294,49,45.156,-3.844
295,66,55.456,-10.544
296,16,22.348,6.348
297,31,37.462,6.462
298,41,43.233,2.233
299,49,46.392,-2.608
300,37,34.204,-2.796
301,65,65.118,0.118
302,55,54.707,-0.293
303,64,61.379,-2.621
304,36,43.293,7.293
305,23,30.058,7.058
306,50,48.514,-1.486
307,51,43.465,-7.535
308,15,23.187,8.187
309,74,76.853,2.853
310,18,13.093,-4.907
311,21,28.115,7.115
312,35,35.936,0.936
313,29,19.417,-9.583
314,44,43.705,-0.295
315,42,49.618,7.618
316,-2,4.896,6.896
317,71,72.803,1.803
318,72,64.59,-7.41
319,74,68.159,-5.841
320,45,46.115,1.115
321,72,68.436,-3.564
322,61,60.655,-0.345
323,70,71.176,1.176
324,21,12.987,-8.013
325,63,64.671,1.671
326,32,27.403,-4.597
327,67,66.413,-0.587
328,59,47.946,-11.054
329,54,56.254,2.254
330,41,32.658,-8.342
331,22,26.685,4.685
332,64,59.837,-4.163
333,60,62.202,2.202
334,34,36.047,2.047
335,36,40.514,4.514
336,41,37.376,-3.624
337,30,26.53,-3.47
338,58,55.712,-2.288
339,37,37.382,0.382
340,42,42.588,0.588
341,67,67.432,0.432
342,23,26.093,3.093
343,19,26.565,7.565
344,33,39.028,6.028
345,59,58.026,-0.974
346,43,42.857,-0.143
347,52,51.135,-0.865
348,16,20.948,4.948
349,57,62.568,5.568
350,58,49.126,-8.874
351,19,28.432,9.432
352,56,44.629,-11.371
353,45,41.567,-3.433
354,68,75.096,7.096
355,36,34.053,-1.947
356,50,48.147,-1.853
357,10,14.143,4.143
358,37,33.617,-3.383
359,65,66.342,1.342
360,73,70.655,-2.345
361,55,48.328,-6.672
362,52,51.656,-0.344
363,46,33.019,-12.981
364,54,36.883,-17.117
365,49,46.311,-2.689
366,42,45.598,3.598
367,62,65.329,3.329
368,58,59.14,1.14
369,76,72.457,-3.543
370,48,43.982,-4.018
371,41,30.168,-10.832
372,32,29.632,-2.368
