inst#,actual,predicted,error
1,71,71.165,0.165
2,74,70.912,-3.088
3,57,59.864,2.864
4,30,35.428,5.428
5,59,57.503,-1.497
6,73,75.831,2.831
7,19,27.542,8.542
8,59,55.84,-3.16
9,68,66.152,-1.848
10,29,22.611,-6.389
11,72,75.711,3.711
12,48,55.316,7.316
13,48,45.37,-2.63
14,73,75.438,2.438
15,46,48.883,2.883
16,31,39.896,8.896
17,73,74.395,1.395
18,54,58.178,4.178
19,50,57.515,7.515
20,39,46.46,7.46
21,67,64.388,-2.612
22,56,64.708,8.708
23,62,57.541,-4.459
24,28,23.719,-4.281
25,75,73.051,-1.949
26,60,65.352,5.352
27,62,60.794,-1.206
28,15,15.998,0.998
29,24,28.131,4.131
30,16,22.307,6.307
31,70,68.457,-1.543
32,27,30.488,3.488
33,26,30.539,4.539
34,66,70.056,4.056
35,64,69.742,5.742
36,31,31.227,0.227
37,39,40.039,1.039
38,6,16.565,10.565
39,32,22.084,-9.916
40,68,69.175,1.175
41,55,63.587,8.587
42,56,58.834,2.834
43,45,48.242,3.242
44,34,23.719,-10.281
45,71,73.429,2.429
46,36,31.574,-4.426
47,53,58.038,5.038
48,50,41.037,-8.963
49,47,49.39,2.39
50,56,50.252,-5.748
51,20,25.66,5.66
52,36,44.933,8.933
53,38,41.394,3.394
54,50,55.84,5.84
55,54,53.336,-0.664
56,72,70.042,-1.958
57,38,50.791,12.791
58,62,64.168,2.168
59,34,35.038,1.038
60,22,30.517,8.517
61,20,22.976,2.976
62,26,29.82,3.82
63,27,21.634,-5.366
64,69,75.261,6.261
65,70,73.337,3.337
66,56,58.139,2.139
67,32,34.326,2.326
68,29,27.196,-1.804
69,31,25.997,-5.003
70,49,51.277,2.277
71,65,68.52,3.52
72,52,61.759,9.759
73,67,70.529,3.529
74,39,42.155,3.155
75,54,56.059,2.059
76,27,27.366,0.366
77,64,68.347,4.347
78,28,22.509,-5.491
79,53,55.033,2.033
80,43,52.002,9.002
81,48,49.16,1.16
82,12,18.717,6.717
83,36,35.073,-0.927
84,76,76.635,0.635
85,14,16.714,2.714
86,71,72.283,1.283
87,60,64.106,4.106
88,69,70.558,1.558
89,47,52.65,5.65
90,67,69.167,2.167
91,41,47.013,6.013
92,74,71.523,-2.477
93,63,57.232,-5.768
94,8,11.521,3.521
95,45,43.809,-1.191
96,31,35.79,4.79
97,30,28.077,-1.923
98,17,12.323,-4.677
99,28,35.123,7.123
100,63,67.28,4.28
101,64,68.038,4.038
102,23,26.586,3.586
103,73,73.833,0.833
104,70,68.425,-1.575
105,64,67.438,3.438
106,6,15.259,9.259
107,64,70.771,6.771
108,64,65.109,1.109
109,26,27.071,1.071
110,35,31.074,-3.926
111,63,69.359,6.359
112,64,65.651,1.651
113,67,66.677,-0.323
114,71,61.974,-9.026
115,71,69.603,-1.397
116,72,74.784,2.784
117,70,72.011,2.011
118,33,30.278,-2.722
119,45,45.647,0.647
120,26,23.644,-2.356
121,47,43.127,-3.873
122,65,65.206,0.206
123,63,64.589,1.589
124,57,64.095,7.095
125,68,71.952,3.952
126,74,75.458,1.458
127,16,14.583,-1.417
128,15,24.892,9.892
129,22,25.283,3.283
130,34,34.432,0.432
131,19,24.319,5.319
132,20,31.616,11.616
133,41,38.29,-2.71
134,34,36.203,2.203
135,47,54.778,7.778
136,35,41.083,6.083
137,46,51.18,5.18
138,36,33.596,-2.404
139,58,51.916,-6.084
140,37,40.035,3.035
141,72,75.357,3.357
142,55,55.927,0.927
143,53,52.221,-0.779
144,61,62.597,1.597
145,64,71.501,7.501
146,70,74.851,4.851
147,42,45.068,3.068
148,70,73.615,3.615
149,41,41.671,0.671
150,67,71.103,4.103
151,10,12.729,2.729
152,62,62.592,0.592
153,16,17.931,1.931
154,43,47.495,4.495
155,65,67.881,2.881
156,71,72.202,1.202
157,33,32.577,-0.423
158,35,29.154,-5.846
159,70,67.523,-2.477
160,45,44.492,-0.508
161,66,68.654,2.654
162,69,72.501,3.501
163,42,43.339,1.339
164,28,34.324,6.324
165,22,21.177,-0.823
166,43,43.663,0.663
167,69,73.497,4.497
168,46,43.319,-2.681
169,50,56.146,6.146
170,34,26.894,-7.106
171,74,73.032,-0.968
172,49,52.277,3.277
173,65,68.332,3.332
174,53,61.644,8.644
175,70,62.479,-7.521
176,69,70.381,1.381
177,53,50.113,-2.887
178,32,38.841,6.841
179,69,72.603,3.603
180,47,46.977,-0.023
181,28,27.917,-0.083
182,60,61.455,1.455
183,48,47.593,-0.407
184,66,69.272,3.272
185,62,66.334,4.334
186,64,66.978,2.978
187,45,31.238,-13.762
188,76,76.691,0.691
189,56,56.952,0.952
190,43,42.904,-0.096
191,48,51.165,3.165
192,36,32.028,-3.972
193,17,20.522,3.522
194,30,25.964,-4.036
195,70,68.311,-1.689
196,10,15.632,5.632
197,71,71.648,0.648
198,53,63.315,10.315
199,44,54.205,10.205
200,68,68.01,0.01
201,45,40.752,-4.248
202,51,54.595,3.595
203,65,53.873,-11.127
204,65,61.667,-3.333
205,4,13.082,9.082
206,33,31.391,-1.609
207,69,71.933,2.933
208,63,53.153,-9.847
209,67,67.103,0.103
210,17,26.769,9.769
211,35,46.043,11.043
212,39,50.516,11.516
213,78,81.021,3.021
214,37,41.681,4.681
215,23,22.816,-0.184
216,66,56.852,-9.148
217,57,62.946,5.946
218,45,43.309,-1.691
219,29,27.072,-1.928
220,45,48.555,3.555
221,20,24.745,4.745
222,69,67.544,-1.456
223,63,65.5,2.5
224,64,67.859,3.859
225,30,35.805,5.805
226,23,23.351,0.351
227,50,55.928,5.928
228,74,76.129,2.129
229,57,66.009,9.009
230,50,54.582,4.582
231,52,45.263,-6.737
232,58,65.815,7.815
233,28,32.882,4.882
234,63,58.538,-4.462
235,50,48.562,-1.438
236,44,46.857,2.857
237,65,69.554,4.554
238,55,54.167,-0.833
239,56,60.379,4.379
240,32,42.219,10.219
241,65,63.463,-1.537
242,16,14.498,-1.502
243,50,55.235,5.235
244,65,66.203,1.203
245,35,44.885,9.885
246,71,72.422,1.422
247,67,68.699,1.699
248,41,33.1,-7.9
249,38,38.998,0.998
250,39,37.364,-1.636
251,27,17.887,-9.113
252,44,49.134,5.134
253,60,63.548,3.548
254,48,45.139,-2.861
255,68,67.452,-0.548
256,44,52.228,8.228
257,44,46.185,2.185
258,32,39.765,7.765
259,24,27.762,3.762
260,44,47.809,3.809
261,48,48.186,0.186
262,56,51.442,-4.558
263,64,66.056,2.056
264,35,25.94,-9.06
265,29,36.903,7.903
266,44,40.939,-3.061
267,19,22.324,3.324
268,42,40.811,-1.189
269,56,62.369,6.369
270,29,36.223,7.223
271,18,25.315,7.315
272,43,44.625,1.625
273,30,34.587,4.587
274,27,31.65,4.65
275,67,68.476,1.476
276,0,12.346,12.346
277,61,60.201,-0.799
278,51,53.054,2.054
279,62,64.289,2.289
280,66,66.511,0.511
281,74,71.242,-2.758
282,21,16.897,-4.103
283,48,43.032,-4.968
284,36,34.263,-1.737
285,43,41.549,-1.451
