inst#,actual,predicted,error
1,71,47.079,-23.921
2,74,47.079,-26.921
3,57,47.079,-9.921
4,30,47.079,17.079
5,59,47.079,-11.921
6,73,47.079,-25.921
7,19,47.079,28.079
8,59,47.079,-11.921
9,68,47.079,-20.921
10,29,47.079,18.079
11,72,47.079,-24.921
12,48,47.079,-0.921
13,48,47.079,-0.921
14,73,47.079,-25.921
15,46,47.079,1.079
16,31,47.079,16.079
17,73,47.079,-25.921
18,54,47.079,-6.921
19,50,47.079,-2.921
20,39,47.079,8.079
21,67,47.079,-19.921
22,56,47.079,-8.921
23,62,47.079,-14.921
24,28,47.079,19.079
25,75,47.079,-27.921
26,60,47.079,-12.921
27,62,47.079,-14.921
28,15,47.079,32.079
29,24,47.079,23.079
30,16,47.079,31.079
31,70,47.079,-22.921
32,27,47.079,20.079
33,26,47.079,21.079
34,66,47.079,-18.921
35,64,47.079,-16.921
36,31,47.079,16.079
37,39,47.079,8.079
38,6,47.079,41.079
39,32,47.079,15.079
40,68,47.079,-20.921
41,55,47.079,-7.921
42,56,47.079,-8.921
43,45,47.079,2.079
44,34,47.079,13.079
45,71,47.079,-23.921
46,36,47.079,11.079
47,53,47.079,-5.921
48,50,47.079,-2.921
49,47,47.079,0.079
50,56,47.079,-8.921
51,20,47.079,27.079
52,36,47.079,11.079
53,38,47.079,9.079
54,50,47.079,-2.921
55,54,47.079,-6.921
56,72,47.079,-24.921
57,38,47.079,9.079
58,62,47.079,-14.921
59,34,47.079,13.079
60,22,47.079,25.079
61,20,47.079,27.079
62,26,47.079,21.079
63,27,47.079,20.079
64,69,47.079,-21.921
65,70,47.079,-22.921
66,56,47.079,-8.921
67,32,47.079,15.079
68,29,47.079,18.079
69,31,47.079,16.079
70,49,47.079,-1.921
71,65,47.079,-17.921
72,52,47.079,-4.921
73,67,47.079,-19.921
74,39,47.079,8.079
75,54,47.079,-6.921
76,27,47.079,20.079
77,64,47.079,-16.921
78,28,47.079,19.079
79,53,47.079,-5.921
80,43,47.079,4.079
81,48,47.079,-0.921
82,12,47.079,35.079
83,36,47.079,11.079
84,76,47.079,-28.921
85,14,47.079,33.079
86,71,47.079,-23.921
87,60,47.079,-12.921
88,69,47.079,-21.921
89,47,47.079,0.079
90,67,47.079,-19.921
91,41,47.079,6.079
92,74,47.079,-26.921
93,63,47.079,-15.921
94,8,47.079,39.079
95,45,47.079,2.079
96,31,47.079,16.079
97,30,47.079,17.079
98,17,47.079,30.079
99,28,47.079,19.079
100,63,47.079,-15.921
101,64,47.079,-16.921
102,23,47.079,24.079
103,73,47.079,-25.921
104,70,47.079,-22.921
105,64,47.079,-16.921
106,6,47.079,41.079
107,64,47.079,-16.921
108,64,47.079,-16.921
109,26,47.079,21.079
110,35,47.079,12.079
111,63,47.079,-15.921
112,64,47.079,-16.921
113,67,47.079,-19.921
114,71,47.079,-23.921
115,71,47.079,-23.921
116,72,47.079,-24.921
117,70,47.079,-22.921
118,33,47.079,14.079
119,45,47.079,2.079
120,26,47.079,21.079
121,47,47.079,0.079
122,65,47.079,-17.921
123,63,47.079,-15.921
124,57,47.079,-9.921
125,68,47.079,-20.921
126,74,47.079,-26.921
127,16,47.079,31.079
128,15,47.079,32.079
129,22,47.079,25.079
130,34,47.079,13.079
131,19,47.079,28.079
132,20,47.079,27.079
133,41,47.079,6.079
134,34,47.079,13.079
135,47,47.079,0.079
136,35,47.079,12.079
137,46,47.079,1.079
138,36,47.079,11.079
139,58,47.079,-10.921
140,37,47.079,10.079
141,72,47.079,-24.921
142,55,47.079,-7.921
143,53,47.079,-5.921
144,61,47.079,-13.921
145,64,47.079,-16.921
146,70,47.079,-22.921
147,42,47.079,5.079
148,70,47.079,-22.921
149,41,47.079,6.079
150,67,47.079,-19.921
151,10,47.079,37.079
152,62,47.079,-14.921
153,16,47.079,31.079
154,43,47.079,4.079
155,65,47.079,-17.921
156,71,47.079,-23.921
157,33,47.079,14.079
158,35,47.079,12.079
159,70,47.079,-22.921
160,45,47.079,2.079
161,66,47.079,-18.921
162,69,47.079,-21.921
163,42,47.079,5.079
164,28,47.079,19.079
165,22,47.079,25.079
166,43,47.079,4.079
167,69,47.079,-21.921
168,46,47.079,1.079
169,50,47.079,-2.921
170,34,47.079,13.079
171,74,47.079,-26.921
172,49,47.079,-1.921
173,65,47.079,-17.921
174,53,47.079,-5.921
175,70,47.079,-22.921
176,69,47.079,-21.921
177,53,47.079,-5.921
178,32,47.079,15.079
179,69,47.079,-21.921
180,47,47.079,0.079
181,28,47.079,19.079
182,60,47.079,-12.921
183,48,47.079,-0.921
184,66,47.079,-18.921
185,62,47.079,-14.921
186,64,47.079,-16.921
187,45,47.079,2.079
188,76,47.079,-28.921
189,56,47.079,-8.921
190,43,47.079,4.079
191,48,47.079,-0.921
192,36,47.079,11.079
193,17,47.079,30.079
194,30,47.079,17.079
195,70,47.079,-22.921
196,10,47.079,37.079
197,71,47.079,-23.921
198,53,47.079,-5.921
199,44,47.079,3.079
200,68,47.079,-20.921
201,45,47.079,2.079
202,51,47.079,-3.921
203,65,47.079,-17.921
204,65,47.079,-17.921
205,4,47.079,43.079
206,33,47.079,14.079
207,69,47.079,-21.921
208,63,47.079,-15.921
209,67,47.079,-19.921
210,17,47.079,30.079
211,35,47.079,12.079
212,39,47.079,8.079
213,78,47.079,-30.921
214,37,47.079,10.079
215,23,47.079,24.079
216,66,47.079,-18.921
217,57,47.079,-9.921
218,45,47.079,2.079
219,29,47.079,18.079
220,45,47.079,2.079
221,20,47.079,27.079
222,69,47.079,-21.921
223,63,47.079,-15.921
224,64,47.079,-16.921
225,30,47.079,17.079
226,23,47.079,24.079
227,50,47.079,-2.921
228,74,47.079,-26.921
229,57,47.079,-9.921
230,50,47.079,-2.921
231,52,47.079,-4.921
232,58,47.079,-10.921
233,28,47.079,19.079
234,63,47.079,-15.921
235,50,47.079,-2.921
236,44,47.079,3.079
