inst#,actual,predicted,error
1,71,69.167,-1.833
2,74,69.167,-4.833
3,57,51.301,-5.699
4,30,29.186,-0.814
5,59,51.301,-7.699
6,73,72.675,-0.325
7,19,22.199,3.199
8,59,51.992,-7.008
9,68,63.47,-4.53
10,29,20.592,-8.408
11,72,72.675,0.675
12,48,51.301,3.301
13,48,51.301,3.301
14,73,72.675,-0.325
15,46,44.78,-1.22
16,31,35.818,4.818
17,73,72.675,-0.325
18,54,51.301,-2.699
19,50,51.992,1.992
20,39,51.301,12.301
21,67,59.346,-7.654
22,56,59.346,3.346
23,62,51.301,-10.699
24,28,20.719,-7.281
25,75,72.675,-2.325
26,60,63.47,3.47
27,62,51.301,-10.699
28,15,20.543,5.543
29,24,25.66,1.66
30,16,12.167,-3.833
31,70,66.51,-3.49
32,27,30.144,3.144
33,26,28.172,2.172
34,66,66.51,0.51
35,64,66.51,2.51
36,31,35.91,4.91
37,39,43.506,4.506
38,6,13.346,7.346
39,32,20.592,-11.408
40,68,66.51,-1.49
41,55,59.346,4.346
42,56,51.992,-4.008
43,45,42.927,-2.073
44,34,20.719,-13.281
45,71,66.425,-4.575
46,36,28.13,-7.87
47,53,51.992,-1.008
48,50,43.446,-6.554
49,47,51.301,4.301
50,56,51.301,-4.699
51,20,22.67,2.67
52,36,44.78,8.78
53,38,41.11,3.11
54,50,51.992,1.992
55,54,51.301,-2.699
56,72,69.167,-2.833
57,38,44.78,6.78
58,62,63.47,1.47
59,34,36.961,2.961
60,22,28.13,6.13
61,20,20.592,0.592
62,26,30.144,4.144
63,27,25.66,-1.34
64,69,66.425,-2.575
65,70,66.425,-3.575
66,56,51.372,-4.628
67,32,29.978,-2.022
68,29,28.172,-0.828
69,31,22.67,-8.33
70,49,51.301,2.301
71,65,66.51,1.51
72,52,60.086,8.086
73,67,66.51,-0.49
74,39,38.706,-0.294
75,54,51.301,-2.699
76,27,22.199,-4.801
77,64,66.51,2.51
78,28,20.592,-7.408
79,53,51.992,-1.008
80,43,51.992,8.992
81,48,51.301,3.301
82,12,20.543,8.543
83,36,33.057,-2.943
84,76,72.675,-3.325
85,14,13.346,-0.654
86,71,71.883,0.883
87,60,63.47,3.47
88,69,69.167,0.167
89,47,51.301,4.301
90,67,66.51,-0.49
91,41,43.506,2.506
92,74,72.675,-1.325
93,63,60.509,-2.491
94,8,6.033,-1.967
95,45,42.927,-2.073
96,31,33.409,2.409
97,30,30.144,0.144
98,17,10.633,-6.367
99,28,38.834,10.834
100,63,63.47,0.47
101,64,66.51,2.51
102,23,20.719,-2.281
103,73,66.425,-6.575
104,70,66.51,-3.49
105,64,66.51,2.51
106,6,13.346,7.346
107,64,66.51,2.51
108,64,63.47,-0.53
109,26,28.172,2.172
110,35,30.144,-4.856
111,63,66.51,3.51
112,64,66.51,2.51
113,67,63.47,-3.53
114,71,60.509,-10.491
115,71,66.51,-4.49
116,72,72.675,0.675
117,70,66.51,-3.49
118,33,30.144,-2.856
119,45,51.301,6.301
120,26,20.719,-5.281
121,47,51.372,4.372
122,65,66.51,1.51
123,63,63.47,0.47
124,57,59.346,2.346
125,68,71.883,3.883
126,74,72.675,-1.325
127,16,13.346,-2.654
128,15,22.67,7.67
129,22,31.82,9.82
130,34,29.186,-4.814
131,19,20.149,1.149
132,20,40.923,20.923
133,41,36.961,-4.039
134,34,51.372,17.372
135,47,51.301,4.301
136,35,36.961,1.961
137,46,51.301,5.301
138,36,30.144,-5.856
139,58,51.301,-6.699
140,37,51.372,14.372
141,72,72.675,0.675
142,55,51.301,-3.699
143,53,51.301,-1.699
144,61,59.346,-1.654
145,64,66.51,2.51
146,70,72.675,2.675
147,42,42.927,0.927
148,70,66.425,-3.575
149,41,42.927,1.927
150,67,66.51,-0.49
151,10,13.346,3.346
152,62,60.509,-1.491
153,16,22.809,6.809
154,43,44.78,1.78
155,65,66.51,1.51
156,71,69.167,-1.833
157,33,38.834,5.834
158,35,28.172,-6.828
159,70,66.51,-3.49
160,45,44.78,-0.22
161,66,66.51,0.51
162,69,66.425,-2.575
163,42,43.506,1.506
164,28,33.057,5.057
165,22,20.543,-1.457
166,43,36.961,-6.039
167,69,66.425,-2.575
168,46,38.706,-7.294
169,50,51.992,1.992
170,34,31.82,-2.18
171,74,71.883,-2.117
172,49,51.301,2.301
173,65,66.51,1.51
174,53,59.346,6.346
175,70,60.086,-9.914
176,69,69.167,0.167
177,53,51.992,-1.008
178,32,38.706,6.706
179,69,71.883,2.883
180,47,51.301,4.301
181,28,30.144,2.144
182,60,58.818,-1.182
183,48,51.301,3.301
184,66,69.167,3.167
185,62,63.47,1.47
186,64,66.51,2.51
187,45,35.91,-9.09
188,76,72.675,-3.325
189,56,51.372,-4.628
190,43,38.706,-4.294
191,48,51.301,3.301
192,36,30.144,-5.856
193,17,20.543,3.543
194,30,23.843,-6.157
195,70,66.51,-3.49
196,10,6.033,-3.967
197,71,71.883,0.883
198,53,60.086,7.086
199,44,51.992,7.992
200,68,69.167,1.167
201,45,43.446,-1.554
202,51,51.301,0.301
203,65,51.301,-13.699
204,65,59.346,-5.654
205,4,6.033,2.033
206,33,30.144,-2.856
207,69,71.883,2.883
208,63,51.301,-11.699
209,67,66.51,-0.49
210,17,20.592,3.592
211,35,51.301,16.301
212,39,51.301,12.301
213,78,72.675,-5.325
214,37,38.706,1.706
215,23,20.719,-2.281
216,66,51.301,-14.699
217,57,63.47,6.47
218,45,51.372,6.372
219,29,30.144,1.144
220,45,51.301,6.301
221,20,20.719,0.719
222,69,66.51,-2.49
223,63,63.47,0.47
224,64,66.51,2.51
225,30,29.186,-0.814
226,23,20.592,-2.408
227,50,60.509,10.509
228,74,72.675,-1.325
229,57,63.47,6.47
230,50,51.301,1.301
231,52,43.506,-8.494
232,58,63.47,5.47
233,28,33.409,5.409
234,63,59.346,-3.654
235,50,51.301,1.301
236,44,51.301,7.301
237,65,69.167,4.167
238,55,51.301,-3.699
239,56,51.301,-4.699
240,32,41.11,9.11
241,65,59.346,-5.654
242,16,13.346,-2.654
243,50,51.301,1.301
244,65,66.51,1.51
245,35,44.78,9.78
246,71,71.883,0.883
247,67,66.51,-0.49
248,41,28.172,-12.828
249,38,35.52,-2.48
250,39,28.13,-10.87
251,27,25.66,-1.34
252,44,51.301,7.301
253,60,59.346,-0.654
254,48,44.78,-3.22
255,68,66.51,-1.49
256,44,51.301,7.301
257,44,42.927,-1.073
258,32,38.706,6.706
259,24,28.172,4.172
260,44,42.927,-1.073
261,48,51.301,3.301
262,56,51.301,-4.699
263,64,66.51,2.51
264,35,22.199,-12.801
