inst#,actual,predicted,error
1,71,69.375,-1.625
2,74,72.333,-1.667
3,57,55.842,-1.158
4,30,33.545,3.545
5,59,55.842,-3.158
6,73,74.071,1.071
7,19,25.879,6.879
8,59,58.413,-0.587
9,68,65,-3
10,29,24.034,-4.966
11,72,74.071,2.071
12,48,53.333,5.333
13,48,44.885,-3.115
14,73,74.071,1.071
15,46,44.885,-1.115
16,31,35.538,4.538
17,73,74.071,1.071
18,54,55.842,1.842
19,50,58.413,8.413
20,39,44.885,5.885
21,67,58.413,-8.587
22,56,58.413,2.413
23,62,55.842,-6.158
24,28,19.2,-8.8
25,75,74.071,-0.929
26,60,65,5
27,62,55.842,-6.158
28,15,19.2,4.2
29,24,32.875,8.875
30,16,24.034,8.034
31,70,66.813,-3.188
32,27,25.879,-1.121
33,26,25.879,-0.121
34,66,69.375,3.375
35,64,66.813,2.813
36,31,34.917,3.917
37,39,40.833,1.833
38,6,19.2,13.2
39,32,24.034,-7.966
40,68,68.833,0.833
41,55,58.413,3.413
42,56,58.413,2.413
43,45,41.833,-3.167
44,34,19.2,-14.8
45,71,72,1
46,36,34.9,-1.1
47,53,58.413,5.413
48,50,44.885,-5.115
49,47,47.667,0.667
50,56,55.6,-0.4
51,20,25.879,5.879
52,36,44.885,8.885
53,38,35.538,-2.462
54,50,58.413,8.413
55,54,51.5,-2.5
56,72,68.833,-3.167
57,38,44.885,6.885
58,62,61.6,-0.4
59,34,34.9,0.9
60,22,33,11
61,20,19.2,-0.8
62,26,34.333,8.333
63,27,24.034,-2.966
64,69,67.75,-1.25
65,70,69.375,-0.625
66,56,58.413,2.413
67,32,25.879,-6.121
68,29,25.879,-3.121
69,31,25.879,-5.121
70,49,55.6,6.6
71,65,66.813,1.813
72,52,58.413,6.413
73,67,69.375,2.375
74,39,44.885,5.885
75,54,51.5,-2.5
76,27,32.875,5.875
77,64,66.813,2.813
78,28,24.034,-3.966
79,53,58.413,5.413
80,43,58.413,15.413
81,48,44.885,-3.115
82,12,19.2,7.2
83,36,34.917,-1.083
