inst#,actual,predicted,error
1,71,70.459,-0.541
2,74,70.889,-3.111
3,57,56.609,-0.391
4,30,33.907,3.907
5,59,54.752,-4.248
6,73,73.72,0.72
7,19,21.108,2.108
8,59,55.756,-3.244
9,68,63.388,-4.612
10,29,22.215,-6.785
11,72,73.63,1.63
12,48,52.138,4.138
13,48,45.538,-2.462
14,73,74.888,1.888
15,46,46.374,0.374
16,31,35.538,4.538
17,73,73.314,0.314
18,54,54.459,0.459
19,50,53.093,3.093
20,39,44.287,5.287
21,67,60.889,-6.111
22,56,60.899,4.899
23,62,53.921,-8.079
24,28,22.026,-5.974
25,75,75.837,0.837
26,60,62.971,2.971
27,62,56.263,-5.737
28,15,16.512,1.512
29,24,28.401,4.401
30,16,13.03,-2.97
31,70,66.158,-3.842
32,27,30.535,3.535
33,26,31.382,5.382
34,66,68.529,2.529
35,64,66.411,2.411
36,31,28.188,-2.812
37,39,39.738,0.738
38,6,15.414,9.414
39,32,21.889,-10.111
40,68,68.181,0.181
41,55,56.59,1.59
42,56,56.535,0.535
43,45,44.942,-0.058
44,34,22.026,-11.974
45,71,69.663,-1.337
46,36,31.396,-4.604
47,53,55.722,2.722
48,50,46.076,-3.924
49,47,48.656,1.656
50,56,47.058,-8.942
51,20,21.824,1.824
52,36,44.45,8.45
53,38,38.069,0.069
54,50,55.756,5.756
55,54,51.936,-2.064
56,72,69.296,-2.704
57,38,49.44,11.44
58,62,62.292,0.292
59,34,35.273,1.273
60,22,31.84,9.84
61,20,17.784,-2.216
62,26,30.874,4.874
63,27,22.236,-4.764
64,69,68.527,-0.473
65,70,70.813,0.813
66,56,54.297,-1.703
67,32,35.798,3.798
68,29,27.671,-1.329
69,31,18.255,-12.745
70,49,49.204,0.204
71,65,64.633,-0.367
72,52,60.535,8.535
73,67,68.027,1.027
74,39,39.988,0.988
75,54,52.717,-1.283
76,27,27.515,0.515
77,64,67.17,3.17
78,28,22.512,-5.488
79,53,53.115,0.115
80,43,50.368,7.368
81,48,47.424,-0.576
82,12,19.432,7.432
83,36,34.111,-1.889
84,76,74.544,-1.456
85,14,19.191,5.191
86,71,69.616,-1.384
87,60,60.53,0.53
88,69,72.561,3.561
89,47,51.203,4.203
90,67,70.346,3.346
91,41,42.844,1.844
92,74,74.69,0.69
93,63,59.35,-3.65
94,8,5.44,-2.56
95,45,42.47,-2.53
96,31,34.606,3.606
97,30,29.251,-0.749
98,17,9.608,-7.392
99,28,34.716,6.716
100,63,64.911,1.911
101,64,62.058,-1.942
102,23,25.606,2.606
103,73,70.055,-2.945
104,70,67.311,-2.689
105,64,67.164,3.164
106,6,14.891,8.891
107,64,66.593,2.593
108,64,62.158,-1.842
109,26,28.461,2.461
110,35,32.06,-2.94
111,63,67.306,4.306
112,64,65.658,1.658
113,67,66.989,-0.011
114,71,60.46,-10.54
115,71,66.995,-4.005
116,72,74.308,2.308
117,70,72.175,2.175
118,33,31.31,-1.69
119,45,44.411,-0.589
120,26,21.657,-4.343
121,47,44.328,-2.672
122,65,64.185,-0.815
123,63,62.316,-0.684
124,57,57.912,0.912
125,68,71.216,3.216
126,74,74.046,0.046
127,16,13.07,-2.93
128,15,21.885,6.885
129,22,26.522,4.522
130,34,28.375,-5.625
131,19,22.457,3.457
132,20,38.968,18.968
133,41,36.086,-4.914
134,34,38.479,4.479
135,47,54.485,7.485
136,35,38.436,3.436
137,46,51.582,5.582
138,36,34.637,-1.363
139,58,49.325,-8.675
140,37,41.626,4.626
141,72,73.846,1.846
142,55,53.821,-1.179
143,53,48.722,-4.278
144,61,58.89,-2.11
145,64,67.002,3.002
146,70,74.6,4.6
147,42,42.765,0.765
148,70,69.379,-0.621
149,41,42.141,1.141
150,67,71.071,4.071
151,10,9.392,-0.608
152,62,62.047,0.047
153,16,19.46,3.46
154,43,42.974,-0.026
155,65,67.095,2.095
156,71,69.804,-1.196
157,33,34.979,1.979
158,35,27.022,-7.978
159,70,65.129,-4.871
160,45,46.985,1.985
161,66,67.123,1.123
162,69,69.812,0.812
163,42,44.73,2.73
164,28,31.162,3.162
165,22,21.039,-0.961
166,43,38.629,-4.371
167,69,68.392,-0.608
168,46,39.137,-6.863
169,50,55.009,5.009
170,34,26.909,-7.091
171,74,69.886,-4.114
172,49,50.778,1.778
173,65,66.158,1.158
174,53,59.69,6.69
175,70,61.481,-8.519
176,69,69.03,0.03
177,53,48.393,-4.607
178,32,40.665,8.665
179,69,72.964,3.964
180,47,46.853,-0.147
181,28,30.644,2.644
182,60,59.665,-0.335
183,48,47.294,-0.706
184,66,69.347,3.347
185,62,63.621,1.621
186,64,65.322,1.322
187,45,34.311,-10.689
188,76,74.424,-1.576
189,56,53.624,-2.376
190,43,41.095,-1.905
191,48,50.435,2.435
192,36,31.735,-4.265
193,17,18.746,1.746
194,30,22.608,-7.392
195,70,66.186,-3.814
196,10,14.179,4.179
197,71,70.99,-0.01
198,53,58.817,5.817
199,44,53.643,9.643
200,68,67.773,-0.227
201,45,46.585,1.585
202,51,52.4,1.4
203,65,52.339,-12.661
204,65,59.329,-5.671
205,4,8.123,4.123
206,33,31.488,-1.512
207,69,72.404,3.404
208,63,50.306,-12.694
209,67,66.021,-0.979
210,17,19.936,2.936
211,35,47.215,12.215
212,39,49.702,10.702
213,78,76.413,-1.587
214,37,39.689,2.689
215,23,20.344,-2.656
216,66,53.626,-12.374
217,57,61.814,4.814
218,45,43.634,-1.366
219,29,28.8,-0.2
220,45,49.4,4.4
221,20,25.428,5.428
222,69,65.952,-3.048
223,63,62.944,-0.056
224,64,63.388,-0.612
225,30,31.212,1.212
226,23,22.457,-0.543
227,50,58.062,8.062
228,74,74.714,0.714
229,57,64.229,7.229
230,50,51.817,1.817
231,52,42.294,-9.706
232,58,64.837,6.837
233,28,35.837,7.837
234,63,57.865,-5.135
235,50,45.757,-4.243
236,44,44.868,0.868
237,65,69.137,4.137
238,55,51.348,-3.652
239,56,55.774,-0.226
240,32,38.323,6.323
241,65,59.34,-5.66
242,16,14.192,-1.808
243,50,52.908,2.908
244,65,65.868,0.868
245,35,47.204,12.204
246,71,70.854,-0.146
247,67,64.781,-2.219
248,41,34.513,-6.487
249,38,39.141,1.141
250,39,37.834,-1.166
251,27,20.577,-6.423
252,44,45.608,1.608
253,60,56.16,-3.84
254,48,45.496,-2.504
255,68,64.613,-3.387
256,44,51.824,7.824
257,44,44.018,0.018
258,32,40.003,8.003
259,24,28.487,4.487
260,44,46.761,2.761
261,48,46.318,-1.682
262,56,49.11,-6.89
263,64,65.534,1.534
264,35,25.894,-9.106
265,29,32.918,3.918
266,44,42.322,-1.678
267,19,16.731,-2.269
268,42,40.808,-1.192
269,56,60.232,4.232
270,29,36.026,7.026
271,18,26.925,8.925
272,43,44.27,1.27
273,30,32.253,2.253
274,27,28.936,1.936
275,67,66.371,-0.629
276,0,6.803,6.803
277,61,57.348,-3.652
278,51,51.274,0.274
279,62,63.176,1.176
280,66,64.89,-1.11
281,74,69.837,-4.163
282,21,19.025,-1.975
283,48,49.017,1.017
284,36,32.099,-3.901
285,43,41.789,-1.211
286,69,65.929,-3.071
287,42,48.836,6.836
288,53,58.77,5.77
289,44,46.182,2.182
290,41,44.328,3.328
291,47,49.551,2.551
292,26,27.285,1.285
293,64,63.851,-0.149
294,49,46.572,-2.428
295,66,60.403,-5.597
296,16,19.88,3.88
297,31,37.429,6.429
298,41,40.151,-0.849
299,49,47.122,-1.878
300,37,35.641,-1.359
301,65,65.098,0.098
302,55,54.083,-0.917
303,64,62.379,-1.621
304,36,41.826,5.826
305,23,29.496,6.496
306,50,51.337,1.337
307,51,45.945,-5.055
308,15,20.579,5.579
309,74,74.963,0.963
310,18,13.099,-4.901
311,21,23.027,2.027
312,35,38.634,3.634
313,29,18.119,-10.881
314,44,43.86,-0.14
315,42,50.29,8.29
316,-2,4.9,6.9
317,71,70.043,-0.957
318,72,60.382,-11.618
319,74,69.324,-4.676
320,45,47.88,2.88
321,72,70.367,-1.633
322,61,60.143,-0.857
323,70,71.231,1.231
324,21,13.788,-7.212
325,63,64.753,1.753
326,32,29.481,-2.519
327,67,64.961,-2.039
328,59,47.022,-11.978
329,54,58.609,4.609
330,41,26.828,-14.172
331,22,27.613,5.613
332,64,61.669,-2.331
333,60,61.241,1.241
334,34,37.095,3.095
335,36,41.665,5.665
336,41,39.403,-1.597
337,30,22.874,-7.126
338,58,54.282,-3.718
339,37,38.527,1.527
340,42,40.348,-1.652
341,67,67.995,0.995
342,23,23.798,0.798
343,19,25.894,6.894
344,33,41.837,8.837
345,59,60.259,1.259
346,43,41.87,-1.13
347,52,52.192,0.192
348,16,19.899,3.899
349,57,62.316,5.316
350,58,50.979,-7.021
351,19,30.337,11.337
352,56,48.064,-7.936
353,45,41.709,-3.291
354,68,68.006,0.006
355,36,33.952,-2.048
356,50,50.1,0.1
357,10,16.072,6.072
358,37,34.096,-2.904
359,65,65.18,0.18
360,73,69.603,-3.397
361,55,49.561,-5.439
362,52,54.485,2.485
363,46,33.33,-12.67
364,54,36.953,-17.047
365,49,47.535,-1.465
366,42,46.513,4.513
367,62,64.982,2.982
368,58,58.741,0.741
369,76,73.531,-2.469
370,48,46.356,-1.644
371,41,37.231,-3.769
372,32,28.864,-3.136
