inst#,actual,predicted,error
1,71,71.067,0.067
2,74,71.067,-2.933
3,57,56.9,-0.1
4,30,29.6,-0.4
5,59,54.008,-4.992
6,73,72.2,-0.8
7,19,19.3,0.3
8,59,55.8,-3.2
9,68,65.75,-2.25
10,29,25.5,-3.5
11,72,71.8,-0.2
12,48,52.45,4.45
13,48,44.733,-3.267
14,73,75.467,2.467
15,46,46.2,0.2
16,31,33.3,2.3
17,73,73.05,0.05
18,54,52.982,-1.018
19,50,52.083,2.083
20,39,44.5,5.5
21,67,62,-5
22,56,60.1,4.1
23,62,52.483,-9.517
24,28,23,-5
25,75,77.4,2.4
26,60,64,4
27,62,55.7,-6.3
28,15,17.3,2.3
29,24,29.2,5.2
30,16,11.167,-4.833
31,70,64.967,-5.033
32,27,30.85,3.85
33,26,29.233,3.233
34,66,68.858,2.858
35,64,68.25,4.25
36,31,34.4,3.4
37,39,42.9,3.9
38,6,13.15,7.15
39,32,24.5,-7.5
40,68,67.55,-0.45
41,55,54.65,-0.35
42,56,56.1,0.1
43,45,44.083,-0.917
44,34,23,-11
45,71,69.233,-1.767
46,36,32.333,-3.667
47,53,52.1,-0.9
48,50,46.7,-3.3
49,47,50.267,3.267
50,56,47.8,-8.2
51,20,22.65,2.65
52,36,44.65,8.65
53,38,36.45,-1.55
54,50,55.8,5.8
55,54,51.45,-2.55
56,72,69.2,-2.8
57,38,49.567,11.567
58,62,63.1,1.1
59,34,34.8,0.8
60,22,34,12
61,20,12,-8
62,26,30,4
63,27,26.15,-0.85
64,69,66.35,-2.65
65,70,71.7,1.7
66,56,53.35,-2.65
67,32,35.4,3.4
68,29,26.45,-2.55
69,31,15.45,-15.55
70,49,48.6,-0.4
71,65,64.8,-0.2
72,52,59.8,7.8
73,67,67.908,0.908
74,39,38.8,-0.2
75,54,52.433,-1.567
76,27,25.2,-1.8
77,64,66.8,2.8
78,28,23.8,-4.2
79,53,53,0
80,43,50.15,7.15
81,48,47.65,-0.35
82,12,20.35,8.35
83,36,34.45,-1.55
84,76,74.533,-1.467
85,14,19.25,5.25
86,71,70.3,-0.7
87,60,60.45,0.45
88,69,73.95,4.95
89,47,48.3,1.3
90,67,72,5
91,41,43.15,2.15
92,74,77.4,3.4
93,63,59,-4
94,8,6.8,-1.2
95,45,43.35,-1.65
96,31,34.867,3.867
97,30,28.217,-1.783
98,17,11.617,-5.383
99,28,34.15,6.15
100,63,65.75,2.75
101,64,60,-4
102,23,24.183,1.183
103,73,69.15,-3.85
104,70,67.65,-2.35
105,64,67.967,3.967
106,6,17.8,11.8
107,64,64.75,0.75
108,64,61.9,-2.1
109,26,29,3
110,35,30.75,-4.25
111,63,67.25,4.25
112,64,67,3
113,67,66.7,-0.3
114,71,59.8,-11.2
115,71,65.767,-5.233
116,72,74.5,2.5
117,70,72.35,2.35
118,33,32.8,-0.2
119,45,47.55,2.55
120,26,19.65,-6.35
121,47,41,-6
122,65,64.1,-0.9
123,63,62.55,-0.45
124,57,56,-1
125,68,71.733,3.733
126,74,73.95,-0.05
127,16,16,0
128,15,28.15,13.15
129,22,24.15,2.15
130,34,28.633,-5.367
131,19,25.8,6.8
132,20,43,23
133,41,34.933,-6.067
134,34,40.4,6.4
135,47,55.1,8.1
136,35,37.15,2.15
137,46,52.15,6.15
138,36,36.05,0.05
139,58,47.85,-10.15
140,37,42.55,5.55
141,72,74.9,2.9
142,55,54.3,-0.7
143,53,50,-3
144,61,57.983,-3.017
145,64,66.35,2.35
146,70,74.6,4.6
147,42,43.3,1.3
148,70,70.1,0.1
149,41,43.167,2.167
150,67,72.683,5.683
151,10,10.6,0.6
152,62,60,-2
153,16,17.15,1.15
154,43,40.4,-2.6
155,65,64.347,-0.653
156,71,70.883,-0.117
157,33,38.4,5.4
158,35,27.35,-7.65
159,70,64.5,-5.5
160,45,43.2,-1.8
161,66,69.35,3.35
162,69,70.05,1.05
163,42,45.25,3.25
164,28,29,1
165,22,20.7,-1.3
166,43,36.9,-6.1
167,69,67.55,-1.45
168,46,37.8,-8.2
169,50,52.35,2.35
170,34,27.617,-6.383
171,74,69.75,-4.25
172,49,50.7,1.7
173,65,65.15,0.15
174,53,56.717,3.717
175,70,63.4,-6.6
176,69,68.833,-0.167
177,53,52.8,-0.2
178,32,37.65,5.65
179,69,75,6
180,47,47.867,0.867
181,28,30.717,2.717
182,60,59.733,-0.267
183,48,48.65,0.65
184,66,70.2,4.2
185,62,66.2,4.2
186,64,66.05,2.05
187,45,29.8,-15.2
188,76,74.667,-1.333
189,56,53.317,-2.683
190,43,43.6,0.6
191,48,48.8,0.8
192,36,28.9,-7.1
193,17,22.7,5.7
194,30,15,-15
195,70,64.967,-5.033
196,10,12.35,2.35
197,71,71.2,0.2
198,53,59.9,6.9
199,44,51.933,7.933
200,68,69.4,1.4
201,45,53,8
202,51,52.8,1.8
203,65,51.583,-13.417
204,65,58.55,-6.45
205,4,9.8,5.8
206,33,30.75,-2.25
207,69,73.433,4.433
208,63,51.8,-11.2
209,67,66.7,-0.3
210,17,17.65,0.65
211,35,48,13
212,39,47.817,8.817
213,78,78,0
214,37,40.6,3.6
215,23,20.85,-2.15
216,66,53.833,-12.167
217,57,60.733,3.733
218,45,43.05,-1.95
219,29,28.417,-0.583
220,45,51.617,6.617
221,20,26.8,6.8
222,69,66.367,-2.633
223,63,61.8,-1.2
224,64,61.15,-2.85
225,30,29.383,-0.617
226,23,22.6,-0.4
227,50,61.95,11.95
228,74,75.467,1.467
229,57,64.52,7.52
230,50,52,2
231,52,42.1,-9.9
232,58,65.767,7.767
233,28,36.117,8.117
234,63,57,-6
235,50,45.233,-4.767
236,44,44.083,0.083
237,65,69.933,4.933
238,55,50.7,-4.3
239,56,55.7,-0.3
240,32,36,4
241,65,59.95,-5.05
242,16,10.05,-5.95
243,50,52,2
244,65,64.267,-0.733
245,35,46.7,11.7
246,71,71.55,0.55
247,67,63,-4
248,41,39.7,-1.3
249,38,39.35,1.35
250,39,39.967,0.967
251,27,20.6,-6.4
252,44,44.733,0.733
253,60,54.1,-5.9
254,48,50.1,2.1
255,68,64.367,-3.633
256,44,48.117,4.117
257,44,46.05,2.05
258,32,35.5,3.5
259,24,29.25,5.25
260,44,47.7,3.7
261,48,47.55,-0.45
262,56,47.35,-8.65
263,64,64.267,0.267
264,35,29.2,-5.8
265,29,36.6,7.6
266,44,43.75,-0.25
267,19,15.2,-3.8
268,42,38.05,-3.95
269,56,59.65,3.65
270,29,35.9,6.9
271,18,28.25,10.25
272,43,39.9,-3.1
273,30,35.467,5.467
274,27,26.9,-0.1
275,67,66.4,-0.6
276,0,8.8,8.8
277,61,57.533,-3.467
278,51,48.85,-2.15
279,62,63.467,1.467
280,66,66.05,0.05
281,74,70.217,-3.783
282,21,19.65,-1.35
283,48,48.7,0.7
284,36,35.467,-0.533
285,43,39.6,-3.4
286,69,67.4,-1.6
287,42,54.6,12.6
288,53,57.117,4.117
289,44,47.85,3.85
290,41,41,0
291,47,50.2,3.2
292,26,27,1
293,64,63.5,-0.5
294,49,47.4,-1.6
295,66,62.2,-3.8
296,16,16.367,0.367
297,31,42.267,11.267
298,41,39.1,-1.9
299,49,50.3,1.3
300,37,36.833,-0.167
301,65,65.1,0.1
302,55,54.558,-0.442
303,64,61.7,-2.3
304,36,42.6,6.6
305,23,30.35,7.35
306,50,50,0
307,51,43,-8
308,15,23.1,8.1
309,74,74.667,0.667
310,18,15.2,-2.8
311,21,15.9,-5.1
312,35,41.6,6.6
313,29,20.6,-8.4
314,44,45.05,1.05
315,42,51.4,9.4
316,-2,7,9
317,71,69,-2
318,72,61.85,-10.15
319,74,70,-4
320,45,50.05,5.05
321,72,69.85,-2.15
322,61,59.35,-1.65
323,70,73.558,3.558
324,21,10.05,-10.95
325,63,65.6,2.6
326,32,27.95,-4.05
327,67,65.717,-1.283
328,59,48.6,-10.4
329,54,59.1,5.1
330,41,26.95,-14.05
331,22,27.017,5.017
332,64,62.7,-1.3
333,60,60,0
334,34,36.367,2.367
335,36,37.65,1.65
336,41,37.65,-3.35
337,30,20.1,-9.9
338,58,53.243,-4.757
339,37,36.1,-0.9
340,42,39.15,-2.85
341,67,66.8,-0.2
342,23,21.25,-1.75
343,19,29.2,10.2
344,33,42.15,9.15
345,59,58.05,-0.95
346,43,39.45,-3.55
347,52,53.7,1.7
348,16,21.5,5.5
349,57,62.55,5.55
350,58,58.45,0.45
351,19,29.4,10.4
352,56,48.65,-7.35
353,45,45.35,0.35
354,68,66.35,-1.65
355,36,34.55,-1.45
356,50,50,0
357,10,13.3,3.3
358,37,36.333,-0.667
359,65,67,2
360,73,69.217,-3.783
361,55,49.55,-5.45
362,52,55.1,3.1
363,46,35.5,-10.5
364,54,43.8,-10.2
365,49,44.6,-4.4
366,42,46.25,4.25
367,62,65.6,3.6
368,58,58.25,0.25
369,76,73.3,-2.7
370,48,48.5,0.5
371,41,44.95,3.95
372,32,31.25,-0.75
