inst#,actual,predicted,error
1,71,69.399,-1.601
2,74,69.399,-4.601
3,57,55.751,-1.249
4,30,35.631,5.631
5,59,53.165,-5.835
6,73,73.608,0.608
7,19,26.432,7.432
8,59,56.629,-2.371
9,68,63.225,-4.775
10,29,20.469,-8.531
11,72,73.608,1.608
12,48,50.857,2.857
13,48,44.925,-3.075
14,73,74.064,1.064
15,46,45.721,-0.279
16,31,36.992,5.992
17,73,73.638,0.638
18,54,55.958,1.958
19,50,55.619,5.619
20,39,44.682,5.682
21,67,60.556,-6.444
22,56,59.718,3.718
23,62,55.095,-6.905
24,28,21.908,-6.092
25,75,73.638,-1.362
26,60,62.347,2.347
27,62,55.425,-6.575
28,15,18.41,3.41
29,24,26.37,2.37
30,16,20.298,4.298
31,70,67.005,-2.995
32,27,32.451,5.451
33,26,29.761,3.761
34,66,67.375,1.375
35,64,67.863,3.863
36,31,29.446,-1.554
37,39,41.744,2.744
38,6,16.42,10.42
39,32,20.469,-11.531
40,68,68.833,0.833
41,55,59.607,4.607
42,56,56.413,0.413
43,45,49.485,4.485
44,34,21.908,-12.092
45,71,69.913,-1.087
46,36,35.195,-0.805
47,53,57.478,4.478
48,50,43.384,-6.616
49,47,49.051,2.051
50,56,47.395,-8.605
51,20,23.554,3.554
52,36,44.224,8.224
53,38,37.961,-0.039
54,50,56.629,6.629
55,54,52.221,-1.779
56,72,69.965,-2.035
57,38,45.721,7.721
58,62,62.751,0.751
59,34,35.429,1.429
60,22,30.998,8.998
61,20,20.306,0.306
62,26,31.898,5.898
63,27,19.713,-7.287
64,69,69.186,0.186
65,70,69.815,-0.185
66,56,58.123,2.123
67,32,31.745,-0.255
68,29,28.076,-0.924
69,31,23.234,-7.766
70,49,48.243,-0.757
71,65,64.658,-0.342
72,52,59.173,7.173
73,67,69.329,2.329
74,39,42.143,3.143
75,54,54.474,0.474
76,27,26.187,-0.813
77,64,66.252,2.252
78,28,20.469,-7.531
79,53,52.827,-0.173
80,43,51.443,8.443
81,48,45.632,-2.368
82,12,20.288,8.288
83,36,33.245,-2.755
84,76,74.064,-1.936
85,14,19.884,5.884
86,71,70.126,-0.874
87,60,62.289,2.289
88,69,70.312,1.312
89,47,50.412,3.412
90,67,67.675,0.675
91,41,42.532,1.532
92,74,73.574,-0.426
93,63,58.207,-4.793
94,8,7.471,-0.529
95,45,43.889,-1.111
96,31,33.26,2.26
97,30,30.759,0.759
98,17,7.962,-9.038
99,28,35.615,7.615
100,63,63.57,0.57
101,64,64.06,0.06
102,23,29.255,6.255
103,73,70.197,-2.803
104,70,66.17,-3.83
105,64,65.211,1.211
106,6,19.293,13.293
107,64,67.863,3.863
108,64,62.261,-1.739
109,26,26.184,0.184
110,35,33.129,-1.871
111,63,66.358,3.358
112,64,64.188,0.188
113,67,64.607,-2.393
114,71,60.088,-10.912
115,71,67.112,-3.888
116,72,73.827,1.827
117,70,69.726,-0.274
118,33,32.451,-0.549
119,45,44.682,-0.318
120,26,25.82,-0.18
121,47,43.825,-3.175
122,65,64.903,-0.097
123,63,62.347,-0.653
124,57,59.831,2.831
125,68,70.455,2.455
126,74,73.685,-0.315
127,16,15.25,-0.75
128,15,24.543,9.543
129,22,26.187,4.187
130,34,34.311,0.311
131,19,22.427,3.427
132,20,32.689,12.689
133,41,37.605,-3.395
134,34,41.914,7.914
135,47,52.691,5.691
136,35,36.29,1.29
137,46,49.321,3.321
138,36,35.251,-0.749
139,58,49.985,-8.015
140,37,43.448,6.448
141,72,73.768,1.768
142,55,52.298,-2.702
143,53,49.762,-3.238
144,61,59.455,-1.545
145,64,67.597,3.597
146,70,73.768,3.768
147,42,46.221,4.221
148,70,69.309,-0.691
149,41,43.161,2.161
150,67,69.736,2.736
151,10,14.604,4.604
152,62,60.114,-1.886
153,16,19.791,3.791
154,43,44.26,1.26
155,65,65.831,0.831
156,71,70.102,-0.898
157,33,33.7,0.7
158,35,25.817,-9.183
159,70,66.688,-3.312
160,45,44.224,-0.776
161,66,66.101,0.101
162,69,69.825,0.825
163,42,43.082,1.082
164,28,34.311,6.311
165,22,20.579,-1.421
166,43,37.186,-5.814
167,69,69.839,0.839
168,46,38.09,-7.91
169,50,53.844,3.844
170,34,29.255,-4.745
171,74,70.43,-3.57
172,49,52.778,3.778
173,65,65.938,0.938
174,53,59.173,6.173
175,70,60.545,-9.455
176,69,70.015,1.015
177,53,43.01,-9.99
178,32,41.199,9.199
179,69,70.38,1.38
180,47,46.187,-0.813
181,28,31.171,3.171
182,60,61.702,1.702
183,48,45.066,-2.934
184,66,69.083,3.083
185,62,62.752,0.752
186,64,66.506,2.506
187,45,33.065,-11.935
188,76,74.064,-1.936
189,56,55.601,-0.399
190,43,41.546,-1.454
191,48,49.762,1.762
192,36,32.202,-3.798
193,17,19.902,2.902
194,30,22.92,-7.08
195,70,67.005,-2.995
196,10,12.676,2.676
197,71,70.38,-0.62
198,53,59.806,6.806
199,44,52.152,8.152
200,68,68.921,0.921
201,45,40.759,-4.241
202,51,51.423,0.423
203,65,52.105,-12.895
204,65,59.273,-5.727
205,4,7.902,3.902
206,33,32.202,-0.798
207,69,70.219,1.219
208,63,50.412,-12.588
209,67,66.879,-0.121
210,17,21.657,4.657
211,35,47.162,12.162
