inst#,actual,predicted,error
1,71,70.005,-0.995
2,74,69.598,-4.402
3,57,56.458,-0.542
4,30,34.319,4.319
5,59,53.604,-5.396
6,73,74.668,1.668
7,19,27.764,8.764
8,59,52.279,-6.721
9,68,63.541,-4.459
10,29,22.702,-6.298
11,72,74.464,2.464
12,48,51.008,3.008
13,48,42.788,-5.212
14,73,74.601,1.601
15,46,44.915,-1.085
16,31,37.55,6.55
17,73,73.541,0.541
18,54,54.578,0.578
19,50,53.642,3.642
20,39,43.219,4.219
21,67,61.203,-5.797
22,56,61.744,5.744
23,62,53.967,-8.033
24,28,24.283,-3.717
25,75,72.205,-2.795
26,60,62.954,2.954
27,62,57.476,-4.524
28,15,16.099,1.099
29,24,28.167,4.167
30,16,22.627,6.627
31,70,66.112,-3.888
32,27,30.622,3.622
33,26,30.305,4.305
34,66,68.611,2.611
35,64,67.891,3.891
36,31,30.338,-0.662
37,39,38.504,-0.496
38,6,15.881,9.881
39,32,22.294,-9.706
40,68,66.974,-1.026
41,55,60.268,5.268
42,56,54.994,-1.006
43,45,45.95,0.95
44,34,24.283,-9.717
45,71,72.762,1.762
46,36,31.937,-4.063
47,53,54.304,1.304
48,50,38.927,-11.073
49,47,46.202,-0.798
50,56,46.876,-9.124
51,20,25.838,5.838
52,36,41.884,5.884
53,38,38.881,0.881
54,50,52.279,2.279
55,54,49.937,-4.063
56,72,68.039,-3.961
57,38,46.716,8.716
58,62,61.234,-0.766
59,34,34.619,0.619
60,22,30.434,8.434
61,20,23.613,3.613
62,26,30.148,4.148
63,27,20.362,-6.638
64,69,74.704,5.704
65,70,72.895,2.895
66,56,54.979,-1.021
67,32,32.875,0.875
68,29,27.24,-1.76
69,31,25.917,-5.083
70,49,47.686,-1.314
71,65,66.897,1.897
72,52,58.333,6.333
73,67,69.011,2.011
74,39,39.355,0.355
75,54,52.916,-1.084
76,27,27.627,0.627
77,64,66.826,2.826
78,28,22.439,-5.561
79,53,51.168,-1.832
80,43,48.848,5.848
81,48,45.686,-2.314
82,12,19.13,7.13
83,36,33.798,-2.202
84,76,76.431,0.431
85,14,16.147,2.147
86,71,71.007,0.007
87,60,61.191,1.191
88,69,68.932,-0.068
89,47,49.018,2.018
90,67,66.869,-0.131
91,41,42.931,1.931
92,74,69.761,-4.239
93,63,52.989,-10.011
94,8,7.725,-0.275
95,45,41.832,-3.168
