inst#,actual,predicted,error
1,86,81.861,-4.139
2,84,82.534,-1.466
3,77,72.445,-4.555
4,50,50.85,0.85
5,79,70.422,-8.578
6,87,89.076,2.076
7,42,44.004,2.004
8,64,72.87,8.87
9,84,81.427,-2.573
10,41,37.325,-3.675
11,86,89.076,3.076
12,79,66.167,-12.833
13,54,63.743,9.743
14,87,86.244,-0.756
15,70,65.501,-4.499
16,59,54.872,-4.128
17,88,86.489,-1.511
18,73,67.595,-5.405
19,72,71.216,-0.784
20,62,52.343,-9.657
21,82,81.777,-0.223
22,84,80.384,-3.616
23,70,70.614,0.614
24,37,41.199,4.199
25,87,86.504,-0.496
26,87,76.533,-10.467
27,82,75.839,-6.161
28,21,31.284,10.284
29,43,36.92,-6.08
30,39,39.911,0.911
31,78,87.006,9.006
32,41,48.24,7.24
33,45,51.184,6.184
34,87,81.003,-5.997
35,90,87.413,-2.587
36,53,49.576,-3.424
37,48,53.507,5.507
38,33,29.38,-3.62
39,39,37.325,-1.675
40,77,85.836,8.836
41,81,80.384,-0.616
42,77,71.269,-5.731
43,46,53.1,7.1
44,37,43.026,6.026
45,93,88.217,-4.783
46,37,53.223,16.223
47,71,69.688,-1.312
48,54,59.687,5.687
49,59,61.979,2.979
50,61,68.397,7.397
51,43,42.41,-0.59
52,61,57.638,-3.362
53,59,66.981,7.981
54,64,68.705,4.705
55,61,68.919,7.919
56,77,85.142,8.142
57,71,65.563,-5.437
58,73,80.118,7.118
59,42,49.821,7.821
60,44,51.308,7.308
61,36,38.168,2.168
62,39,49.856,10.856
63,55,35.113,-19.887
64,96,92.032,-3.968
65,93,86.697,-6.303
66,57,69.687,12.687
67,55,47.94,-7.06
68,44,48.373,4.373
69,46,42.094,-3.906
70,64,65.36,1.36
71,91,82.17,-8.83
72,80,78.342,-1.658
73,87,85.836,-1.164
74,61,53.444,-7.556
75,57,67.081,10.081
76,41,50.109,9.109
77,90,82.407,-7.593
78,42,35.113,-6.887
79,69,71.421,2.421
80,55,62.39,7.39
81,63,64.237,1.237
82,30,38.491,8.491
83,53,54.456,1.456
84,95,89.284,-5.716
85,33,38.55,5.55
86,87,86.64,-0.36
87,79,78.278,-0.722
88,84,84.889,0.889
89,64,66.167,2.167
90,84,88.801,4.801
91,73,53.555,-19.445
92,75,86.504,11.504
93,75,79.953,4.953
94,24,25.458,1.458
95,48,54.392,6.392
96,57,42.841,-14.159
97,34,51.31,17.31
98,27,29.274,2.274
99,46,49.195,3.195
100,89,79.758,-9.242
101,89,82.787,-6.213
102,36,36.036,0.036
103,84,89.217,5.217
104,84,82.534,-1.466
105,80,81.821,1.821
106,28,35.023,7.023
107,93,87.715,-5.285
108,88,80.113,-7.887
109,45,46.712,1.712
110,41,54.053,13.053
111,91,78.771,-12.229
112,81,82.731,1.731
113,82,81.726,-0.274
114,90,80.719,-9.281
115,81,87.48,6.48
116,89,86.669,-2.331
117,91,87.22,-3.78
118,39,46.501,7.501
119,60,55.064,-4.936
120,35,42.862,7.862
121,53,64.349,11.349
122,70,82.143,12.143
123,82,78.558,-3.442
124,84,78.961,-5.039
125,81,87.599,6.599
126,91,86.244,-4.756
127,25,31.056,6.056
128,44,42.386,-1.614
129,39,40.045,1.045
130,52,47.394,-4.606
