inst#,actual,predicted,error
1,86,84.819,-1.181
2,84,85.155,1.155
3,77,72.837,-4.163
4,50,49.434,-0.566
5,79,70.128,-8.872
6,87,87.771,0.771
7,42,43.862,1.862
8,64,73.148,9.148
9,84,83.016,-0.984
10,41,41.546,0.546
11,86,87.588,1.588
12,79,66.254,-12.746
13,54,62.788,8.788
14,87,87.404,0.404
15,70,64.701,-5.299
16,59,55.257,-3.743
17,88,87.222,-0.778
18,73,70.368,-2.632
19,72,70.114,-1.886
20,62,54.252,-7.748
21,82,82.801,0.801
22,84,79.492,-4.508
23,70,73.566,3.566
24,37,43.777,6.777
25,87,86.5,-0.5
26,87,77.004,-9.996
27,82,74.958,-7.042
28,21,35.277,14.277
29,43,42.447,-0.553
30,39,40.324,1.324
31,78,85.65,7.65
32,41,47.343,6.343
33,45,45.699,0.699
34,87,82.622,-4.378
35,90,84.834,-5.166
36,53,48.849,-4.151
37,48,53.882,5.882
38,33,32.925,-0.075
39,39,42.614,3.614
40,77,84.84,7.84
41,81,79.697,-1.303
42,77,72.282,-4.718
43,46,61.08,15.08
44,37,44.313,7.313
45,93,86.714,-6.286
46,37,52.969,15.969
47,71,70.577,-0.423
48,54,59.413,5.413
49,59,61.669,2.669
50,61,68.642,7.642
51,43,43.115,0.115
52,61,57.756,-3.244
53,59,60.445,1.445
54,64,68.555,4.555
55,61,69.345,8.345
56,77,85.646,8.646
57,71,61.936,-9.064
58,73,80.067,7.067
59,42,50.754,8.754
60,44,49.161,5.161
61,36,40.533,4.533
62,39,46.095,7.095
63,55,38.863,-16.137
64,96,87.705,-8.295
65,93,85.689,-7.311
66,57,72.463,15.463
67,55,47.437,-7.563
68,44,46.019,2.019
69,46,44.864,-1.136
70,64,66.253,2.253
71,91,81.979,-9.021
72,80,74.592,-5.408
73,87,84.571,-2.429
74,61,53.518,-7.482
75,57,69.876,12.876
76,41,45.753,4.753
77,90,81.168,-8.832
78,42,40.289,-1.711
79,69,70.476,1.476
80,55,63.965,8.965
81,63,63.409,0.409
82,30,37.701,7.701
83,53,53.458,0.458
84,95,87.835,-7.165
85,33,36.203,3.203
86,87,86.529,-0.471
87,79,78.215,-0.785
88,84,85.217,1.217
89,64,65.684,1.684
90,84,86.145,2.145
91,73,54.928,-18.072
92,75,86.511,11.511
93,75,78.67,3.67
94,24,29.509,5.509
95,48,57.247,9.247
96,57,47.496,-9.504
97,34,47.795,13.795
98,27,32.025,5.025
99,46,48.9,2.9
100,89,80.668,-8.332
101,89,81.495,-7.505
102,36,41.591,5.591
103,84,87.816,3.816
104,84,84.054,0.054
105,80,82.274,2.274
106,28,34.174,6.174
107,93,84.942,-8.058
108,88,79.396,-8.604
109,45,44.053,-0.947
110,41,51.354,10.354
111,91,81.184,-9.816
112,81,80.704,-0.296
113,82,82.983,0.983
114,90,80.114,-9.886
115,81,86.617,5.617
116,89,87.338,-1.662
117,91,86.931,-4.069
118,39,48.636,9.636
119,60,57.432,-2.568
120,35,43.145,8.145
121,53,60.965,7.965
122,70,82.304,12.304
123,82,78.814,-3.186
124,84,76.526,-7.474
125,81,86.359,5.359
126,91,87.619,-3.381
127,25,34.188,9.188
128,44,42.627,-1.373
129,39,41.584,2.584
130,52,49.624,-2.376
131,41,39.173,-1.827
132,48,50.643,2.643
133,52,53.379,1.379
134,35,50.963,15.963
135,66,64.586,-1.414
136,60,51.862,-8.138
137,64,62,-2
138,43,53.397,10.397
139,66,68.246,2.246
140,44,53.928,9.928
141,93,87.73,-5.27
142,73,70.677,-2.323
143,68,68.599,0.599
144,81,76.63,-4.37
145,97,85.001,-11.999
146,91,87.447,-3.553
147,46,57.486,11.486
148,93,87.38,-5.62
149,46,53.351,7.351
150,91,85.568,-5.432
151,18,31.485,13.485
152,84,80.692,-3.308
153,34,34.822,0.822
154,66,56.899,-9.101
155,82,81.508,-0.492
156,87,85.907,-1.093
157,42,50.318,8.318
158,55,44.674,-10.326
159,72,84.487,12.487
160,55,60.814,5.814
161,86,82.078,-3.922
162,84,87.608,3.608
163,57,55.485,-1.515
164,53,47.474,-5.526
165,33,38.708,5.708
166,71,54.435,-16.565
