inst#,actual,predicted,error
1,86,84.83,-1.17
2,84,86.083,2.083
3,77,69.28,-7.72
4,50,50.533,0.533
5,79,68.466,-10.534
6,87,91.464,4.464
7,42,42.385,0.385
8,64,72.53,8.53
9,84,83.821,-0.179
10,41,39.38,-1.62
11,86,91.046,5.046
12,79,66.456,-12.544
13,54,63.339,9.339
14,87,89.304,2.304
15,70,66.302,-3.698
16,59,55.791,-3.209
17,88,88.783,0.783
18,73,68.197,-4.803
19,72,71.707,-0.293
20,62,55.431,-6.569
21,82,84.436,2.436
22,84,78.373,-5.627
23,70,71.538,1.538
24,37,41.474,4.474
25,87,87.629,0.629
26,87,76.331,-10.669
27,82,71.368,-10.632
28,21,32.49,11.49
29,43,39.377,-3.623
30,39,38.961,-0.039
31,78,86.221,8.221
32,41,46.684,5.684
33,45,44.277,-0.723
34,87,82.997,-4.003
35,90,85.268,-4.732
36,53,52.408,-0.592
37,48,52.835,4.835
38,33,29.156,-3.844
39,39,40.634,1.634
40,77,85.215,8.215
41,81,78.817,-2.183
42,77,73.436,-3.564
43,46,61.32,15.32
44,37,43.98,6.98
45,93,87.511,-5.489
46,37,50.103,13.103
47,71,72.098,1.098
48,54,60.451,6.451
49,59,59.645,0.645
50,61,66.255,5.255
51,43,43.143,0.143
52,61,57.976,-3.024
53,59,61.396,2.396
54,64,68.771,4.771
55,61,66.377,5.377
56,77,86.716,9.716
57,71,62.705,-8.295
58,73,79.156,6.156
59,42,51.172,9.172
60,44,47.617,3.617
61,36,40.377,4.377
62,39,44.107,5.107
63,55,37.928,-17.072
64,96,89.357,-6.643
65,93,85.625,-7.375
66,57,72.064,15.064
67,55,46.698,-8.302
68,44,45.264,1.264
69,46,47.823,1.823
70,64,64.023,0.023
71,91,81.536,-9.464
72,80,73.5,-6.5
73,87,84.798,-2.202
74,61,52.399,-8.601
75,57,67.941,10.941
76,41,42.099,1.099
77,90,79.651,-10.349
78,42,35.42,-6.58
79,69,70.364,1.364
80,55,66.102,11.102
81,63,63.169,0.169
82,30,35.386,5.386
83,53,56.837,3.837
84,95,91.249,-3.751
85,33,35.349,2.349
86,87,87.596,0.596
87,79,77.799,-1.201
88,84,85.548,1.548
