inst#,actual,predicted,error
1,86,84.962,-1.038
2,84,85.425,1.425
3,77,72.384,-4.616
4,50,51.252,1.252
5,79,71.819,-7.181
6,87,90.935,3.935
7,42,44.527,2.527
8,64,74.738,10.738
9,84,84.203,0.203
10,41,42.204,1.204
11,86,91.121,5.121
12,79,68.503,-10.497
13,54,64.997,10.997
14,87,88.524,1.524
15,70,68.01,-1.99
16,59,58.107,-0.893
17,88,87.94,-0.06
18,73,70.986,-2.014
19,72,75.369,3.369
20,62,56.938,-5.062
21,82,84.98,2.98
22,84,83.047,-0.953
23,70,74.632,4.632
24,37,43.309,6.309
25,87,86.445,-0.555
26,87,78.707,-8.293
27,82,74.686,-7.314
28,21,36.706,15.706
29,43,41.83,-1.17
30,39,41.512,2.512
31,78,86.196,8.196
32,41,47.547,6.547
33,45,45.422,0.422
34,87,84.442,-2.558
35,90,88.482,-1.518
36,53,52.472,-0.528
37,48,54.663,6.663
38,33,35.73,2.73
39,39,43.598,4.598
40,77,86.037,9.037
41,81,84.726,3.726
42,77,75.633,-1.367
43,46,63.722,17.722
44,37,46.121,9.121
45,93,87.373,-5.627
46,37,51.384,14.384
47,71,74.838,3.838
48,54,62.719,8.719
49,59,62.392,3.392
50,61,69.215,8.215
51,43,44.78,1.78
52,61,59.634,-1.366
53,59,63.446,4.446
54,64,71.497,7.497
55,61,69.303,8.303
56,77,86.21,9.21
57,71,66.549,-4.451
58,73,81.226,8.226
59,42,52.101,10.101
60,44,50.193,6.193
61,36,42.056,6.056
62,39,45.435,6.435
63,55,40.431,-14.569
64,96,91.028,-4.972
65,93,85.961,-7.039
66,57,74.87,17.87
67,55,47.875,-7.125
68,44,45.964,1.964
69,46,47.755,1.755
70,64,66.175,2.175
71,91,83.033,-7.967
72,80,77.466,-2.534
73,87,86.016,-0.984
74,61,54.066,-6.934
75,57,71.037,14.037
76,41,43.814,2.814
77,90,81.513,-8.487
78,42,40.245,-1.755
79,69,72.503,3.503
80,55,70.062,15.062
81,63,65.033,2.033
82,30,39.295,9.295
83,53,57.169,4.169
84,95,89.107,-5.893
85,33,38.405,5.405
86,87,87.417,0.417
87,79,80.183,1.183
88,84,86.035,2.035
89,64,68.138,4.138
90,84,89.046,5.046
91,73,56.714,-16.286
92,75,86.327,11.327
93,75,83.726,8.726
94,24,33.791,9.791
95,48,61.19,13.19
96,57,47.937,-9.063
97,34,46.522,12.522
98,27,33.788,6.788
99,46,49.892,3.892
100,89,83.731,-5.269
101,89,82.192,-6.808
102,36,41.486,5.486
103,84,90.282,6.282
104,84,84.945,0.945
105,80,84.488,4.488
106,28,37.746,9.746
107,93,89.583,-3.417
108,88,79.782,-8.218
109,45,42.536,-2.464
110,41,50.807,9.807
111,91,84.409,-6.591
112,81,79.778,-1.222
113,82,84.03,2.03
114,90,85.561,-4.439
115,81,88.435,7.435
116,89,88.659,-0.341
117,91,89.269,-1.731
118,39,50.997,11.997
119,60,59.554,-0.446
120,35,41.407,6.407
121,53,61.147,8.147
122,70,83.79,13.79
123,82,79.501,-2.499
124,84,78.053,-5.947
125,81,87.427,6.427
126,91,88.548,-2.452
127,25,36.544,11.544
128,44,44.853,0.853
129,39,39.912,0.912
130,52,51.423,-0.577
131,41,40.222,-0.778
132,48,53.047,5.047
133,52,55.585,3.585
134,35,51.639,16.639
135,66,66.628,0.628
136,60,53.145,-6.855
137,64,62.942,-1.058
138,43,54.831,11.831
139,66,69.882,3.882
140,44,55.366,11.366
141,93,90.357,-2.643
142,73,70.283,-2.717
143,68,69.226,1.226
144,81,77.179,-3.821
145,97,90.876,-6.124
146,91,89.75,-1.25
147,46,61.642,15.642
148,93,91.074,-1.926
149,46,56.861,10.861
150,91,87.812,-3.188
151,18,34.008,16.008
152,84,87.854,3.854
153,34,36.927,2.927
154,66,60.089,-5.911
155,82,82.322,0.322
156,87,86.071,-0.929
157,42,49.911,7.911
158,55,45.951,-9.049
159,72,84.9,12.9
160,55,63.6,8.6
161,86,83.13,-2.87
162,84,91.321,7.321
163,57,57.311,0.311
164,53,47.874,-5.126
165,33,39.828,6.828
166,71,55.327,-15.673
167,95,88.278,-6.722
168,68,57.177,-10.823
169,75,72.475,-2.525
