inst#,actual,predicted,error
1,86,63.408,-22.592
2,84,63.408,-20.592
3,77,63.408,-13.592
4,50,63.408,13.408
5,79,63.408,-15.592
6,87,63.408,-23.592
7,42,63.408,21.408
8,64,63.408,-0.592
9,84,63.408,-20.592
10,41,63.408,22.408
11,86,63.408,-22.592
12,79,63.408,-15.592
13,54,63.408,9.408
14,87,63.408,-23.592
15,70,63.408,-6.592
16,59,63.408,4.408
17,88,63.408,-24.592
18,73,63.408,-9.592
19,72,63.408,-8.592
20,62,63.408,1.408
21,82,63.408,-18.592
22,84,63.408,-20.592
23,70,63.408,-6.592
24,37,63.408,26.408
25,87,63.408,-23.592
26,87,63.408,-23.592
27,82,63.408,-18.592
28,21,63.408,42.408
29,43,63.408,20.408
30,39,63.408,24.408
31,78,63.408,-14.592
32,41,63.408,22.408
33,45,63.408,18.408
34,87,63.408,-23.592
35,90,63.408,-26.592
36,53,63.408,10.408
37,48,63.408,15.408
38,33,63.408,30.408
39,39,63.408,24.408
40,77,63.408,-13.592
41,81,63.408,-17.592
42,77,63.408,-13.592
43,46,63.408,17.408
44,37,63.408,26.408
45,93,63.408,-29.592
46,37,63.408,26.408
47,71,63.408,-7.592
48,54,63.408,9.408
49,59,63.408,4.408
50,61,63.408,2.408
51,43,63.408,20.408
52,61,63.408,2.408
53,59,63.408,4.408
54,64,63.408,-0.592
55,61,63.408,2.408
56,77,63.408,-13.592
57,71,63.408,-7.592
58,73,63.408,-9.592
59,42,63.408,21.408
60,44,63.408,19.408
61,36,63.408,27.408
62,39,63.408,24.408
63,55,63.408,8.408
64,96,63.408,-32.592
65,93,63.408,-29.592
66,57,63.408,6.408
67,55,63.408,8.408
68,44,63.408,19.408
69,46,63.408,17.408
70,64,63.408,-0.592
71,91,63.408,-27.592
72,80,63.408,-16.592
73,87,63.408,-23.592
74,61,63.408,2.408
75,57,63.408,6.408
76,41,63.408,22.408
77,90,63.408,-26.592
78,42,63.408,21.408
79,69,63.408,-5.592
80,55,63.408,8.408
81,63,63.408,0.408
82,30,63.408,33.408
83,53,63.408,10.408
84,95,63.408,-31.592
85,33,63.408,30.408
86,87,63.408,-23.592
87,79,63.408,-15.592
88,84,63.408,-20.592
89,64,63.408,-0.592
90,84,63.408,-20.592
91,73,63.408,-9.592
92,75,63.408,-11.592
93,75,63.408,-11.592
94,24,63.408,39.408
95,48,63.408,15.408
96,57,63.408,6.408
97,34,63.408,29.408
98,27,63.408,36.408
99,46,63.408,17.408
100,89,63.408,-25.592
101,89,63.408,-25.592
102,36,63.408,27.408
103,84,63.408,-20.592
104,84,63.408,-20.592
105,80,63.408,-16.592
106,28,63.408,35.408
107,93,63.408,-29.592
108,88,63.408,-24.592
109,45,63.408,18.408
110,41,63.408,22.408
111,91,63.408,-27.592
112,81,63.408,-17.592
113,82,63.408,-18.592
114,90,63.408,-26.592
115,81,63.408,-17.592
116,89,63.408,-25.592
117,91,63.408,-27.592
118,39,63.408,24.408
119,60,63.408,3.408
120,35,63.408,28.408
121,53,63.408,10.408
122,70,63.408,-6.592
123,82,63.408,-18.592
124,84,63.408,-20.592
125,81,63.408,-17.592
126,91,63.408,-27.592
127,25,63.408,38.408
128,44,63.408,19.408
129,39,63.408,24.408
130,52,63.408,11.408
