inst#,actual,predicted,error
1,86,81.037,-4.963
2,84,87.482,3.482
3,77,79.034,2.034
4,50,53.248,3.248
5,79,68.486,-10.514
6,87,86.387,-0.613
7,42,45.281,3.281
8,64,70.151,6.151
9,84,82.617,-1.383
10,41,36.879,-4.121
11,86,86.387,0.387
12,79,70.197,-8.803
13,54,62.023,8.023
14,87,86.387,-0.613
15,70,62.023,-7.977
16,59,63.494,4.494
17,88,86.387,-1.613
18,73,75.21,2.21
19,72,74.483,2.483
20,62,61.656,-0.344
21,82,82.617,0.617
22,84,79.539,-4.461
23,70,71.2,1.2
24,37,45.485,8.485
25,87,86.387,-0.613
26,87,78.98,-8.02
27,82,79.034,-2.966
28,21,29.973,8.973
29,43,28,-15
30,39,37.433,-1.567
31,78,86.387,8.387
32,41,45.281,4.281
33,45,45.894,0.894
34,87,82.617,-4.383
35,90,87.482,-2.518
36,53,52.384,-0.616
37,48,58.397,10.397
38,33,29.973,-3.027
39,39,36.879,-2.121
40,77,84.314,7.314
41,81,86.074,5.074
42,77,67.871,-9.129
43,46,57.868,11.868
44,37,45.485,8.485
45,93,86.387,-6.613
46,37,45.281,8.281
47,71,74.483,3.483
48,54,60.622,6.622
49,59,62.762,3.762
50,61,68.486,7.486
51,43,45.281,2.281
52,61,49.287,-11.713
53,59,65.087,6.087
54,64,55.887,-8.113
55,61,70.151,9.151
56,77,86.387,9.387
57,71,65.087,-5.913
58,73,78.98,5.98
59,42,49.608,7.608
60,44,53.248,9.248
61,36,42.779,6.779
62,39,45.894,6.894
63,55,36.879,-18.121
64,96,90.587,-5.413
65,93,86.387,-6.613
66,57,67.871,10.871
67,55,45.894,-9.106
68,44,59.188,15.188
69,46,45.281,-0.719
70,64,70.197,6.197
71,91,82.617,-8.383
72,80,78.98,-1.02
73,87,84.314,-2.686
74,61,58.397,-2.603
75,57,75.21,18.21
76,41,45.485,4.485
77,90,82.617,-7.383
78,42,36.879,-5.121
79,69,61.829,-7.171
80,55,44.667,-10.333
81,63,70.197,7.197
82,30,37.433,7.433
83,53,47.747,-5.253
84,95,86.387,-8.613
85,33,37.433,4.433
86,87,86.387,-0.613
87,79,78.98,-0.02
88,84,91.316,7.316
89,64,70.197,6.197
90,84,90.587,6.587
91,73,52.384,-20.616
92,75,86.387,11.387
93,75,86.074,11.074
94,24,29.973,5.973
95,48,62.762,14.762
96,57,45.281,-11.719
97,34,59.188,25.188
98,27,29.973,2.973
99,46,49.608,3.608
100,89,79.539,-9.461
101,89,82.617,-6.383
102,36,28,-8
103,84,86.387,2.387
104,84,84.845,0.845
105,80,82.617,2.617
106,28,29.973,1.973
107,93,87.482,-5.518
108,88,82.617,-5.383
109,45,53.907,8.907
110,41,45.281,4.281
111,91,77.257,-13.743
112,81,82.617,1.617
113,82,82.617,0.617
114,90,79.034,-10.966
115,81,86.387,5.387
116,89,86.387,-2.613
117,91,86.387,-4.613
118,39,49.608,10.608
119,60,62.762,2.762
120,35,36.879,1.879
121,53,60.622,7.622
122,70,82.617,12.617
123,82,78.98,-3.02
124,84,78.98,-5.02
125,81,90.587,9.587
126,91,86.387,-4.613
127,25,29.973,4.973
128,44,45.281,1.281
129,39,36.879,-2.121
130,52,49.608,-2.392
131,41,42.779,1.779
132,48,56.231,8.231
133,52,48.099,-3.901
134,35,49.608,14.608
135,66,61.829,-4.171
136,60,41.752,-18.248
137,64,62.762,-1.238
138,43,56.231,13.231
139,66,62.762,-3.238
140,44,59.188,15.188
141,93,86.387,-6.613
142,73,70.431,-2.569
143,68,74.686,6.686
144,81,79.034,-1.966
145,97,87.482,-9.518
146,91,86.387,-4.613
147,46,45.822,-0.178
148,93,86.387,-6.613
149,46,52.384,6.384
150,91,90.587,-0.413
151,18,29.973,11.973
152,84,84.314,0.314
153,34,29.973,-4.027
154,66,56.328,-9.672
155,82,82.617,0.617
156,87,86.387,-0.613
157,42,45.281,3.281
158,55,45.485,-9.515
159,72,84.845,12.845
160,55,57.868,2.868
161,86,82.617,-3.383
162,84,90.587,6.587
163,57,52.384,-4.616
164,53,45.281,-7.719
165,33,36.879,3.879
166,71,48.099,-22.901
167,95,90.587,-4.413
168,68,52.587,-15.413
169,75,70.197,-4.803
170,39,36.879,-2.121
171,84,86.387,2.387
172,52,55.887,3.887
173,82,82.617,0.617
174,77,78.98,1.98
175,82,79.034,-2.966
176,70,79.034,9.034
177,80,62.023,-17.977
178,52,45.281,-6.719
179,91,90.587,-0.413
180,55,62.762,7.762
181,34,45.281,11.281
182,64,70.694,6.694
183,62,62.762,0.762
184,75,82.617,7.617
185,91,78.98,-12.02
186,73,82.617,9.617
187,48,60.622,12.622
188,89,86.387,-2.613
189,59,70.151,11.151
190,62,48.099,-13.901
191,64,70.197,6.197
192,42,49.608,7.608
193,32,37.433,5.433
194,46,45.485,-0.515
195,77,86.387,9.387
196,33,37.433,4.433
197,82,86.387,4.387
198,88,78.98,-9.02
199,73,65.087,-7.913
200,71,82.617,11.617
201,55,60.622,5.622
202,69,71.631,2.631
203,77,71.2,-5.8
204,70,82.617,12.617
205,30,29.973,-0.027
206,42,45.281,3.281
207,91,90.587,-0.413
208,68,71.2,3.2
209,68,82.617,14.617
210,55,37.433,-17.567
211,54,65.087,11.087
212,68,65.087,-2.913
213,96,86.387,-9.613
214,60,56.648,-3.352
215,30,42.779,12.779
216,69,71.2,2.2
217,77,76.073,-0.927
218,55,60.622,5.622
219,30,45.894,15.894
220,61,57.868,-3.132
221,37,42.779,5.779
222,75,84.845,9.845
223,88,78.98,-9.02
224,89,82.617,-6.383
225,51,56.231,5.231
226,43,42.779,-0.221
227,88,78.98,-9.02
228,93,86.387,-6.613
229,86,78.98,-7.02
230,71,71.631,0.631
231,72,52.587,-19.413
232,75,79.539,4.539
233,48,45.281,-2.719
234,64,80.723,16.723
235,55,70.197,15.197
236,57,65.087,8.087
237,77,82.617,5.617
238,75,62.762,-12.238
239,82,70.151,-11.849
240,63,65.087,2.087
241,79,82.617,3.617
242,32,29.973,-2.027
243,62,55.887,-6.113
244,82,82.617,0.617
245,57,49.287,-7.713
246,82,86.387,4.387
247,80,82.617,2.617
248,57,45.485,-11.515
249,41,51.267,10.267
250,62,45.485,-16.515
251,37,36.879,-0.121
252,57,65.087,8.087
253,82,86.074,4.074
254,60,60.622,0.622
255,79,82.617,3.617
256,64,65.087,1.087
257,48,45.822,-2.178
258,54,41.752,-12.248
259,46,42.779,-3.221
260,50,45.822,-4.178
261,66,62.762,-3.238
262,57,68.486,11.486
263,81,82.617,1.617
264,43,45.485,2.485
265,62,53.248,-8.752
266,52,48.099,-3.901
267,41,42.779,1.779
268,50,56.328,6.328
269,88,67.871,-20.129
270,57,45.281,-11.719
271,39,42.779,3.779
272,54,48.627,-5.373
273,53,53.248,0.248
274,46,45.281,-0.719
275,95,82.617,-12.383
276,30,29.973,-0.027
277,79,79.034,0.034
278,66,70.197,4.197
279,75,70.694,-4.306
280,70,82.617,12.617
281,80,87.482,7.482
282,37,36.879,-0.121
283,57,60.622,3.622
284,52,53.248,1.248
285,57,52.384,-4.616
286,82,83.258,1.258
287,57,56.328,-0.672
288,82,86.074,4.074
289,60,65.087,5.087
290,53,48.627,-4.373
291,68,70.197,2.197
292,57,53.907,-3.093
293,84,70.694,-13.306
294,64,62.762,-1.238
295,68,71.2,3.2
296,39,37.433,-1.567
297,51,49.608,-1.392
298,70,65.087,-4.913
299,51,70.197,19.197
300,46,56.648,10.648
301,86,70.694,-15.306
