inst#,actual,predicted,error
1,86,84,-2
2,84,84,0
3,77,73.25,-3.75
4,50,50.647,0.647
5,79,73.25,-5.75
6,87,89.65,2.65
7,42,45.813,3.813
8,64,73.25,9.25
9,84,81.364,-2.636
10,41,36.143,-4.857
11,86,89.65,3.65
12,79,66.169,-12.831
13,54,66.169,12.169
14,87,86.569,-0.431
15,70,66.169,-3.831
16,59,61.5,2.5
17,88,86.569,-1.431
18,73,73.25,0.25
19,72,75.444,3.444
20,62,53.067,-8.933
21,82,81.25,-0.75
22,84,78.091,-5.909
23,70,73.25,3.25
24,37,38.318,1.318
25,87,86.569,-0.431
26,87,71.125,-15.875
27,82,73.25,-8.75
28,21,28.269,7.269
29,43,42.176,-0.824
30,39,41.143,2.143
31,78,86.569,8.569
32,41,45.813,4.813
33,45,45.813,0.813
34,87,78.6,-8.4
35,90,86.569,-3.431
36,53,50.647,-2.353
37,48,53.067,5.067
38,33,28.269,-4.731
39,39,36.143,-2.857
40,77,86.569,9.569
41,81,81.364,0.364
42,77,73.25,-3.75
43,46,60.964,14.964
44,37,41.889,4.889
45,93,86.569,-6.431
46,37,53.067,16.067
47,71,66.169,-4.831
48,54,59.667,5.667
49,59,59.667,0.667
50,61,73.25,12.25
51,43,45.813,2.813
52,61,60.964,-0.036
53,59,60.964,1.964
54,64,66.169,2.169
55,61,73.25,12.25
56,77,86.569,9.569
57,71,60.964,-10.036
58,73,80.412,7.412
59,42,45.813,3.813
60,44,50.647,6.647
61,36,38.318,2.318
62,39,45.813,6.813
63,55,36.143,-18.857
64,96,95,-1
65,93,86.569,-6.431
66,57,73.25,16.25
67,55,45.813,-9.188
68,44,54.75,10.75
69,46,45.813,-0.188
70,64,66.169,2.169
71,91,74.5,-16.5
72,80,80.538,0.538
73,87,86.569,-0.431
74,61,53.067,-7.933
75,57,73.25,16.25
76,41,42.176,1.176
77,90,80.412,-9.588
78,42,36.143,-5.857
79,69,66.169,-2.831
80,55,60.964,5.964
81,63,66.169,3.169
82,30,30.75,0.75
83,53,53.067,0.067
84,95,89.65,-5.35
85,33,35,2
86,87,86.569,-0.431
87,79,80.412,1.412
88,84,86.569,2.569
89,64,66.169,2.169
90,84,86.569,2.569
91,73,53.067,-19.933
92,75,86.569,11.569
93,75,83.4,8.4
94,24,28.269,4.269
95,48,59.667,11.667
96,57,45.813,-11.188
97,34,54.75,20.75
98,27,28.269,1.269
99,46,45.813,-0.188
100,89,81.364,-7.636
101,89,84,-5
102,36,42.176,6.176
103,84,89.65,5.65
104,84,81.25,-2.75
105,80,81.25,1.25
106,28,35,7
107,93,86.569,-6.431
108,88,73,-15
109,45,42.176,-2.824
110,41,53.067,12.067
111,91,81.25,-9.75
112,81,85.857,4.857
113,82,81.364,-0.636
114,90,88.667,-1.333
115,81,86.569,5.569
116,89,86.569,-2.431
117,91,86.569,-4.431
118,39,45.813,6.813
119,60,59.667,-0.333
120,35,42.176,7.176
121,53,59.667,6.667
122,70,81.364,11.364
123,82,71.125,-10.875
124,84,80.538,-3.462
125,81,86.569,5.569
126,91,86.569,-4.431
127,25,28.269,3.269
128,44,45.813,1.813
129,39,42.176,3.176
130,52,45.813,-6.188
131,41,41.286,0.286
132,48,50.647,2.647
133,52,53.067,1.067
134,35,45.813,10.813
135,66,66.169,0.169
136,60,53.067,-6.933
137,64,59.667,-4.333
138,43,53.067,10.067
139,66,73.25,7.25
140,44,53.067,9.067
141,93,89.65,-3.35
142,73,73.25,0.25
143,68,66.169,-1.831
144,81,73.25,-7.75
145,97,86.569,-10.431
146,91,89.65,-1.35
147,46,60.964,14.964
148,93,89.65,-3.35
149,46,53.067,7.067
150,91,86.569,-4.431
151,18,28.269,10.269
152,84,86.569,2.569
153,34,28.269,-5.731
154,66,53.067,-12.933
155,82,84,2
156,87,86.569,-0.431
157,42,45.813,3.813
158,55,41.889,-13.111
159,72,88.25,16.25
160,55,60.964,5.964
161,86,74.5,-11.5
162,84,95,11
163,57,53.067,-3.933
164,53,45.813,-7.188
165,33,38.318,5.318
166,71,53.067,-17.933
167,95,86.569,-8.431
168,68,59.667,-8.333
169,75,66.169,-8.831
170,39,41.889,2.889
171,84,86.569,2.569
172,52,66.169,14.169
173,82,81.364,-0.636
174,77,80.538,3.538
175,82,81.364,-0.636
176,70,86.569,16.569
177,80,66.169,-13.831
178,52,45.813,-6.188
179,91,86.569,-4.431
180,55,59.667,4.667
181,34,45.813,11.813
182,64,71.125,7.125
183,62,59.667,-2.333
184,75,78.6,3.6
185,91,80.412,-10.588
186,73,84,11
187,48,59.667,11.667
188,89,89.65,0.65
189,59,73.25,14.25
190,62,53.067,-8.933
191,64,66.169,2.169
192,42,53.067,11.067
193,32,41.143,9.143
194,46,54.75,8.75
195,77,86.569,9.569
196,33,35,2
197,82,86.569,4.569
198,88,80.412,-7.588
199,73,60.964,-12.036
200,71,78.6,7.6
201,55,59.667,4.667
202,69,66.169,-2.831
203,77,73.25,-3.75
204,70,73,3
205,30,28.269,-1.731
206,42,45.813,3.813
207,91,86.569,-4.431
208,68,73.25,5.25
209,68,78.6,10.6
210,55,30.75,-24.25
211,54,60.964,6.964
212,68,60.964,-7.036
213,96,89.65,-6.35
214,60,53.067,-6.933
215,30,42.176,12.176
216,69,73.25,4.25
217,77,71.125,-5.875
218,55,59.667,4.667
219,30,45.813,15.813
220,61,60.964,-0.036
221,37,42.176,5.176
222,75,88.25,13.25
223,88,71.125,-16.875
224,89,78.091,-10.909
225,51,50.647,-0.353
226,43,38.318,-4.682
227,88,80.412,-7.588
228,93,86.569,-6.431
229,86,80.412,-5.588
230,71,66.169,-4.831
231,72,59.667,-12.333
232,75,79.25,4.25
233,48,45.813,-2.188
234,64,73.25,9.25
235,55,66.169,11.169
236,57,60.964,3.964
237,77,78.6,1.6
238,75,73.25,-1.75
239,82,73.25,-8.75
240,63,60.964,-2.036
241,79,83.4,4.4
242,32,28.269,-3.731
243,62,66.169,4.169
244,82,85.857,3.857
245,57,60.964,3.964
246,82,89.65,7.65
247,80,88.25,8.25
248,57,53.75,-3.25
249,41,53.067,12.067
250,62,53.75,-8.25
251,37,36.143,-0.857
252,57,60.964,3.964
253,82,83.4,1.4
254,60,59.667,-0.333
255,79,84,5
256,64,60.964,-3.036
257,48,53.067,5.067
258,54,50.647,-3.353
259,46,42.176,-3.824
260,50,53.067,3.067
261,66,59.667,-6.333
262,57,73.25,16.25
263,81,85.857,4.857
264,43,41.889,-1.111
265,62,50.647,-11.353
266,52,53.067,1.067
267,41,41.286,0.286
268,50,53.067,3.067
269,88,73.25,-14.75
270,57,45.813,-11.188
271,39,41.286,2.286
272,54,53.067,-0.933
273,53,50.647,-2.353
274,46,45.813,-0.188
275,95,81.364,-13.636
276,30,28.269,-1.731
277,79,73.25,-5.75
278,66,66.169,0.169
279,75,71.125,-3.875
280,70,84,14
281,80,84,4
282,37,28.269,-8.731
283,57,59.667,2.667
284,52,53.067,1.067
285,57,53.067,-3.933
286,82,86.569,4.569
287,57,53.067,-3.933
288,82,87.667,5.667
289,60,60.964,0.964
290,53,53.067,0.067
291,68,66.169,-1.831
292,57,38.318,-18.682
293,84,85.857,1.857
294,64,59.667,-4.333
295,68,73,5
296,39,41.143,2.143
297,51,45.813,-5.188
298,70,60.964,-9.036
299,51,66.169,15.169
300,46,53.067,7.067
301,86,85.857,-0.143
302,78,73.25,-4.75
303,77,73.25,-3.75
304,70,53.067,-16.933
305,44,45.813,1.813
306,64,66.169,2.169
307,54,59.667,5.667
308,32,41.143,9.143
309,90,89.65,-0.35
310,21,28.269,7.269
311,46,45.813,-0.188
312,45,53.067,8.067
313,33,36.143,3.143
314,69,53.067,-15.933
315,69,60.964,-8.036
316,19,28.269,9.269
317,87,86.569,-0.431
318,90,86.569,-3.431
319,89,89.65,0.65
320,66,59.667,-6.333
321,84,86.569,2.569
322,84,73.25,-10.75
323,89,86.569,-2.431
324,33,28.269,-4.731
325,81,86.569,5.569
326,39,45.813,6.813
327,79,88.25,9.25
328,73,73.25,0.25
329,72,73.25,1.25
330,55,53.067,-1.933
331,39,38.318,-0.682
332,82,81.25,-0.75
333,78,71.125,-6.875
334,39,50.647,11.647
335,50,53.067,3.067
336,51,53.067,2.067
337,34,46.333,12.333
338,75,73.25,-1.75
339,44,53.067,9.067
340,43,53.067,10.067
341,84,84,0
342,41,38.318,-2.682
343,43,41.286,-1.714
344,46,50.647,4.647
345,73,73.25,0.25
346,61,53.067,-7.933
347,60,66.169,6.169
348,32,35,3
349,82,71.125,-10.875
350,66,73.25,7.25
351,46,45.813,-0.188
352,62,59.667,-2.333
353,64,59.667,-4.333
354,97,95,-2
355,50,53.067,3.067
356,70,59.667,-10.333
357,16,28.269,12.269
358,41,53.067,12.067
359,87,80.412,-6.588
360,80,86.569,6.569
361,69,59.667,-9.333
362,66,66.169,0.169
363,53,59.667,6.667
364,64,59.667,-4.333
365,60,66.169,6.169
366,66,53.067,-12.933
367,75,81.364,6.364
368,80,80.538,0.538
369,84,86.569,2.569
370,57,66.169,9.169
371,57,53.067,-3.933
372,37,45.813,8.813
