inst#,actual,predicted,error
1,86,78.744,-7.256
2,84,79.87,-4.13
3,77,76.526,-0.474
4,50,49.063,-0.937
5,79,69.415,-9.585
6,87,87.343,0.343
7,42,43.892,1.892
8,64,70.814,6.814
9,84,82.98,-1.02
10,41,39.147,-1.853
11,86,86.547,0.547
12,79,63.921,-15.079
13,54,61.536,7.536
14,87,85.163,-1.837
15,70,69.125,-0.875
16,59,59.505,0.505
17,88,86.21,-1.79
18,73,73.657,0.657
19,72,70.929,-1.071
20,62,53.985,-8.015
21,82,82.65,0.65
22,84,79.69,-4.31
23,70,72.642,2.642
24,37,42.947,5.947
25,87,87.771,0.771
26,87,72.476,-14.524
27,82,75.504,-6.496
28,21,32.32,11.32
29,43,36.017,-6.983
30,39,39.805,0.805
31,78,92.466,14.466
32,41,47.486,6.486
33,45,46.509,1.509
34,87,75.116,-11.884
35,90,88.809,-1.191
36,53,51.38,-1.62
37,48,53.651,5.651
38,33,30.954,-2.046
39,39,39.205,0.205
40,77,84.077,7.077
41,81,79.833,-1.167
42,77,68.933,-8.067
43,46,51.06,5.06
44,37,42.815,5.815
45,93,89.849,-3.151
46,37,54.844,17.844
47,71,67.522,-3.478
48,54,58.364,4.364
49,59,63.756,4.756
50,61,70.046,9.046
51,43,44.973,1.973
52,61,58.123,-2.877
53,59,69.424,10.424
54,64,65.999,1.999
55,61,70.803,9.803
56,77,83.002,6.002
57,71,64.103,-6.897
58,73,81.628,8.628
59,42,48.95,6.95
60,44,51.122,7.122
61,36,40.535,4.535
62,39,48.584,9.584
63,55,35.841,-19.159
64,96,92.39,-3.61
65,93,85.424,-7.576
66,57,64.445,7.445
67,55,46.182,-8.818
68,44,50.104,6.104
69,46,42.762,-3.238
70,64,68.68,4.68
71,91,78.666,-12.334
72,80,79.895,-0.105
73,87,85.782,-1.218
74,61,54.044,-6.956
75,57,69.436,12.436
76,41,50.536,9.536
77,90,82.555,-7.445
78,42,33.909,-8.091
79,69,71.505,2.505
80,55,58.642,3.642
81,63,63.671,0.671
82,30,32.634,2.634
83,53,58.285,5.285
84,95,87.61,-7.39
85,33,37.881,4.881
86,87,84.141,-2.859
87,79,78.71,-0.29
88,84,82.707,-1.293
89,64,62.788,-1.212
90,84,88.42,4.42
91,73,55.282,-17.718
92,75,88.455,13.455
93,75,79.967,4.967
94,24,25.684,1.684
95,48,55.488,7.488
96,57,44.672,-12.328
97,34,55.9,21.9
98,27,26.262,-0.738
99,46,47.359,1.359
100,89,78.47,-10.53
101,89,84.968,-4.032
102,36,33.018,-2.982
103,84,90.183,6.183
104,84,80.886,-3.114
105,80,86.264,6.264
106,28,33.245,5.245
107,93,90.407,-2.593
