
inst#,actual,predicted,error
1,86,79.6,-6.4
2,84,81.4,-2.6
3,77,75.3,-1.7
4,50,54.55,4.55
5,79,67.95,-11.05
6,87,85.9,-1.1
7,42,44,2
8,64,68.8,4.8
9,84,83.3,-0.7
10,41,41.6,0.6
11,86,87.5,1.5
12,79,63.2,-15.8
13,54,58.2,4.2
14,87,85.6,-1.4
15,70,75.4,5.4
16,59,62.7,3.7
17,88,89,1
18,73,69.6,-3.4
19,72,70.75,-1.25
20,62,53.6,-8.4
21,82,82.6,0.6
22,84,78.95,-5.05
23,70,71.7,1.7
24,37,41.2,4.2
25,87,89.8,2.8
26,87,71.4,-15.6
27,82,74.767,-7.233
28,21,32.35,11.35
29,43,31.6,-11.4
30,39,37,-2
31,78,95,17
32,41,47.8,6.8
33,45,50.5,5.5
34,87,71,-16
35,90,89.75,-0.25
36,53,50.2,-2.8
37,48,47.8,-0.2
38,33,32.3,-0.7
39,39,40.3,1.3
40,77,87.8,10.8
41,81,78.5,-2.5
42,77,68.55,-8.45
43,46,51.4,5.4
44,37,42.2,5.2
45,93,90.45,-2.55
46,37,56.7,19.7
47,71,70.15,-0.85
48,54,56.2,2.2
49,59,67.3,8.3
50,61,73.7,12.7
51,43,50.95,7.95
52,61,61.5,0.5
53,59,72.45,13.45
54,64,69.5,5.5
55,61,71.5,10.5
56,77,82,5
57,71,63.95,-7.05
58,73,82,9
59,42,47.8,5.8
60,44,53.383,9.383
61,36,38.7,2.7
62,39,55.9,16.9
63,55,36.25,-18.75
64,96,88.6,-7.4
65,93,86,-7
66,57,62.1,5.1
67,55,48,-7
68,44,57.5,13.5
69,46,38.9,-7.1
70,64,70.35,6.35
71,91,77.1,-13.9
72,80,81.717,1.717
73,87,88.75,1.75
74,61,54.65,-6.35
75,57,67.55,10.55
76,41,51.1,10.1
77,90,88.2,-1.8
78,42,31,-11
79,69,68.1,-0.9
80,55,56.55,1.55
81,63,65.9,2.9
82,30,33.4,3.4
83,53,59.8,6.8
84,95,87,-8
85,33,39,6
86,87,82,-5
87,79,79.9,0.9
88,84,76.45,-7.55
89,64,62.7,-1.3
90,84,86.05,2.05
91,73,51.5,-21.5
92,75,90,15
93,75,82.7,7.7
94,24,26.4,2.4
95,48,52,4
96,57,45,-12
97,34,58.6,24.6
98,27,27,0
99,46,43.6,-2.4
100,89,77.7,-11.3
101,89,87.3,-1.7
102,36,29.6,-6.4
103,84,90.883,6.883
104,84,75.7,-8.3
105,80,89,9
106,28,31.6,3.6
107,93,94.5,1.5
108,88,82,-6
109,45,50.1,5.1
110,41,69,28
111,91,76.7,-14.3
112,81,84.9,3.9
113,82,83.2,1.2
114,90,83,-7
115,81,89.9,8.9
116,89,85.2,-3.8
117,91,90.8,-0.2
118,39,43.2,4.2
119,60,57.7,-2.3
120,35,41.8,6.8
121,53,75.6,22.6
122,70,79.6,9.6
123,82,74.95,-7.05
124,84,82.75,-1.25
125,81,84.5,3.5
126,91,90.967,-0.033
127,25,34,9
128,44,44.9,0.9
129,39,42.8,3.8
130,52,51.7,-0.3
131,41,33.65,-7.35
132,48,54.533,6.533
133,52,47.25,-4.75
134,35,47.25,12.25
135,66,62.3,-3.7
136,60,52.6,-7.4
137,64,56.7,-7.3
138,43,62.5,19.5
139,66,70.9,4.9
140,44,52.8,8.8
141,93,90,-3
142,73,77.5,4.5
143,68,74,6
144,81,80.033,-0.967
145,97,94.5,-2.5
146,91,90.3,-0.7
147,46,46,0
148,93,88.45,-4.55
149,46,48.1,2.1
150,91,78.6,-12.4
151,18,29.517,11.517
152,84,87.9,3.9
153,34,30.717,-3.283
154,66,51.95,-14.05
155,82,87.2,5.2
156,87,87.5,0.5
157,42,53.773,11.773
158,55,41.05,-13.95
159,72,87.9,15.9
160,55,51,-4
161,86,69.6,-16.4
162,84,89.6,5.6
163,57,47.45,-9.55
164,53,52.5,-0.5
165,33,37.2,4.2
166,71,47.5,-23.5
167,95,88.1,-6.9
168,68,57.2,-10.8
169,75,64.9,-10.1
170,39,40.3,1.3
171,84,89.867,5.867
172,52,54.55,2.55
173,82,80.6,-1.4
174,77,81.917,4.917
175,82,75.9,-6.1
176,70,81,11
177,80,69.6,-10.4
178,52,42.5,-9.5
179,91,94.6,3.6
180,55,69,14
181,34,47.6,13.6
182,64,81.45,17.45
183,62,63.8,1.8
184,75,91,16
185,91,79.9,-11.1
186,73,85.2,12.2
187,48,54.05,6.05
188,89,87,-2
189,59,72.1,13.1
190,62,46.95,-15.05
191,64,68.5,4.5
192,42,57,15
193,32,37,5
194,46,39.3,-6.7
195,77,95,18
196,33,37.2,4.2
197,82,82,0
198,88,82,-6
199,73,61.95,-11.05
200,71,89.95,18.95
201,55,62.95,7.95
202,69,67.3,-1.7
203,77,67.1,-9.9
204,70,87.9,17.9
