inst#,actual,predicted,error
1,86,84.308,-1.692
2,84,84.308,0.308
3,77,74.063,-2.937
4,50,47.709,-2.291
5,79,72.197,-6.803
6,87,88.501,1.501
7,42,44.037,2.037
8,64,73.276,9.276
9,84,83.09,-0.91
10,41,38.035,-2.965
11,86,88.501,2.501
12,79,65.826,-13.174
13,54,64.506,10.506
14,87,87.087,0.087
15,70,66.945,-3.055
16,59,52.423,-6.577
17,88,87.087,-0.913
18,73,72.617,-0.383
19,72,68.102,-3.898
20,62,54.021,-7.979
21,82,83.413,1.413
22,84,79.331,-4.669
23,70,74.165,4.165
24,37,42.049,5.049
25,87,86.599,-0.401
26,87,77.622,-9.378
27,82,75.417,-6.583
28,21,31.554,10.554
29,43,40.618,-2.382
30,39,38.768,-0.232
31,78,86.12,8.12
32,41,47.37,6.37
33,45,46.936,1.936
34,87,82.926,-4.074
35,90,86.743,-3.257
36,53,49.038,-3.962
37,48,53.205,5.205
38,33,29.836,-3.164
39,39,38.035,-0.965
40,77,86.12,9.12
41,81,79.331,-1.669
42,77,72.486,-4.514
43,46,60.265,14.265
44,37,43.16,6.16
45,93,87.087,-5.913
46,37,53.415,16.415
47,71,70.272,-0.728
48,54,60.864,6.864
49,59,63.394,4.394
50,61,71.276,10.276
51,43,44.177,1.177
52,61,57.156,-3.844
53,59,62.205,3.205
54,64,66.281,2.281
55,61,71.389,10.389
56,77,86.599,9.599
57,71,63.356,-7.644
58,73,79.226,6.226
59,42,49.7,7.7
60,44,46.507,2.507
61,36,38.229,2.229
62,39,46.936,7.936
63,55,35.758,-19.242
64,96,89.571,-6.429
65,93,86.12,-6.88
66,57,73.777,16.777
67,55,46.406,-8.594
68,44,45.982,1.982
69,46,44.662,-1.338
70,64,65.523,1.523
71,91,82.926,-8.074
72,80,76.175,-3.825
73,87,86.467,-0.533
74,61,53.496,-7.504
75,57,73.814,16.814
76,41,45.317,4.317
77,90,82.926,-7.074
78,42,36.249,-5.751
79,69,68.271,-0.729
80,55,62.352,7.352
81,63,64.506,1.506
82,30,35.75,5.75
83,53,53.747,0.747
84,95,88.501,-6.499
85,33,36.626,3.626
86,87,87.087,0.087
87,79,79.226,0.226
88,84,86.12,2.12
89,64,65.681,1.681
90,84,87.087,3.087
91,73,53.743,-19.257
92,75,86.599,11.599
93,75,78.455,3.455
94,24,27.727,3.727
95,48,59.171,11.171
96,57,47.161,-9.839
97,34,47.037,13.037
98,27,27.997,0.997
99,46,48.572,2.572
100,89,79.226,-9.774
101,89,82.926,-6.074
102,36,39.482,3.482
103,84,88.501,4.501
104,84,83.482,-0.518
105,80,82.926,2.926
106,28,32.896,4.896
107,93,86.743,-6.257
108,88,81.782,-6.218
109,45,43.469,-1.531
110,41,51.696,10.696
111,91,79.226,-11.774
112,81,82.198,1.198
113,82,83.506,1.506
114,90,81.811,-8.189
115,81,87.087,6.087
116,89,87.087,-1.913
117,91,87.087,-3.913
118,39,48.333,9.333
119,60,58.843,-1.157
120,35,38.673,3.673
121,53,63.065,10.065
122,70,82.926,12.926
123,82,77.622,-4.378
124,84,77.63,-6.37
125,81,87.087,6.087
126,91,87.087,-3.913
127,25,30.182,5.182
128,44,43.26,-0.74
129,39,37.781,-1.219
130,52,49.37,-2.63
131,41,38.7,-2.3
132,48,48.851,0.851
133,52,53.205,1.205
134,35,49.991,14.991
135,66,65.365,-0.635
136,60,51.566,-8.434
137,64,60.715,-3.285
138,43,53.747,10.747
139,66,66.149,0.149
140,44,54.021,10.021
141,93,88.501,-4.499
142,73,72.225,-0.775
143,68,67.33,-0.67
144,81,75.828,-5.172
145,97,86.743,-10.257
146,91,88.501,-2.499
147,46,54.373,8.373
148,93,88.501,-4.499
149,46,53.743,7.743
150,91,87.087,-3.913
151,18,29.027,11.027
152,84,83.339,-0.661
153,34,30.182,-3.818
154,66,53.755,-12.245
155,82,82.926,0.926
156,87,86.599,-0.401
157,42,47.461,5.461
158,55,46.973,-8.027
159,72,83.482,11.482
160,55,60.375,5.375
161,86,82.926,-3.074
162,84,89.571,5.571
163,57,54.201,-2.799
164,53,47.37,-5.63
165,33,37.182,4.182
166,71,53.508,-17.492
167,95,87.087,-7.913
168,68,57.955,-10.045
169,75,66.281,-8.719
170,39,40.542,1.542
171,84,87.087,3.087
172,52,65.927,13.927
173,82,82.926,0.926
174,77,75.059,-1.941
175,82,81.009,-0.991
176,70,86.12,16.12
177,80,65.378,-14.622
178,52,48.007,-3.993
179,91,87.087,-3.913
180,55,63.375,8.375
181,34,46.936,12.936
182,64,75.828,11.828
183,62,62.251,0.251
184,75,82.926,7.926
185,91,79.226,-11.774
186,73,82.926,9.926
187,48,58.843,10.843
188,89,88.501,-0.499
189,59,74.063,15.063
190,62,53.217,-8.783
191,64,65.51,1.51
192,42,52.931,10.931
193,32,38.768,6.768
194,46,43.857,-2.143
195,77,86.12,9.12
196,33,36.281,3.281
197,82,87.087,5.087
198,88,78.365,-9.635
199,73,62.352,-10.648
200,71,83.506,12.506
201,55,58.843,3.843
202,69,65.292,-3.708
203,77,74.236,-2.764
204,70,81.782,11.782
205,30,29.836,-0.164
206,42,46.84,4.84
207,91,87.087,-3.913
208,68,74.165,6.165
209,68,83.506,15.506
210,55,35.905,-19.095
211,54,61.956,7.956
212,68,63.356,-4.644
213,96,88.501,-7.499
214,60,53.205,-6.795
215,30,39.482,9.482
216,69,74.236,5.236
217,77,74.188,-2.812
218,55,58.843,3.843
219,30,47.161,17.161
220,61,63.935,2.935
221,37,39.482,2.482
222,75,83.482,8.482
223,88,77.622,-10.378
224,89,82.926,-6.074
225,51,51.148,0.148
226,43,36.983,-6.017
227,88,76.309,-11.691
228,93,87.087,-5.913
229,86,79.331,-6.669
230,71,65.523,-5.477
231,72,55.955,-16.045
232,75,79.331,4.331
233,48,46.936,-1.064
234,64,75.417,11.417
235,55,65.429,10.429
236,57,59.634,2.634
237,77,82.926,5.926
238,75,66.149,-8.851
239,82,73.612,-8.388
240,63,57.747,-5.253
241,79,82.509,3.509
242,32,29.934,-2.066
243,62,66.243,4.243
244,82,82.198,0.198
245,57,56.503,-0.497
246,82,88.501,6.501
247,80,83.83,3.83
248,57,50.678,-6.322
249,41,53.205,12.205
250,62,51.481,-10.519
251,37,35.758,-1.242
252,57,59.264,2.264
253,82,79.226,-2.774
254,60,62.58,2.58
255,79,83.506,4.506
256,64,62.036,-1.964
257,48,52.914,4.914
