inst#,actual,predicted,error
1,86,85.348,-0.652
2,84,86.388,2.388
3,77,69.862,-7.138
4,50,50.744,0.744
5,79,68.486,-10.514
6,87,91.87,4.87
7,42,42.906,0.906
8,64,72.284,8.284
9,84,83.264,-0.736
10,41,39.291,-1.709
11,86,91.523,5.523
12,79,66.326,-12.674
13,54,63.041,9.041
14,87,90.028,3.028
15,70,65.329,-4.671
16,59,55.478,-3.522
17,88,89.325,1.325
18,73,68.746,-4.254
19,72,71.595,-0.405
20,62,56.161,-5.839
21,82,83.393,1.393
22,84,78.364,-5.636
23,70,71.52,1.52
24,37,41.564,4.564
25,87,88.101,1.101
26,87,76.731,-10.269
27,82,71.596,-10.404
28,21,33.032,12.032
29,43,40.367,-2.633
30,39,39.095,0.095
31,78,86.065,8.065
32,41,47.122,6.122
33,45,44.858,-0.142
34,87,83.501,-3.499
35,90,85.162,-4.838
36,53,51.377,-1.623
37,48,53.579,5.579
38,33,29.723,-3.277
39,39,40.331,1.331
40,77,85.447,8.447
41,81,78.568,-2.432
42,77,73.086,-3.914
43,46,62.342,16.342
44,37,43.644,6.644
45,93,87.892,-5.108
46,37,50.394,13.394
47,71,72.084,1.084
48,54,59.785,5.785
49,59,60.415,1.415
50,61,66.004,5.004
51,43,43.101,0.101
52,61,58.103,-2.897
53,59,60.449,1.449
54,64,69.164,5.164
55,61,66.753,5.753
56,77,86.91,9.91
57,71,62.669,-8.331
58,73,79.342,6.342
59,42,51.656,9.656
60,44,47.782,3.782
61,36,40.595,4.595
62,39,44.933,5.933
63,55,37.003,-17.997
64,96,89.743,-6.257
65,93,86.33,-6.67
66,57,72.762,15.762
67,55,46.976,-8.024
68,44,45.082,1.082
69,46,46.877,0.877
70,64,64.204,0.204
71,91,81.749,-9.251
72,80,73.731,-6.269
73,87,85.1,-1.9
74,61,52.838,-8.162
75,57,68.86,11.86
76,41,42.622,1.622
77,90,80.187,-9.813
78,42,35.849,-6.151
79,69,70.052,1.052
80,55,66.623,11.623
81,63,63.117,0.117
82,30,35.752,5.752
83,53,55.806,2.806
84,95,91.695,-3.305
85,33,34.965,1.965
86,87,87.854,0.854
87,79,77.947,-1.053
88,84,85.832,1.832
89,64,66.055,2.055
90,84,86.829,2.829
91,73,55.45,-17.55
92,75,87.754,12.754
93,75,80.299,5.299
94,24,26.905,2.905
95,48,59.57,11.57
96,57,47.293,-9.707
97,34,45.694,11.694
98,27,25.79,-1.21
99,46,49.5,3.5
100,89,81.569,-7.431
101,89,80.776,-8.224
102,36,40.058,4.058
103,84,91.13,7.13
104,84,84.774,0.774
105,80,82.656,2.656
106,28,31.527,3.527
107,93,85.827,-7.173
108,88,78.08,-9.92
109,45,40.946,-4.054
110,41,49.934,8.934
111,91,82.347,-8.653
112,81,78.231,-2.769
113,82,82.993,0.993
114,90,84.439,-5.561
115,81,88.291,7.291
116,89,89.605,0.605
117,91,88.647,-2.353
118,39,50.456,11.456
119,60,57.614,-2.386
120,35,39.067,4.067
121,53,58.897,5.897
122,70,82.338,12.338
123,82,77.771,-4.229
124,84,75.615,-8.385
125,81,86.852,5.852
126,91,90.337,-0.663
127,25,32.525,7.525
128,44,41.292,-2.708
129,39,37.718,-1.282
130,52,50.802,-1.198
131,41,38.406,-2.594
132,48,48.304,0.304
133,52,54.083,2.083
134,35,51.256,16.256
135,66,64.953,-1.047
136,60,52.629,-7.371
137,64,61.321,-2.679
138,43,54.078,11.078
