inst#,actual,predicted,error
1,63,61.491,-1.509
2,63,63.025,0.025
3,47,46.437,-0.563
4,21,19.521,-1.479
5,42,41.077,-0.923
6,68,65.818,-2.182
7,14,11.971,-2.029
8,43,45.684,2.684
9,52,57.387,5.387
10,9,4.546,-4.454
11,68,62.91,-5.09
12,36,36.438,0.438
13,32,33.876,1.876
14,69,66.613,-2.387
15,28,34.06,6.06
16,21,21.755,0.755
17,67,66.445,-0.555
18,45,40.04,-4.96
19,41,42.216,1.216
20,32,28.767,-3.233
21,48,57.5,9.5
22,49,49.37,0.37
23,45,45.401,0.401
24,12,10.521,-1.479
25,66,63.982,-2.018
26,52,48.87,-3.13
27,47,44.838,-2.162
28,5,4.453,-0.547
29,17,12.511,-4.489
30,7,9.911,2.911
31,58,61.681,3.681
32,19,16.083,-2.917
33,18,14.588,-3.412
34,60,56.925,-3.075
35,56,54.389,-1.611
36,12,21.504,9.504
37,30,24.472,-5.528
38,0,-3.171,-3.171
39,9,6.899,-2.101
40,60,61.097,1.097
41,47,48.67,1.67
42,42,47.838,5.838
43,41,34.616,-6.384
44,12,14.29,2.29
45,64,61.873,-2.127
46,23,21.669,-1.331
47,43,43.692,0.692
48,27,29.785,2.785
49,38,30.682,-7.318
50,37,34.712,-2.288
51,10,11.304,1.304
52,28,27.492,-0.508
53,22,29.431,7.431
54,43,39.82,-3.18
55,42,36.422,-5.578
56,62,62.56,0.56
57,31,28.862,-2.138
58,53,52.071,-0.929
59,25,23.4,-1.6
60,16,13.357,-2.643
61,10,11.671,1.671
62,20,14.007,-5.993
63,0,7.596,7.596
64,65,60.342,-4.658
65,65,59.614,-5.386
66,50,48.424,-1.576
67,19,17.172,-1.828
68,13,8.846,-4.154
69,9,20.03,11.03
70,37,38.205,1.205
71,56,54.486,-1.514
72,46,44.507,-1.493
73,60,59.862,-0.138
74,27,23.127,-3.873
75,48,42.01,-5.99
76,16,12.242,-3.758
77,57,54.116,-2.884
78,10,2.177,-7.823
79,39,40.095,1.095
80,40,33.7,-6.3
81,34,36.767,2.767
82,5,9.127,4.127
83,17,25.546,8.546
84,69,66.521,-2.479
85,-1,6.629,7.629
86,63,62.287,-0.713
87,51,48.735,-2.265
88,61,60.167,-0.833
89,38,35.996,-2.004
90,56,59.017,3.017
91,28,26.79,-1.21
92,66,64.469,-1.531
93,36,53.274,17.274
94,-10,-4.289,5.711
95,34,32.079,-1.921
96,20,20.524,0.524
97,20,12.085,-7.915
98,-6,2.013,8.013
99,23,19.209,-3.791
100,53,54.526,1.526
101,56,54.042,-1.958
102,18,13.379,-4.621
103,65,66.636,1.636
104,57,59.048,2.048
105,56,54.758,-1.242
106,-2,-2.139,-0.139
107,57,54.929,-2.071
108,51,52.948,1.948
109,14,12.771,-1.229
110,20,21.324,1.324
111,57,54.526,-2.474
112,55,51.872,-3.128
113,54,57.675,3.675
114,39,61.491,22.491
115,58,63.101,5.101
116,67,63.09,-3.91
117,60,61.548,1.548
118,19,18.981,-0.019
119,32,27.247,-4.753
120,14,7.414,-6.586
121,31,30.773,-0.227
122,55,55.568,0.568
123,52,51.872,-0.128
124,50,48.139,-1.861
125,64,59.834,-4.166
126,68,67.079,-0.921
127,-1,3.635,4.635
128,8,8.943,0.943
129,15,4.403,-10.597
130,19,23.348,4.348
131,11,11.671,0.671
132,15,14.049,-0.951
133,25,25.046,0.046
134,31,22.959,-8.041
135,42,34.646,-7.354
136,25,23.75,-1.25
137,38,29.813,-8.187
138,21,22.837,1.837
139,38,38.773,0.773
140,31,24.395,-6.605
141,66,62.883,-3.117
142,41,39.3,-1.7
143,36,39.524,3.524
144,49,48.299,-0.701
145,57,54.929,-2.071
146,66,61.748,-4.252
147,36,31.914,-4.086
148,62,62.244,0.244
149,33,28.035,-4.965
150,59,58.882,-0.118
151,-2,-4.164,-2.164
152,42,52.769,10.769
153,3,4.453,1.453
154,31,29.663,-1.337
155,58,53.854,-4.146
156,64,62.287,-1.713
157,22,17.812,-4.188
158,13,15.555,2.555
159,59,59.363,0.363
160,30,31.56,1.56
161,58,55.395,-2.605
162,62,60.567,-1.433
163,30,26.79,-3.21
164,19,15.922,-3.078
165,10,6.177,-3.823
166,25,21.902,-3.098
167,63,59.44,-3.56
168,26,22.512,-3.488
169,38,41.741,3.741
170,18,10.291,-7.709
171,65,67.346,2.346
172,44,41.19,-2.81
173,58,54.187,-3.813
174,47,44.432,-2.568
175,44,58.801,14.801
176,65,60.541,-4.459
177,24,39.713,15.713
178,27,18.642,-8.358
179,62,61.492,-0.508
180,35,29.948,-5.052
181,19,16.581,-2.419
182,53,48.489,-4.511
183,34,31.088,-2.912
184,62,57.379,-4.621
185,52,53.163,1.163
186,59,54.587,-4.413
187,14,31.244,17.244
188,70,67.43,-2.57
189,48,45.352,-2.648
190,27,24.286,-2.714
191,36,38.57,2.57
192,20,23.393,3.393
193,7,9.911,2.911
194,10,14.56,4.56
195,58,61.681,3.681
196,-4,2.828,6.828
197,63,62.023,-0.977
198,45,47.364,2.364
199,35,33.355,-1.645
200,61,58.345,-2.655
201,26,28.19,2.19
202,41,38.784,-2.216
203,34,49.253,15.253
204,50,48.694,-1.306
205,-8,-4.143,3.857
206,20,17.812,-2.188
207,61,59.902,-1.098
208,37,43.899,6.899
209,60,57.759,-2.241
210,8,9.707,1.707
211,32,25.753,-6.247
212,32,29.299,-2.701
213,73,66.24,-6.76
214,26,23.334,-2.666
215,14,13.379,-0.621
216,44,44.592,0.592
217,51,48.088,-2.912
218,31,26.681,-4.319
219,20,13.534,-6.466
220,32,33.646,1.646
221,14,11.671,-2.329
222,58,57.931,-0.069
223,52,52.948,0.948
224,55,54.042,-0.958
225,20,20.173,0.173
226,8,11.373,3.373
227,28,48.014,20.014
228,69,67.079,-1.921
229,53,49.834,-3.166
230,40,38.784,-1.216
231,28,26.111,-1.889
232,54,50.751,-3.249
233,20,16.927,-3.073
234,49,46.117,-2.883
235,37,32.517,-4.483
236,33,32.96,-0.04
237,62,55.568,-6.432
238,38,37.224,-0.776
239,46,43.129,-2.871
240,22,23.175,1.175
241,48,54.75,6.75
242,-3,2.013,5.013
243,44,39.88,-4.12
244,56,51.872,-4.128
245,30,25.834,-4.166
246,63,63.478,0.478
247,59,58.085,-0.915
248,18,20.637,2.637
249,32,23.287,-8.713
250,21,20.688,-0.312
251,3,2.488,-0.512
252,37,32.96,-4.04
253,47,51.523,4.523
254,30,30.964,0.964
255,58,56.767,-1.233
256,38,33.388,-4.612
257,38,32.619,-5.381
258,26,21.279,-4.721
259,14,14.053,0.053
260,39,32.619,-6.381
261,33,31.663,-1.337
262,40,40.589,0.589
263,56,51.872,-4.128
264,13,13.938,0.938
265,17,19.948,2.948
266,29,24.074,-4.926
267,7,11.671,4.671
268,28,30.881,2.881
269,46,48.221,2.221
270,20,18.907,-1.093
271,14,10.798,-3.202
272,33,29.09,-3.91
273,18,19.521,1.521
274,19,17.974,-1.026
275,54,58.581,4.581
276,-10,-4.289,5.711
277,46,46.67,0.67
278,39,38.433,-0.567
279,55,47.532,-7.468
280,59,56.257,-2.743
281,65,62.245,-2.755
282,-2,7.146,9.146
283,28,30.231,2.231
284,18,23.846,5.846
285,27,26.79,-0.21
286,53,61.424,8.424
287,30,29.814,-0.186
288,48,48.389,0.389
289,32,32.268,0.268
290,31,28.979,-2.021
291,36,36.482,0.482
292,13,12.919,-0.081
293,54,51.524,-2.476
294,33,33.672,0.672
295,45,46.751,1.751
296,5,9.489,4.489
297,26,20.106,-5.894
298,24,29.513,5.513
299,39,36.822,-2.178
300,23,22.936,-0.064
301,56,52.294,-3.706
302,42,41.258,-0.742
303,53,50.766,-2.234
304,28,23.155,-4.845
305,17,11.429,-5.571
306,36,39.42,3.42
307,34,30.326,-3.674
308,10,9.911,-0.089
309,70,65.818,-4.182
310,1,2.757,1.757
311,12,13.459,1.459
312,26,22.607,-3.393
313,5,5.501,0.501
314,30,24.54,-5.46
315,36,29.299,-6.701
316,-14,-4.289,9.711
317,65,63.043,-1.957
318,49,62.287,13.287
319,54,66.897,12.897
320,34,30.24,-3.76
321,59,62.136,3.136
322,49,48.524,-0.476
323,61,61.867,0.867
