inst#,actual,predicted,error
1,63,60.173,-2.827
2,63,60.179,-2.821
3,47,42.55,-4.45
4,21,21.221,0.221
5,42,42.476,0.476
6,68,63.102,-4.898
7,14,12.889,-1.111
8,43,46.061,3.061
9,52,57.481,5.481
10,9,11.115,2.115
11,68,62.526,-5.474
12,36,37.024,1.024
13,32,32.385,0.385
14,69,63.207,-5.793
15,28,35.812,7.812
16,21,24.211,3.211
17,67,63.328,-3.672
18,45,40.628,-4.372
19,41,41.296,0.296
20,32,26.982,-5.018
21,48,57.401,9.401
22,49,49.539,0.539
23,45,44.94,-0.06
24,12,11.894,-0.106
25,66,62.166,-3.834
26,52,50.375,-1.625
27,47,47.825,0.825
28,5,5.083,0.083
29,17,11.56,-5.44
30,7,10.643,3.643
31,58,60.095,2.095
32,19,14.988,-4.012
33,18,14.784,-3.216
34,60,57.401,-2.599
35,56,57.344,1.344
36,12,21.935,9.935
37,30,23.795,-6.205
38,0,2.853,2.853
39,9,11.924,2.924
40,60,58.845,-1.155
41,47,49.68,2.68
42,42,45.647,3.647
43,41,34.009,-6.991
44,12,13.752,1.752
45,64,62.279,-1.721
46,23,18.743,-4.257
47,43,42.427,-0.573
48,27,29.426,2.426
49,38,29.566,-8.434
50,37,36.198,-0.802
51,10,13.009,3.009
52,28,27.582,-0.418
53,22,30.124,8.124
54,43,38.738,-4.262
55,42,37.674,-4.326
56,62,60.365,-1.635
57,31,30.023,-0.977
58,53,51.261,-1.739
59,25,21.538,-3.462
60,16,17.911,1.911
61,10,11.661,1.661
62,20,14.201,-5.799
63,0,15.634,15.634
64,65,61.511,-3.489
65,65,61.115,-3.885
66,50,47.529,-2.471
67,19,19.074,0.074
68,13,14.097,1.097
69,9,17.812,8.812
70,37,35.323,-1.677
71,56,56.062,0.062
72,46,45.986,-0.014
73,60,59.384,-0.616
74,27,23.143,-3.857
75,48,40.554,-7.446
76,16,12.738,-3.262
77,57,54.331,-2.669
78,10,10.231,0.231
79,39,41.153,2.153
80,40,35.288,-4.712
81,34,33.955,-0.045
82,5,7.792,2.792
83,17,24.91,7.91
84,69,64.207,-4.793
85,-1,7.084,8.084
86,63,61.932,-1.068
87,51,49.987,-1.013
88,61,59.987,-1.013
89,38,36.377,-1.623
90,56,59.409,3.409
91,28,27.816,-0.184
92,66,60.039,-5.961
93,36,53.42,17.42
94,-10,-0.127,9.873
95,34,29.902,-4.098
96,20,18.794,-1.206
97,20,14.218,-5.782
98,-6,3.217,9.217
99,23,19.592,-3.408
100,53,55.036,2.036
101,56,54.713,-1.287
102,18,11.261,-6.739
103,65,62.848,-2.152
104,57,59.245,2.245
105,56,55.238,-0.762
106,-2,3.979,5.979
107,57,57.966,0.966
108,51,53.511,2.511
109,14,13.074,-0.926
110,20,19.452,-0.548
111,57,55.75,-1.25
112,55,51.991,-3.009
113,54,57.024,3.024
114,39,60.737,21.737
115,58,61.936,3.936
116,67,62.98,-4.02
117,60,62.4,2.4
118,19,19.191,0.191
119,32,27.044,-4.956
120,14,10.09,-3.91
121,31,28.326,-2.674
122,55,55.938,0.938
123,52,51.436,-0.564
124,50,48.649,-1.351
125,64,59.857,-4.143
126,68,64.049,-3.951
127,-1,4.996,5.996
128,8,12.305,4.305
129,15,9.506,-5.494
130,19,22.234,3.234
131,11,10.4,-0.6
132,15,19.563,4.563
133,25,24.719,-0.281
134,31,19.622,-11.378
135,42,35.822,-6.178
136,25,23.464,-1.536
137,38,31.619,-6.381
138,21,25.995,4.995
139,38,39.22,1.22
140,31,26.143,-4.857
141,66,63.183,-2.817
142,41,40.573,-0.427
143,36,40.035,4.035
144,49,49.223,0.223
145,57,58.213,1.213
146,66,62.412,-3.588
147,36,31.944,-4.056
148,62,62.321,0.321
149,33,26.25,-6.75
150,59,59.921,0.921
151,-2,-0.47,1.53
152,42,53.984,11.984
153,3,5.912,2.912
154,31,29.419,-1.581
155,58,54.523,-3.477
156,64,61.365,-2.635
157,22,18.531,-3.469
158,13,19.453,6.453
159,59,58.369,-0.631
160,30,31.427,1.427
161,58,56.03,-1.97
162,62,61.064,-0.936
163,30,26.353,-3.647
164,19,18.629,-0.371
165,10,8.99,-1.01
166,25,25.296,0.296
167,63,61.388,-1.612
168,26,27.141,1.141
169,38,40.397,2.397
170,18,11.909,-6.091
171,65,62.771,-2.229
172,44,37.388,-6.612
173,58,55.55,-2.45
174,47,45.727,-1.273
175,44,58.725,14.725
176,65,58.647,-6.353
177,24,40.633,16.633
178,27,20.715,-6.285
179,62,61.679,-0.321
180,35,30.364,-4.636
181,19,14.809,-4.191
182,53,48.739,-4.261
183,34,29.742,-4.258
184,62,56.456,-5.544
185,52,52.549,0.549
186,59,53.408,-5.592
187,14,28.237,14.237
188,70,63.921,-6.079
189,48,43.438,-4.562
190,27,24.792,-2.208
191,36,35.916,-0.084
192,20,22.909,2.909
193,7,10.999,3.999
194,10,15.457,5.457
195,58,59.771,1.771
196,-4,6.097,10.097
197,63,61.633,-1.367
198,45,49.876,4.876
199,35,36.371,1.371
200,61,57.071,-3.929
201,26,27.258,1.258
202,41,38.684,-2.316
203,34,48.457,14.457
204,50,49.943,-0.057
205,-8,0.647,8.647
206,20,18.531,-1.469
207,61,61.306,0.306
208,37,44.665,7.665
209,60,56.852,-3.148
210,8,13.383,5.383
211,32,26.789,-5.211
212,32,28.762,-3.238
213,73,64.519,-8.481
214,26,23.854,-2.146
215,14,11.307,-2.693
216,44,46.092,2.092
217,51,46.777,-4.223
218,31,26.232,-4.768
219,20,14.728,-5.272
220,32,35.175,3.175
221,14,10.423,-3.577
222,58,57.668,-0.332
223,52,52.746,0.746
224,55,55.084,0.084
225,20,21.797,1.797
226,8,11.224,3.224
227,28,48.877,20.877
228,69,63.923,-5.077
229,53,49.667,-3.333
230,40,38.364,-1.636
231,28,34.419,6.419
232,54,50.614,-3.386
233,20,17.126,-2.874
234,49,45.516,-3.484
235,37,33.558,-3.442
236,33,31.397,-1.603
237,62,55.908,-6.092
238,38,39.849,1.849
239,46,40.515,-5.485
240,22,24.934,2.934
241,48,55.138,7.138
242,-3,4.012,7.012
243,44,37.758,-6.242
244,56,52.839,-3.161
245,30,26.331,-3.669
246,63,62.019,-0.981
247,59,57.346,-1.654
248,18,22.408,4.408
249,32,23.803,-8.197
250,21,21.92,0.92
251,3,9.516,6.516
252,37,31.397,-5.603
253,47,51.464,4.464
254,30,30.047,0.047
255,58,56.453,-1.547
256,38,33.005,-4.995
257,38,29.695,-8.305
258,26,21.861,-4.139
259,14,13.451,-0.549
260,39,31.428,-7.572
261,33,31.475,-1.525
262,40,39.465,-0.535
263,56,51.991,-4.009
264,13,13.569,0.569
265,17,21.133,4.133
266,29,25.775,-3.225
267,7,10.4,3.4
268,28,29.362,1.362
269,46,47.903,1.903
270,20,18.896,-1.104
271,14,9.771,-4.229
272,33,27.142,-5.858
273,18,21.073,3.073
274,19,16.314,-2.686
275,54,58.131,4.131
276,-10,0.154,10.154
277,46,47.409,1.409
278,39,37.71,-1.29
279,55,48.425,-6.575
280,59,55.327,-3.673
281,65,59.656,-5.344
282,-2,9.029,11.029
283,28,29.757,1.757
284,18,23.457,5.457
285,27,26.549,-0.451
286,53,60.974,7.974
287,30,28.685,-1.315
288,48,48.934,0.934
289,32,32.391,0.391
290,31,26.834,-4.166
291,36,37.141,1.141
292,13,15.367,2.367
293,54,51.569,-2.431
294,33,32.099,-0.901
295,45,48.842,3.842
296,5,11.113,6.113
297,26,21.073,-4.927
298,24,31.337,7.337
299,39,35.555,-3.445
300,23,21.598,-1.402
301,56,52.92,-3.08
302,42,40.369,-1.631
303,53,50.314,-2.686
304,28,25.537,-2.463
305,17,13.118,-3.882
306,36,37.747,1.747
307,34,31.287,-2.713
308,10,10.573,0.573
309,70,63.784,-6.216
310,1,4.434,3.434
311,12,14.196,2.196
312,26,21.671,-4.329
313,5,10.53,5.53
314,30,28.329,-1.671
315,36,30.623,-5.377
316,-14,-1.789,12.211
317,65,62.261,-2.739
318,49,62.076,13.076
319,54,63.766,9.766
320,34,30.182,-3.818
321,59,61.142,2.142
322,49,49.312,0.312
323,61,62.053,1.053
324,-2,7.032,9.032
325,53,55.306,2.306
326,14,15.574,1.574
327,58,57.376,-0.624
328,33,40.434,7.434
329,46,41.423,-4.577
330,15,24.415,9.415
331,13,13.342,0.342
332,44,54.979,10.979
333,53,49.273,-3.727
334,28,22.361,-5.639
335,30,25.397,-4.603
336,27,24.041,-2.959
337,16,13.2,-2.8
338,46,41.167,-4.833
339,30,21.292,-8.708
340,37,31.961,-5.039
341,59,56.049,-2.951
342,11,13.507,2.507
343,13,10.113,-2.887
344,30,22.574,-7.426
345,49,45.382,-3.618
346,31,26.475,-4.525
347,42,40.846,-1.154
348,8,7.058,-0.942
349,52,48.455,-3.545
350,34,47.269,13.269
351,13,13.234,0.234
352,34,30.802,-3.198
353,28,27.012,-0.988
354,64,60.736,-3.264
355,21,22.424,1.424
356,37,34.025,-2.975
357,4,0.345,-3.655
358,24,20.527,-3.473
359,56,54.945,-1.055
360,65,61.334,-3.666
361,37,37.424,0.424
362,42,38.687,-3.313
363,15,27.926,12.926
364,17,34.362,17.362
365,35,34.141,-0.859
366,33,29.072,-3.928
367,58,53.311,-4.689
368,47,48.075,1.075
369,66,62.599,-3.401
370,31,34.909,3.909
371,7,28.364,21.364
372,18,17.18,-0.82
