inst#,actual,predicted,error
1,63,58.791,-4.209
2,63,60.304,-2.696
3,47,41.831,-5.169
4,21,20.754,-0.246
5,42,40.702,-1.298
6,68,65.7,-2.3
7,14,11.846,-2.154
8,43,45.322,2.322
9,52,56.778,4.778
10,9,9.323,0.323
11,68,65.264,-2.736
12,36,37.459,1.459
13,32,35.164,3.164
14,69,63.701,-5.299
15,28,36.879,8.879
16,21,25.522,4.522
17,67,62.993,-4.007
18,45,40.567,-4.433
19,41,43.366,2.366
20,32,26.545,-5.455
21,48,57.05,9.05
22,49,50.393,1.393
23,45,44.504,-0.496
24,12,11.678,-0.322
25,66,61.988,-4.012
26,52,48.843,-3.157
27,47,44.006,-2.994
28,5,2.148,-2.852
29,17,9.523,-7.477
30,7,7.875,0.875
31,58,59.979,1.979
32,19,17.032,-1.968
33,18,14.391,-3.609
34,60,56.367,-3.633
35,56,57.954,1.954
36,12,21.773,9.773
37,30,24.46,-5.54
38,0,-2.639,-2.639
39,9,10.836,1.836
40,60,59.067,-0.933
41,47,50.707,3.707
42,42,45.352,3.352
43,41,34.066,-6.934
44,12,14.537,2.537
45,64,61.166,-2.834
46,23,21.487,-1.513
47,43,44.171,1.171
48,27,32.119,5.119
49,38,31.814,-6.186
50,37,38.686,1.686
51,10,12.281,2.281
52,28,28.488,0.488
53,22,31.523,9.523
54,43,41.033,-1.967
55,42,39.065,-2.935
56,62,60.973,-1.027
57,31,33.025,2.025
58,53,52.375,-0.625
59,25,22.326,-2.674
60,16,17.191,1.191
61,10,9.906,-0.094
62,20,14.64,-5.36
63,0,6.457,6.457
64,65,62.754,-2.246
65,65,59.357,-5.643
66,50,45.515,-4.485
67,19,16.836,-2.164
68,13,15.196,2.196
69,9,17.399,8.399
70,37,35.892,-1.108
71,56,54.392,-1.608
72,46,45.321,-0.679
73,60,58.176,-1.824
74,27,23.255,-3.745
75,48,41.23,-6.77
76,16,12.368,-3.632
77,57,52.624,-4.376
78,10,5.474,-4.526
79,39,42.255,3.255
80,40,38.07,-1.93
81,34,34.791,0.791
82,5,4.343,-0.657
83,17,26.821,9.821
84,69,65.465,-3.535
85,-1,3.839,4.839
86,63,61.415,-1.585
87,51,50.507,-0.493
88,61,59.253,-1.747
89,38,37.604,-0.396
90,56,60.299,4.299
91,28,25.709,-2.291
92,66,62.009,-3.991
93,36,54.102,18.102
94,-10,-4.644,5.356
95,34,31.317,-2.683
96,20,16.943,-3.057
97,20,16.087,-3.913
98,-6,-5.144,0.856
99,23,19.301,-3.699
100,53,54.188,1.188
101,56,53.332,-2.668
102,18,9.336,-8.664
103,65,65.158,0.158
104,57,58.397,1.397
105,56,55.704,-0.296
106,-2,-0.433,1.567
107,57,58.496,1.496
108,51,50.708,-0.292
109,14,10.393,-3.607
110,20,20.845,0.845
111,57,54.771,-2.229
112,55,50.998,-4.002
113,54,56.384,2.384
114,39,58.625,19.625
115,58,62.33,4.33
116,67,63.141,-3.859
117,60,62.105,2.105
118,19,21.307,2.307
119,32,28.821,-3.179
120,14,8.809,-5.191
121,31,30.731,-0.269
122,55,55.928,0.928
123,52,50.48,-1.52
124,50,47.538,-2.462
125,64,60.234,-3.766
126,68,64.011,-3.989
127,-1,1.792,2.792
128,8,9.857,1.857
129,15,6.737,-8.263
130,19,21.245,2.245
131,11,7.223,-3.777
132,15,17.404,2.404
133,25,25.247,0.247
134,31,21.95,-9.05
135,42,36.189,-5.811
136,25,22.723,-2.277
137,38,32.463,-5.537
138,21,25.237,4.237
139,38,38.765,0.765
140,31,25.672,-5.328
141,66,64.308,-1.692
142,41,39.711,-1.289
143,36,38.965,2.965
144,49,47.569,-1.431
145,57,58.997,1.997
146,66,62.771,-3.229
147,36,31.97,-4.03
148,62,63.355,1.355
149,33,26.829,-6.171
150,59,59.343,0.343
151,-2,-3.442,-1.442
152,42,55.917,13.917
153,3,2.085,-0.915
154,31,29.618,-1.382
155,58,54.098,-3.902
156,64,60.082,-3.918
157,22,19.85,-2.15
158,13,12.935,-0.065
159,59,58.895,-0.105
160,30,33.692,3.692
161,58,55.075,-2.925
162,62,63.251,1.251
163,30,26.849,-3.151
164,19,17.011,-1.989
165,10,6.985,-3.015
166,25,23.414,-1.586
167,63,60.796,-2.204
168,26,24.968,-1.032
169,38,41.243,3.243
170,18,12.455,-5.545
171,65,63.635,-1.365
172,44,37.722,-6.278
173,58,55.431,-2.569
174,47,45.922,-1.078
175,44,57.814,13.814
176,65,59.834,-5.166
177,24,41.799,17.799
178,27,18.959,-8.041
179,62,60.962,-1.038
180,35,33.313,-1.687
181,19,16.466,-2.534
182,53,48.464,-4.536
183,34,30.834,-3.166
184,62,56.864,-5.136
185,52,50.963,-1.037
186,59,53.995,-5.005
187,14,29.985,15.985
188,70,66.38,-3.62
189,48,43.433,-4.567
190,27,26.452,-0.548
191,36,36.748,0.748
192,20,23.279,3.279
193,7,8.642,1.642
194,10,14.923,4.923
195,58,60.02,2.02
196,-4,1.933,5.933
197,63,61.622,-1.378
198,45,47.465,2.465
199,35,38.467,3.467
200,61,57.317,-3.683
201,26,29.694,3.694
202,41,36.638,-4.362
203,34,45.643,11.643
204,50,51.931,1.931
205,-8,-5.467,2.533
206,20,19.85,-0.15
207,61,60.296,-0.704
208,37,45.063,8.063
209,60,56.965,-3.035
210,8,5.689,-2.311
211,32,30.967,-1.033
212,32,33.626,1.626
213,73,71.707,-1.293
214,26,23.676,-2.324
215,14,9.585,-4.415
216,44,46.452,2.452
217,51,46.495,-4.505
218,31,28.362,-2.638
219,20,16.443,-3.557
220,32,36.775,4.775
221,14,7.865,-6.135
222,58,58.294,0.294
223,52,50.231,-1.769
224,55,53.998,-1.002
225,20,22.712,2.712
226,8,9.046,1.046
227,28,46.035,18.035
228,69,63.928,-5.072
229,53,48.787,-4.213
230,40,36.078,-3.922
231,28,26.329,-1.671
232,54,53.052,-0.948
233,20,15.886,-4.114
234,49,46.562,-2.438
235,37,36.075,-0.925
236,33,33.133,0.133
237,62,56.305,-5.695
238,38,36.963,-1.037
239,46,41.147,-4.853
240,22,27.165,5.165
241,48,54.889,6.889
242,-3,-2.496,0.504
243,44,39.117,-4.883
244,56,51.433,-4.567
245,30,28.178,-1.822
246,63,63.621,0.621
247,59,57.133,-1.867
248,18,17.044,-0.956
249,32,24.274,-7.726
250,21,18.549,-2.451
251,3,3.872,0.872
252,37,33.133,-3.867
253,47,52.382,5.382
254,30,32.25,2.25
255,58,55.652,-2.348
256,38,34.842,-3.158
257,38,30.841,-7.159
258,26,21.542,-4.458
259,14,10.731,-3.269
260,39,32.091,-6.909
261,33,30.668,-2.332
262,40,40.851,0.851
263,56,50.998,-5.002
264,13,14.765,1.765
265,17,19.78,2.78
266,29,27.343,-1.657
267,7,7.223,0.223
268,28,29.805,1.805
269,46,44.23,-1.77
270,20,17.322,-2.678
271,14,6.829,-7.171
272,33,28.783,-4.217
273,18,20.63,2.63
274,19,15.492,-3.508
275,54,55.845,1.845
276,-10,-8.705,1.295
277,46,44.987,-1.013
278,39,37.428,-1.572
279,55,48.961,-6.039
280,59,55.072,-3.928
281,65,60.469,-4.531
282,-2,5.677,7.677
283,28,32.374,4.374
284,18,23.531,5.531
285,27,27.326,0.326
286,53,61.335,8.335
287,30,29.515,-0.485
288,48,48.38,0.38
289,32,33.675,1.675
