iinst#,actual,predicted,error
1,63,60.272,-2.728
2,63,62.45,-0.55
3,47,41.139,-5.861
4,21,20.917,-0.083
5,42,39.995,-2.005
6,68,65.843,-2.157
7,14,12.481,-1.519
8,43,45.612,2.612
9,52,57.637,5.637
10,9,9.395,0.395
11,68,65.117,-2.883
12,36,37.437,1.437
13,32,34.199,2.199
14,69,64.47,-4.53
15,28,36.627,8.627
16,21,25.896,4.896
17,67,64.012,-2.988
18,45,39.911,-5.089
19,41,40.909,-0.091
20,32,26.563,-5.437
21,48,57.368,9.368
22,49,48.468,-0.532
23,45,43.204,-1.796
24,12,11.606,-0.394
25,66,64.091,-1.909
26,52,49.084,-2.916
27,47,43.187,-3.813
28,5,2.359,-2.641
29,17,9.954,-7.046
30,7,8.634,1.634
31,58,60.462,2.462
32,19,17.079,-1.921
33,18,14.699,-3.301
34,60,56.642,-3.358
35,56,57.021,1.021
36,12,21.978,9.978
37,30,23.965,-6.035
38,0,-1.357,-1.357
39,9,10.63,1.63
40,60,59.01,-0.99
41,47,48.199,1.199
42,42,44.807,2.807
43,41,32.977,-8.023
44,12,14.073,2.073
45,64,62.103,-1.897
46,23,20.784,-2.216
47,43,42.629,-0.371
48,27,31.096,4.096
49,38,31.164,-6.836
50,37,37.478,0.478
51,10,12.89,2.89
52,28,28.603,0.603
53,22,31.391,9.391
54,43,39.078,-3.922
55,42,37.965,-4.035
56,62,61.913,-0.087
57,31,33.337,2.337
58,53,51.908,-1.092
59,25,21.918,-3.082
60,16,17.637,1.637
61,10,10.282,0.282
62,20,14.708,-5.292
63,0,7.245,7.245
64,65,62.481,-2.519
65,65,60.462,-4.538
66,50,44.349,-5.651
67,19,17.152,-1.848
68,13,15.28,2.28
69,9,17.408,8.408
70,37,35.251,-1.749
71,56,55.001,-0.999
72,46,43.276,-2.724
73,60,58.284,-1.716
74,27,23.293,-3.707
75,48,39.933,-8.067
76,16,12.499,-3.501
77,57,53.36,-3.64
78,10,5.71,-4.29
79,39,41.256,2.256
80,40,33.997,-6.003
81,34,34.187,0.187
82,5,5.039,0.039
83,17,26.651,9.651
84,69,67.105,-1.895
85,-1,4.549,5.549
86,63,62.103,-0.897
87,51,49.999,-1.001
88,61,59.736,-1.264
89,38,37.046,-0.954
90,56,59.656,3.656
91,28,26.061,-1.939
92,66,63.365,-2.635
93,36,53.549,17.549
94,-10,-3.794,6.206
95,34,30.357,-3.643
96,20,17.392,-2.608
97,20,15.704,-4.296
98,-6,-4.679,1.321
99,23,19.446,-3.554
100,53,54.007,1.007
101,56,53.818,-2.182
102,18,9.553,-8.447
103,65,65.385,0.385
104,57,59.546,2.546
105,56,55.191,-0.809
106,-2,0.613,2.613
107,57,57.478,0.478
108,51,51.987,0.987
109,14,10.773,-3.227
110,20,20.367,0.367
111,57,54.465,-2.535
112,55,51.987,-3.013
113,54,56.911,2.911
114,39,60.272,21.272
115,58,62.56,4.56
116,67,63.744,-3.256
117,60,62.292,2.292
118,19,20.857,1.857
119,32,28.378,-3.622
120,14,8.824,-5.176
121,31,29.864,-1.136
122,55,55.459,0.459
123,52,51.261,-0.739
124,50,46.906,-3.094
125,64,59.925,-4.075
126,68,65.196,-2.804
127,-1,2.11,3.11
128,8,10.834,2.834
129,15,7.174,-7.826
130,19,21.25,2.25
131,11,7.901,-3.099
132,15,18.118,3.118
133,25,24.781,-0.219
134,31,21.273,-9.727
135,42,35.735,-6.265
136,25,22.959,-2.041
137,38,32.055,-5.945
138,21,24.702,3.702
139,38,37.639,-0.361
140,31,25.111,-5.889
141,66,64.659,-1.341
142,41,39.014,-1.986
143,36,38.198,2.198
144,49,48.437,-0.563
145,57,57.936,0.936
146,66,62.749,-3.251
147,36,31.09,-4.91
148,62,63.207,1.207
149,33,26.098,-6.902
150,59,59.199,0.199
151,-2,-2.964,-0.964
152,42,54.654,12.654
153,3,2.752,-0.248
154,31,29.51,-1.49
155,58,54.544,-3.456
156,64,61.188,-2.812
157,22,19.544,-2.456
158,13,13.15,0.15
159,59,59.546,0.546
160,30,32.965,2.965
161,58,55.727,-2.273
162,62,62.481,0.481
163,30,26.494,-3.506
164,19,17.473,-1.527
165,10,7.183,-2.817
166,25,23.614,-1.386
167,63,61.108,-1.892
168,26,24.852,-1.148
169,38,39.536,1.536
170,18,12.107,-5.893
171,65,64.738,-0.262
172,44,36.576,-7.424
173,58,55.459,-2.541
174,47,44.002,-2.998
175,44,59.089,15.089
176,65,59.736,-5.264
177,24,41.256,17.256
178,27,19.119,-7.881
179,62,61.108,-0.892
180,35,32.478,-2.522
181,19,16.191,-2.809
182,53,48.168,-4.832
183,34,30.262,-3.738
184,62,56.642,-5.358
185,52,51.451,-0.549
186,59,53.818,-5.182
187,14,29.049,15.049
188,70,67.563,-2.437
189,48,42.977,-5.023
190,27,26.244,-0.756
191,36,36.149,0.149
192,20,22.74,2.74
193,7,9.055,2.055
194,10,15.033,5.033
195,58,60.462,2.462
196,-4,2.904,6.904
197,63,62.103,-0.897
198,45,45.375,0.375
199,35,35.18,0.18
200,61,57.637,-3.363
201,26,29.039,3.039
202,41,36.066,-4.934
203,34,44.427,10.427
204,50,52.713,2.713
205,-8,-4.138,3.862
206,20,19.544,-0.456
207,61,60.651,-0.349
208,37,43.618,6.618
209,60,56.911,-3.089
210,8,7.06,-0.94
211,32,30.819,-1.181
212,32,33.752,1.752
213,73,72.218,-0.782
214,26,23.781,-2.219
215,14,9.561,-4.439
216,44,44.849,0.849
217,51,45.99,-5.01
218,31,27.73,-3.27
219,20,15.953,-4.047
220,32,36.228,4.228
221,14,8.318,-5.682
222,58,58.82,0.82
223,52,51.261,-0.739
224,55,54.275,-0.725
225,20,22.879,2.879
226,8,9.543,1.543
227,28,43.197,15.197
228,69,65.196,-3.804
229,53,47.821,-5.179
230,40,35.652,-4.348
231,28,26.004,-1.996
232,54,50.835,-3.165
233,20,16.172,-3.828
234,49,48.058,-0.942
235,37,35.02,-1.98
236,33,32.551,-0.449
237,62,55.917,-6.083
238,38,36.394,-1.606
239,46,40.721,-5.279
240,22,27.61,5.61
241,48,55.001,7.001
242,-3,-1.826,1.174
243,44,38.282,-5.718
244,56,52.713,-3.287
245,30,28.197,-1.803
246,63,63.475,0.475
247,59,57.368,-1.632
248,18,16.922,-1.078
249,32,23.564,-8.436
250,21,18.711,-2.289
251,3,3.998,0.998
252,37,32.551,-4.449
253,47,51.372,4.372
254,30,31.574,1.574
255,58,56.722,-1.278
256,38,34.505,-3.495
257,38,29.946,-8.054
258,26,21.734,-4.266
259,14,11.259,-2.741
260,39,31.252,-7.748
261,33,30.257,-2.743
262,40,39.447,-0.553
263,56,51.987,-4.013
264,13,14.475,1.475
265,17,20.489,3.489
266,29,26.669,-2.331
267,7,7.901,0.901
268,28,29.121,1.121
269,46,44.349,-1.651
270,20,17.879,-2.121
271,14,7.493,-6.507
272,33,28.218,-4.782
273,18,20.913,2.913
274,19,15.763,-3.237
275,54,56.911,2.911
276,-10,-7.091,2.909
277,46,46.606,0.606
278,39,36.725,-2.275
279,55,49.62,-5.38
280,59,55.27,-3.73
281,65,62.45,-2.55
282,-2,6.112,8.112
283,28,31.578,3.578
284,18,23.381,5.381
285,27,26.905,-0.095
286,53,61.108,8.108
287,30,29.112,-0.888
288,48,45.832,-2.168
289,32,33.201,1.201
290,31,27.397,-3.603
291,36,37.816,1.816
292,13,10.757,-2.243
293,54,51.072,-2.928
294,33,31.979,-1.021
295,45,52.524,7.524
296,5,9.288,4.288
297,26,20.672,-5.328
298,24,33.263,9.263
299,39,35.269,-3.731
300,23,21.183,-1.817
301,56,51.798,-4.202
302,42,40.315,-1.685
303,53,50.615,-2.385
304,28,24.664,-3.336
305,17,13.468,-3.532
306,36,38.28,2.28
307,34,32.815,-1.185
308,10,8.233,-1.767
309,70,66.569,-3.431
310,1,-0.334,-1.334
311,12,13.297,1.297
312,26,21.671,-4.329
313,5,9.406,4.406
314,30,26.646,-3.354
315,36,34.984,-1.016
316,-14,-8.552,5.448
317,65,62.56,-2.44
318,49,61.913,12.913
319,54,66.111,12.111
320,34,30.332,-3.668
321,59,61.913,2.913
322,49,47.979,-1.021
323,61,61.834,0.834
324,-2,-3.044,-1.044
325,53,55.38,2.38
