inst#,actual,predicted,error
1,63,57.229,-5.771
2,63,60.245,-2.755
3,47,38.727,-8.273
4,21,17.576,-3.424
5,42,37.67,-4.33
6,68,63.865,-4.135
7,14,9.408,-4.592
8,43,42.775,-0.225
9,52,54.375,2.375
10,9,6.109,-2.891
11,68,62.999,-5.001
12,36,34.054,-1.946
13,32,32.135,0.135
14,69,62.273,-6.727
15,28,33.666,5.666
16,21,22.617,1.617
17,67,61.618,-5.382
18,45,37.393,-7.607
19,41,39.97,-1.03
20,32,23.027,-8.973
21,48,54.337,6.337
22,49,46.218,-2.782
23,45,42.21,-2.79
24,12,8.458,-3.542
25,66,62.048,-3.952
26,52,45.366,-6.634
27,47,41.27,-5.73
28,5,1.297,-3.703
29,17,6.706,-10.294
30,7,5.939,-1.061
31,58,58.299,0.299
32,19,13.958,-5.042
33,18,11.265,-6.735
34,60,53.145,-6.855
35,56,53.583,-2.417
36,12,18.561,6.561
37,30,20.904,-9.096
38,0,-1.628,-1.628
39,9,7.289,-1.711
40,60,56.691,-3.309
41,47,46.436,-0.564
42,42,42.041,0.041
43,41,31.178,-9.822
44,12,10.779,-1.221
45,64,58.694,-5.306
46,23,18.001,-4.999
47,43,40.879,-2.121
48,27,28.786,1.786
49,38,28.433,-9.567
50,37,35.866,-1.134
51,10,9.734,-0.266
52,28,25.419,-2.581
53,22,28.594,6.594
54,43,37.934,-5.066
55,42,36.162,-5.838
56,62,60.25,-1.75
57,31,30.025,-0.975
58,53,49.364,-3.636
59,25,19.03,-5.97
60,16,14.587,-1.413
61,10,7.489,-2.511
62,20,11.58,-8.42
63,0,3.611,3.611
64,65,58.761,-6.239
65,65,56.767,-8.233
66,50,42.799,-7.201
67,19,13.131,-5.869
68,13,11.82,-1.18
69,9,13.915,4.915
70,37,32.696,-4.304
71,56,51.016,-4.984
72,46,41.646,-4.354
73,60,54.955,-5.045
74,27,19.39,-7.61
75,48,38.474,-9.526
76,16,9.183,-6.817
77,57,49.315,-7.685
78,10,2.812,-7.188
79,39,39.113,0.113
80,40,35.207,-4.793
81,34,31.56,-2.44
82,5,3.26,-1.74
83,17,23.69,6.69
84,69,64.909,-4.091
85,-1,2.65,3.65
