inst#,actual,predicted,error
1,63,35.019,-27.981
2,63,35.019,-27.981
3,47,35.019,-11.981
4,21,35.019,14.019
5,42,35.019,-6.981
6,68,35.019,-32.981
7,14,35.019,21.019
8,43,35.019,-7.981
9,52,35.019,-16.981
10,9,35.019,26.019
11,68,35.019,-32.981
12,36,35.019,-0.981
13,32,35.019,3.019
14,69,35.019,-33.981
15,28,35.019,7.019
16,21,35.019,14.019
17,67,35.019,-31.981
18,45,35.019,-9.981
19,41,35.019,-5.981
20,32,35.019,3.019
21,48,35.019,-12.981
22,49,35.019,-13.981
23,45,35.019,-9.981
24,12,35.019,23.019
25,66,35.019,-30.981
26,52,35.019,-16.981
27,47,35.019,-11.981
28,5,35.019,30.019
29,17,35.019,18.019
30,7,35.019,28.019
31,58,35.019,-22.981
32,19,35.019,16.019
33,18,35.019,17.019
34,60,35.019,-24.981
35,56,35.019,-20.981
36,12,35.019,23.019
37,30,35.019,5.019
38,0,35.019,35.019
39,9,35.019,26.019
40,60,35.019,-24.981
41,47,35.019,-11.981
42,42,35.019,-6.981
43,41,35.019,-5.981
44,12,35.019,23.019
45,64,35.019,-28.981
46,23,35.019,12.019
47,43,35.019,-7.981
48,27,35.019,8.019
49,38,35.019,-2.981
50,37,35.019,-1.981
51,10,35.019,25.019
52,28,35.019,7.019
53,22,35.019,13.019
54,43,35.019,-7.981
55,42,35.019,-6.981
56,62,35.019,-26.981
57,31,35.019,4.019
58,53,35.019,-17.981
59,25,35.019,10.019
60,16,35.019,19.019
61,10,35.019,25.019
62,20,35.019,15.019
63,0,35.019,35.019
64,65,35.019,-29.981
65,65,35.019,-29.981
66,50,35.019,-14.981
67,19,35.019,16.019
68,13,35.019,22.019
69,9,35.019,26.019
70,37,35.019,-1.981
71,56,35.019,-20.981
72,46,35.019,-10.981
73,60,35.019,-24.981
74,27,35.019,8.019
75,48,35.019,-12.981
76,16,35.019,19.019
77,57,35.019,-21.981
78,10,35.019,25.019
79,39,35.019,-3.981
80,40,35.019,-4.981
81,34,35.019,1.019
82,5,35.019,30.019
83,17,35.019,18.019
84,69,35.019,-33.981
85,-1,35.019,36.019
86,63,35.019,-27.981
87,51,35.019,-15.981
88,61,35.019,-25.981
89,38,35.019,-2.981
90,56,35.019,-20.981
91,28,35.019,7.019
92,66,35.019,-30.981
93,36,35.019,-0.981
94,-10,35.019,45.019
95,34,35.019,1.019
96,20,35.019,15.019
97,20,35.019,15.019
98,-6,35.019,41.019
99,23,35.019,12.019
100,53,35.019,-17.981
101,56,35.019,-20.981
102,18,35.019,17.019
103,65,35.019,-29.981
104,57,35.019,-21.981
105,56,35.019,-20.981
106,-2,35.019,37.019
107,57,35.019,-21.981
108,51,35.019,-15.981
109,14,35.019,21.019
110,20,35.019,15.019
111,57,35.019,-21.981
112,55,35.019,-19.981
113,54,35.019,-18.981
114,39,35.019,-3.981
115,58,35.019,-22.981
116,67,35.019,-31.981
117,60,35.019,-24.981
118,19,35.019,16.019
119,32,35.019,3.019
120,14,35.019,21.019
121,31,35.019,4.019
122,55,35.019,-19.981
123,52,35.019,-16.981
124,50,35.019,-14.981
125,64,35.019,-28.981
126,68,35.019,-32.981
127,-1,35.019,36.019
128,8,35.019,27.019
129,15,35.019,20.019
130,19,35.019,16.019
131,11,35.019,24.019
132,15,35.019,20.019
133,25,35.019,10.019
134,31,35.019,4.019
135,42,35.019,-6.981
136,25,35.019,10.019
137,38,35.019,-2.981
138,21,35.019,14.019
139,38,35.019,-2.981
140,31,35.019,4.019
141,66,35.019,-30.981
142,41,35.019,-5.981
143,36,35.019,-0.981
144,49,35.019,-13.981
145,57,35.019,-21.981
146,66,35.019,-30.981
147,36,35.019,-0.981
148,62,35.019,-26.981
149,33,35.019,2.019
150,59,35.019,-23.981
151,-2,35.019,37.019
152,42,35.019,-6.981
153,3,35.019,32.019
154,31,35.019,4.019
155,58,35.019,-22.981
156,64,35.019,-28.981
157,22,35.019,13.019
158,13,35.019,22.019
159,59,35.019,-23.981
160,30,35.019,5.019
161,58,35.019,-22.981
162,62,35.019,-26.981
163,30,35.019,5.019
164,19,35.019,16.019
165,10,35.019,25.019
166,25,35.019,10.019
167,63,35.019,-27.981
168,26,35.019,9.019
169,38,35.019,-2.981
170,18,35.019,17.019
171,65,35.019,-29.981
172,44,35.019,-8.981
173,58,35.019,-22.981
174,47,35.019,-11.981
175,44,35.019,-8.981
176,65,35.019,-29.981
177,24,35.019,11.019
178,27,35.019,8.019
179,62,35.019,-26.981
180,35,35.019,0.019
181,19,35.019,16.019
182,53,35.019,-17.981
183,34,35.019,1.019
184,62,35.019,-26.981
185,52,35.019,-16.981
186,59,35.019,-23.981
187,14,35.019,21.019
188,70,35.019,-34.981
189,48,35.019,-12.981
190,27,35.019,8.019
191,36,35.019,-0.981
192,20,35.019,15.019
193,7,35.019,28.019
194,10,35.019,25.019
195,58,35.019,-22.981
196,-4,35.019,39.019
197,63,35.019,-27.981
198,45,35.019,-9.981
199,35,35.019,0.019
200,61,35.019,-25.981
201,26,35.019,9.019
202,41,35.019,-5.981
203,34,35.019,1.019
204,50,35.019,-14.981
205,-8,35.019,43.019
206,20,35.019,15.019
207,61,35.019,-25.981
208,37,35.019,-1.981
209,60,35.019,-24.981
210,8,35.019,27.019
211,32,35.019,3.019
212,32,35.019,3.019
213,73,35.019,-37.981
214,26,35.019,9.019
215,14,35.019,21.019
216,44,35.019,-8.981
217,51,35.019,-15.981
