inst#,actual,predicted,error
1,63,56.743,-6.257
2,63,56.743,-6.257
3,47,39.439,-7.561
4,21,22.236,1.236
5,42,38.185,-3.815
6,68,64.978,-3.022
7,14,14.937,0.937
8,43,41.742,-1.258
9,52,56.743,4.743
10,9,5.619,-3.381
11,68,56.722,-11.278
12,36,39.439,3.439
13,32,38.185,6.185
14,69,64.978,-4.022
15,28,39.439,11.439
16,21,22.236,1.236
17,67,64.978,-2.022
18,45,39.439,-5.561
19,41,48.059,7.059
20,32,33.37,1.37
21,48,56.743,8.743
22,49,48.059,-0.941
23,45,50.495,5.495
24,12,4.374,-7.626
25,66,64.978,-1.022
26,52,48.059,-3.941
27,47,50.495,3.495
28,5,5.619,0.619
29,17,14.937,-2.063
30,7,8.077,1.077
31,58,61.829,3.829
32,19,13.721,-5.279
33,18,16.45,-1.55
34,60,56.743,-3.257
35,56,58.014,2.014
36,12,22.236,10.236
37,30,21.055,-8.945
38,0,-0.151,-0.151
39,9,5.619,-3.381
40,60,58.014,-1.986
41,47,48.059,1.059
42,42,48.059,6.059
43,41,38.185,-2.815
44,12,8.128,-3.872
45,64,61.829,-2.171
46,23,21.055,-1.945
47,43,48.059,5.059
48,27,28.917,1.917
49,38,31.591,-6.409
50,37,38.185,1.185
51,10,14.937,4.937
52,28,31.591,3.591
53,22,33.37,11.37
54,43,33.37,-9.63
55,42,38.185,-3.815
56,62,61.829,-0.171
57,31,39.439,8.439
58,53,44.098,-8.902
59,25,21.055,-3.945
60,16,16.45,0.45
61,10,14.937,4.937
62,20,4.374,-15.626
63,0,5.619,5.619
64,65,66.122,1.122
65,65,61.829,-3.171
66,50,48.059,-1.941
67,19,15.473,-3.527
68,13,15.473,2.473
69,9,21.055,12.055
70,37,38.185,1.185
71,56,56.743,0.743
72,46,48.059,2.059
73,60,58.014,-1.986
74,27,21.055,-5.945
75,48,39.439,-8.561
76,16,4.374,-11.626
77,57,44.098,-12.902
78,10,5.619,-4.381
79,39,39.23,0.23
80,40,33.37,-6.63
81,34,38.185,4.185
82,5,8.077,3.077
83,17,31.591,14.591
84,69,64.978,-4.022
85,-1,5.117,6.117
86,63,61.829,-1.171
87,51,48.059,-2.941
88,61,61.829,0.829
89,38,39.439,1.439
90,56,58.014,2.014
91,28,25.965,-2.035
92,66,64.978,-1.022
93,36,56.743,20.743
94,-10,-0.151,9.849
95,34,31.591,-2.409
96,20,21.055,1.055
97,20,8.128,-11.872
98,-6,-2.823,3.177
99,23,16.45,-6.55
100,53,56.743,3.743
101,56,56.743,0.743
102,18,14.937,-3.063
103,65,64.978,-0.022
104,57,56.743,-0.257
105,56,56.743,0.743
106,-2,-0.151,1.849
107,57,58.014,1.014
108,51,53.816,2.816
109,14,16.45,2.45
110,20,21.055,1.055
111,57,56.743,-0.257
112,55,53.816,-1.184
113,54,56.743,2.743
114,39,56.743,17.743
115,58,61.829,3.829
116,67,65.076,-1.924
117,60,65.076,5.076
118,19,21.055,2.055
119,32,28.917,-3.083
120,14,5.619,-8.381
121,31,28.917,-2.083
122,55,56.743,1.743
123,52,53.816,1.816
124,50,48.059,-1.941
125,64,58.014,-5.986
126,68,64.978,-3.022
