inst#,actual,predicted,error
1,63,58.857,-4.143
2,63,66,3
3,47,44.714,-2.286
4,21,22.25,1.25
5,42,40.615,-1.385
6,68,66,-2
7,14,13.222,-0.778
8,43,44.714,1.714
9,52,58.857,6.857
10,9,-0.5,-9.5
11,68,62.1,-5.9
12,36,38.465,2.465
13,32,33.714,1.714
14,69,66,-3
15,28,38.465,10.465
16,21,22.25,1.25
17,67,66,-1
18,45,38.465,-6.535
19,41,38.465,-2.535
20,32,28.622,-3.378
21,48,58.074,10.074
22,49,49.125,0.125
23,45,44.714,-0.286
24,12,13.222,1.222
25,66,66,0
26,52,48.429,-3.571
27,47,44.714,-2.286
28,5,2.636,-2.364
29,17,13.222,-3.778
30,7,8.632,1.632
31,58,62.1,4.1
32,19,13.222,-5.778
33,18,13.222,-4.778
34,60,58.074,-1.926
35,56,55.818,-0.182
36,12,22.25,10.25
37,30,20.882,-9.118
38,0,-5.4,-5.4
39,9,-0.5,-9.5
40,60,62.1,2.1
41,47,49.125,2.125
42,42,48.429,6.429
43,41,36.8,-4.2
44,12,13.154,1.154
45,64,62.1,-1.9
46,23,20.882,-2.118
47,43,38.465,-4.535
48,27,28.622,1.622
49,38,31.375,-6.625
50,37,33.714,-3.286
51,10,13.222,3.222
52,28,26.077,-1.923
53,22,26.077,4.077
54,43,38.465,-4.535
55,42,33.714,-8.286
56,62,62.1,0.1
57,31,25.4,-5.6
58,53,57,4
59,25,20.882,-4.118
60,16,16.6,0.6
61,10,13.222,3.222
62,20,13.222,-6.778
63,0,11,11
64,65,62.1,-2.9
65,65,62.1,-2.9
66,50,47,-3
67,19,17.4,-1.6
68,13,13.154,0.154
69,9,20.882,11.882
70,37,33.714,-3.286
71,56,51.727,-4.273
72,46,38.465,-7.535
73,60,58.074,-1.926
74,27,20.882,-6.118
75,48,45.111,-2.889
76,16,13.222,-2.778
77,57,51.727,-5.273
78,10,-0.5,-10.5
79,39,38.465,-0.535
80,40,25.4,-14.6
81,34,33.714,-0.286
82,5,8.632,3.632
83,17,26.077,9.077
84,69,66,-3
85,-1,2.636,3.636
86,63,62.1,-0.9
87,51,48.429,-2.571
88,61,62.1,1.1
89,38,38.465,0.465
90,56,58.074,2.074
91,28,28.622,0.622
92,66,66,0
93,36,51.727,15.727
94,-10,-5.4,4.6
95,34,31.375,-2.625
96,20,20.882,0.882
97,20,13.154,-6.846
98,-6,-2.571,3.429
99,23,18.833,-4.167
100,53,51.727,-1.273
101,56,51.727,-4.273
102,18,13.222,-4.778
103,65,66,1
104,57,58.857,1.857
105,56,55.818,-0.182
106,-2,-5.4,-3.4
107,57,55.818,-1.182
108,51,52.148,1.148
109,14,13.222,-0.778
110,20,20.882,0.882
111,57,55.818,-1.182
112,55,52.148,-2.852
113,54,58.074,4.074
114,39,58.857,19.857
115,58,62.1,4.1
116,67,62.1,-4.9
117,60,62.1,2.1
118,19,20.882,1.882
119,32,28.622,-3.378
120,14,9.364,-4.636
121,31,28.622,-2.378
122,55,57,2
123,52,52.148,0.148
124,50,48.429,-1.571
125,64,62.1,-1.9
126,68,66,-2
127,-1,2.636,3.636
128,8,8.632,0.632
129,15,9.364,-5.636
130,19,20.882,1.882
131,11,13.222,2.222
132,15,16.6,1.6
133,25,20.882,-4.118
134,31,20.882,-10.118
135,42,38.465,-3.535
136,25,22.25,-2.75
137,38,31.375,-6.625
138,21,26.077,5.077
139,38,40.615,2.615
140,31,26.077,-4.923
141,66,62.1,-3.9
142,41,38.8,-2.2
143,36,38.465,2.465
144,49,52.148,3.148
145,57,49,-8
146,66,62.1,-3.9
147,36,36.8,0.8
148,62,62.1,0.1
149,33,28.622,-4.378
150,59,58.074,-0.926
151,-2,-2.571,-0.571
152,42,55.818,13.818
153,3,2.636,-0.364
154,31,31.375,0.375
155,58,51.727,-6.273
156,64,62.1,-1.9
157,22,20.882,-1.118
158,13,11,-2
159,59,58.857,-0.143
160,30,31.375,1.375
161,58,58.074,0.074
162,62,62.1,0.1
163,30,28.622,-1.378
164,19,13.222,-5.778
165,10,9.364,-0.636
166,25,20.882,-4.118
167,63,62.1,-0.9
168,26,20.882,-5.118
169,38,38.465,0.465
170,18,-0.5,-18.5
171,65,66,1
172,44,45.111,1.111
173,58,51.727,-6.273
174,47,38.465,-8.535
175,44,58.857,14.857
176,65,62.1,-2.9
177,24,38.465,14.465
178,27,20.882,-6.118
