inst#,actual,predicted,error
1,63,61.56,-1.44
2,63,62.107,-0.893
3,47,45.7,-1.3
4,21,21.972,0.972
5,42,40.522,-1.478
6,68,65.121,-2.879
7,14,13.296,-0.704
8,43,45.47,2.47
9,52,56.446,4.446
10,9,4.086,-4.914
11,68,60.455,-7.545
12,36,38.024,2.024
13,32,33.655,1.655
14,69,66.095,-2.905
15,28,32.003,4.003
16,21,21.118,0.118
17,67,67.589,0.589
18,45,41.776,-3.224
19,41,41.308,0.308
20,32,29.246,-2.754
21,48,54.311,6.311
22,49,48.079,-0.921
23,45,46.494,1.494
24,12,9.259,-2.741
25,66,64.75,-1.25
26,52,49.292,-2.708
27,47,44.195,-2.805
28,5,5.52,0.52
29,17,10.307,-6.693
30,7,8.799,1.799
31,58,62.962,4.962
32,19,12.503,-6.497
33,18,14.609,-3.391
34,60,55.629,-4.371
35,56,55.416,-0.584
36,12,23.432,11.432
37,30,21.094,-8.906
38,0,-2.385,-2.385
39,9,1.687,-7.313
40,60,61.258,1.258
41,47,49.127,2.127
42,42,49.266,7.266
43,41,36.978,-4.022
44,12,15.064,3.064
45,64,63.139,-0.861
46,23,19.766,-3.234
47,43,43.7,0.7
48,27,28.86,1.86
49,38,28.701,-9.299
50,37,34.131,-2.869
51,10,10.865,0.865
52,28,27.509,-0.491
53,22,29.853,7.853
54,43,36.912,-6.088
55,42,37.135,-4.865
56,62,63.79,1.79
57,31,24.539,-6.461
58,53,50.834,-2.166
59,25,22.863,-2.137
60,16,14.646,-1.354
61,10,11.287,1.287
62,20,12.263,-7.737
63,0,8.505,8.505
64,65,61.95,-3.05
65,65,59.617,-5.383
66,50,50.601,0.601
67,19,18.442,-0.558
68,13,8.084,-4.916
69,9,19.542,10.542
70,37,34.942,-2.058
71,56,55.081,-0.919
72,46,46.804,0.804
73,60,60.973,0.973
74,27,21.025,-5.975
75,48,40.979,-7.021
76,16,12.53,-3.47
77,57,53.666,-3.334
78,10,4.091,-5.909
79,39,37.691,-1.309
80,40,33.229,-6.771
81,34,36.056,2.056
82,5,6.784,1.784
83,17,24.435,7.435
84,69,67.865,-1.135
85,-1,3.71,4.71
86,63,62.887,-0.113
87,51,48.753,-2.247
88,61,60.052,-0.948
89,38,36.056,-1.944
90,56,61.829,5.829
