inst#,actual,predicted,error
1,63,61.708,-1.292
2,63,61.467,-1.533
3,47,46.3,-0.7
4,21,23.65,2.65
5,42,38.717,-3.283
6,68,66.617,-1.383
7,14,14,0
8,43,46.833,3.833
9,52,55.1,3.1
10,9,2.1,-6.9
11,68,60.75,-7.25
12,36,38.25,2.25
13,32,35.8,3.8
14,69,66.783,-2.217
15,28,34.833,6.833
16,21,19.483,-1.517
17,67,68.283,1.283
18,45,41.25,-3.75
19,41,38.867,-2.133
20,32,29.15,-2.85
21,48,53.05,5.05
22,49,47.85,-1.15
23,45,48,3
24,12,8.9,-3.1
25,66,66.617,0.617
26,52,50.1,-1.9
27,47,48.2,1.2
28,5,5.95,0.95
29,17,6.7,-10.3
30,7,8.5,1.5
31,58,63.21,5.21
32,19,12.45,-6.55
33,18,17.05,-0.95
34,60,55.4,-4.6
35,56,55.35,-0.65
36,12,25.7,13.7
37,30,20.9,-9.1
38,0,-2.075,-2.075
39,9,0.1,-8.9
40,60,61.35,1.35
41,47,47.9,0.9
42,42,51.15,9.15
43,41,37.8,-3.2
44,12,15.6,3.6
45,64,63.6,-0.4
46,23,20.05,-2.95
47,43,41.717,-1.283
48,27,29,2
49,38,31.35,-6.65
50,37,29.4,-7.6
51,10,11.117,1.117
52,28,29.4,1.4
53,22,31.15,9.15
54,43,35.433,-7.567
55,42,35.6,-6.4
56,62,64.902,2.902
57,31,19.1,-11.9
58,53,54.3,1.3
59,25,28.05,3.05
60,16,17.383,1.383
61,10,10.643,0.643
62,20,11.6,-8.4
63,0,12.7,12.7
64,65,63.95,-1.05
65,65,59.15,-5.85
66,50,53,3
67,19,18.467,-0.533
68,13,7.7,-5.3
69,9,20.967,11.967
70,37,32,-5
71,56,55.95,-0.05
72,46,47.65,1.65
73,60,61,1
74,27,19.1,-7.9
75,48,43,-5
76,16,17.95,1.95
77,57,56.6,-0.4
78,10,3.5,-6.5
79,39,35.2,-3.8
80,40,29.7,-10.3
81,34,39.1,5.1
82,5,3.8,-1.2
83,17,25.15,8.15
84,69,67.1,-1.9
85,-1,2.95,3.95
86,63,64.577,1.577
87,51,51.75,0.75
88,61,57.6,-3.4
89,38,38.4,0.4
90,56,62.95,6.95
91,28,26.1,-1.9
92,66,67,1
93,36,54.1,18.1
94,-10,-4.75,5.25
95,34,35.642,1.642
96,20,20.867,0.867
97,20,6.2,-13.8
98,-6,-2.2,3.8
99,23,19.367,-3.633
100,53,51.067,-1.933
101,56,54.017,-1.983
102,18,9.717,-8.283
103,65,66.8,1.8
104,57,56.8,-0.2
105,56,53,-3
106,-2,-4.208,-2.208
107,57,56.55,-0.45
108,51,54.442,3.442
109,14,14.05,0.05
110,20,22.15,2.15
111,57,56.6,-0.4
112,55,53.625,-1.375
113,54,57.1,3.1
114,39,60.958,21.958
115,58,63.435,5.435
116,67,60.717,-6.283
117,60,64.558,4.558
118,19,16.083,-2.917
119,32,28.3,-3.7
120,14,9.25,-4.75
121,31,31.6,0.6
122,55,57.4,2.4
123,52,53.625,1.625
124,50,48.5,-1.5
125,64,60.25,-3.75
126,68,67.5,-0.5
127,-1,2.3,3.3
128,8,7.033,-0.967
129,15,-1.317,-16.317
130,19,22.183,3.183
131,11,10,-1
132,15,15.033,0.033
133,25,23.25,-1.75
134,31,27.25,-3.75
135,42,36.183,-5.817
136,25,24.167,-0.833
137,38,20.6,-17.4
138,21,26.3,5.3
139,38,40.517,2.517
140,31,25.8,-5.2
141,66,61.7,-4.3
142,41,37.467,-3.533
143,36,40.5,4.5
144,49,49.642,0.642
145,57,54.15,-2.85
146,66,64.4,-1.6
147,36,33,-3
148,62,62.1,0.1
149,33,28,-5
150,59,55.55,-3.45
151,-2,-8.075,-6.075
152,42,49.45,7.45
153,3,5.45,2.45
154,31,25.45,-5.55
155,58,58.8,0.8
156,64,64.56,0.56
157,22,12.65,-9.35
158,13,7.842,-5.158
159,59,63,4
160,30,33.433,3.433
161,58,48,-10
162,62,63.767,1.767
163,30,26.583,-3.417
164,19,12.6,-6.4
165,10,2.55,-7.45
166,25,19.05,-5.95
167,63,63.725,0.725
168,26,18.25,-7.75
169,38,38.817,0.817
170,18,-0.7,-18.7
171,65,68.15,3.15
172,44,42.1,-1.9
173,58,54.65,-3.35
174,47,48.9,1.9
175,44,58.275,14.275
176,65,63,-2
177,24,38.7,14.7
