inst#,actual,predicted,error
1,63,60.687,-2.313
2,63,62.855,-0.145
3,47,42.331,-4.669
4,21,20.605,-0.395
5,42,42,-0
6,68,65.98,-2.02
7,14,12.637,-1.363
8,43,43.789,0.789
9,52,57.299,5.299
10,9,8.126,-0.874
11,68,61.3,-6.7
12,36,37.874,1.874
13,32,35.062,3.062
14,69,65.98,-3.02
15,28,34.422,6.422
16,21,20.969,-0.031
17,67,65.98,-1.02
18,45,39.321,-5.679
19,41,40.87,-0.13
20,32,29.976,-2.024
21,48,56.586,8.586
22,49,48.986,-0.014
23,45,43.295,-1.705
24,12,11.917,-0.083
25,66,64.844,-1.156
26,52,48.754,-3.246
27,47,42.984,-4.016
28,5,3.017,-1.983
29,17,12.224,-4.776
30,7,9.278,2.278
31,58,61.295,3.295
32,19,15.615,-3.385
33,18,14.155,-3.845
34,60,56.352,-3.648
35,56,55.368,-0.632
36,12,21.099,9.099
37,30,23.925,-6.075
38,0,-1.573,-1.573
39,9,8.669,-0.331
40,60,60.012,0.012
41,47,49.044,2.044
42,42,47.482,5.482
43,41,32.595,-8.405
44,12,16.261,4.261
45,64,62.297,-1.703
46,23,21.189,-1.811
47,43,43.611,0.611
48,27,32.85,5.85
49,38,31.296,-6.704
50,37,37.003,0.003
51,10,12.945,2.945
52,28,27.288,-0.712
53,22,28.269,6.269
54,43,39.086,-3.914
55,42,38.752,-3.248
56,62,62.325,0.325
57,31,28.799,-2.201
58,53,49.453,-3.547
59,25,18.488,-6.512
60,16,15.009,-0.991
61,10,11.738,1.738
62,20,13.545,-6.455
63,0,8.372,8.372
64,65,62.514,-2.486
65,65,61.295,-3.705
66,50,44.934,-5.066
67,19,16.334,-2.666
68,13,12.429,-0.571
69,9,17.664,8.664
70,37,37.01,0.01
71,56,55.532,-0.468
72,46,42.99,-3.01
73,60,59.801,-0.199
74,27,22.951,-4.049
75,48,37.705,-10.295
76,16,13.545,-2.455
77,57,53.202,-3.798
78,10,4.459,-5.541
79,39,40.689,1.689
80,40,33.528,-6.472
81,34,34.817,0.817
82,5,6.382,1.382
83,17,26.461,9.461
84,69,66.598,-2.402
85,-1,4.667,5.667
86,63,62.297,-0.703
87,51,47.235,-3.765
88,61,61.455,0.455
89,38,36.929,-1.071
90,56,59.711,3.711
91,28,26.831,-1.169
92,66,64.094,-1.906
93,36,54.65,18.65
94,-10,-3.483,6.517
95,34,29.831,-4.169
96,20,17.664,-2.336
97,20,13.743,-6.257
98,-6,0.579,6.579
99,23,19.069,-3.931
100,53,54.49,1.49
101,56,53.906,-2.094
102,18,12.612,-5.388
103,65,65.58,0.58
104,57,60.259,3.259
105,56,54.894,-1.106
106,-2,-0.403,1.597
107,57,55.993,-1.007
108,51,52.756,1.756
109,14,14.155,0.155
110,20,20.321,0.321
111,57,55.359,-1.641
112,55,52.059,-2.941
113,54,56.789,2.789
114,39,61.02,22.02
115,58,62.57,4.57
116,67,62.63,-4.37
117,60,62.698,2.698
118,19,18.197,-0.803
119,32,27.515,-4.485
120,14,6.276,-7.724
121,31,31.296,0.296
122,55,55.984,0.984
123,52,52.309,0.309
124,50,47.457,-2.543
125,64,57.626,-6.374
126,68,66.12,-1.88
127,-1,3.017,4.017
128,8,8.546,0.546
129,15,6.456,-8.544
130,19,21.567,2.567
131,11,12.154,1.154
132,15,15.235,0.235
133,25,23.925,-1.075
134,31,20.158,-10.842
135,42,36.67,-5.33
136,25,23.148,-1.852
137,38,29.081,-8.919
138,21,22.591,1.591
139,38,36.935,-1.065
140,31,22.591,-8.409
141,66,61.3,-4.7
142,41,40.228,-0.772
143,36,39.764,3.764
144,49,47.521,-1.479
145,57,54.557,-2.443
146,66,62.518,-3.482
147,36,30.288,-5.712
148,62,62.831,0.831
149,33,26.919,-6.081
150,59,57.822,-1.178
151,-2,-4.521,-2.521
152,42,53.231,11.231
153,3,3.017,0.017
154,31,30.2,-0.8
155,58,55.532,-2.468
156,64,62.297,-1.703
157,22,15.063,-6.937
158,13,12.275,-0.725
159,59,60.489,1.489
160,30,32.039,2.039
161,58,56.242,-1.758
162,62,62.514,0.514
163,30,26.919,-3.081
164,19,16.061,-2.939
165,10,6.041,-3.959
166,25,24.02,-0.98
167,63,62.381,-0.619
168,26,22.718,-3.282
169,38,40.87,2.87
170,18,9.412,-8.588
171,65,65.953,0.953
172,44,37.723,-6.277
173,58,56.151,-1.849
174,47,44.319,-2.681
175,44,60.259,16.259
176,65,61.455,-3.545
177,24,41.028,17.028
178,27,19.055,-7.945
179,62,62.381,0.381
180,35,31.296,-3.704
181,19,14.391,-4.609
182,53,46.862,-6.138
183,34,31.296,-2.704
184,62,56.46,-5.54
185,52,51.989,-0.011
186,59,53.509,-5.491
187,14,29.518,15.518
188,70,66.598,-3.402
189,48,40.01,-7.99
190,27,25.113,-1.887
191,36,37.615,1.615
192,20,21.389,1.389
193,7,9.278,2.278
194,10,14.513,4.513
195,58,61.295,3.295
196,-4,1.611,5.611
197,63,62.297,-0.703
198,45,45.958,0.958
199,35,34.705,-0.295
200,61,56.788,-4.212
201,26,29.518,3.518
202,41,37.618,-3.382
203,34,46.045,12.045
204,50,51.323,1.323
205,-8,-2.921,5.079
206,20,15.063,-4.937
207,61,58.854,-2.146
208,37,45.648,8.648
209,60,56.819,-3.181
210,8,9.784,1.784
211,32,27.597,-4.403
212,32,30.061,-1.939
213,73,66.598,-6.402
214,26,24.913,-1.087
215,14,12.612,-1.388
216,44,46.348,2.348
217,51,48.116,-2.884
218,31,26.999,-4.001
219,20,13.743,-6.257
220,32,34.51,2.51
221,14,12.154,-1.846
222,58,58.604,0.604
223,52,52.756,0.756
224,55,53.906,-1.094
225,20,20.861,0.861
226,8,11.917,3.917
227,28,42.917,14.917
228,69,66.12,-2.88
229,53,48.259,-4.741
230,40,37.01,-2.99
231,28,25.845,-2.155
232,54,49.941,-4.059
233,20,16.305,-3.695
234,49,45.648,-3.352
235,37,35.831,-1.169
236,33,32.039,-0.961
237,62,56.302,-5.698
238,38,35.8,-2.2
239,46,40.458,-5.542
240,22,23.746,1.746
241,48,55.532,7.532
242,-3,1.899,4.899
243,44,37.764,-6.236
244,56,52.309,-3.691
245,30,24.695,-5.305
246,63,61.935,-1.065
247,59,56.586,-2.414
248,18,21.138,3.138
249,32,21.389,-10.611
250,21,20.243,-0.757
251,3,6.519,3.519
252,37,32.039,-4.961
253,47,51.042,4.042
254,30,31.296,1.296
255,58,56.814,-1.186
256,38,30.061,-7.939
257,38,30.288,-7.712
258,26,22.186,-3.814
259,14,14.952,0.952
260,39,30.288,-8.712
261,33,31.958,-1.042
262,40,38.941,-1.059
263,56,52.059,-3.941
264,13,14.21,1.21
265,17,20.605,3.605
266,29,25.413,-3.587
267,7,12.154,5.154
268,28,30.288,2.288
269,46,47.129,1.129
270,20,17.454,-2.546
271,14,11.605,-2.395
272,33,29.976,-3.024
273,18,20.605,2.605
274,19,16.832,-2.168
275,54,57.236,3.236
276,-10,-2.921,7.079
277,46,43.586,-2.414
278,39,37.618,-1.382
