inst#,actual,predicted,error
1,63,60.317,-2.683
2,63,62.119,-0.881
3,47,43.449,-3.551
4,21,21.292,0.292
5,42,42.722,0.722
6,68,66.679,-1.321
7,14,11.939,-2.061
8,43,46.999,3.999
9,52,58.13,6.13
10,9,11.209,2.209
11,68,66.162,-1.838
12,36,38.244,2.244
13,32,36.575,4.575
14,69,64.919,-4.081
15,28,37.565,9.565
16,21,25.509,4.509
17,67,64.282,-2.718
18,45,41.95,-3.05
19,41,43.837,2.837
20,32,27.548,-4.452
21,48,58.251,10.251
22,49,50.739,1.739
23,45,46.638,1.638
24,12,13.19,1.19
25,66,63.707,-2.293
26,52,49.923,-2.077
27,47,46.031,-0.969
28,5,3.108,-1.892
29,17,10.619,-6.381
30,7,8.044,1.044
31,58,61.327,3.327
32,19,17.699,-1.301
33,18,15.171,-2.829
34,60,57.431,-2.569
35,56,58.491,2.491
36,12,22.294,10.294
37,30,25.91,-4.09
38,0,-2.602,-2.602
39,9,13.011,4.011
40,60,60.243,0.243
41,47,50.91,3.91
42,42,46.401,4.401
43,41,35.278,-5.722
44,12,16.592,4.592
45,64,62.309,-1.691
46,23,23.005,0.005
47,43,45.003,2.003
48,27,34.19,7.19
49,38,33.409,-4.591
50,37,40.758,3.758
51,10,12.456,2.456
52,28,28.83,0.83
53,22,31.825,9.825
54,43,41.896,-1.104
55,42,40.797,-1.203
56,62,62.512,0.512
57,31,32.978,1.978
58,53,53.524,0.524
59,25,23.378,-1.622
60,16,17.058,1.058
61,10,10.464,0.464
62,20,15.474,-4.526
63,0,8.194,8.194
64,65,63.369,-1.631
65,65,60.569,-4.431
66,50,46.825,-3.175
67,19,18.068,-0.932
68,13,16.336,3.336
69,9,18.542,9.542
70,37,37.223,0.223
71,56,55.489,-0.511
72,46,45.74,-0.26
73,60,59.171,-0.829
74,27,24.666,-2.334
75,48,42.758,-5.242
76,16,13.594,-2.406
77,57,53.799,-3.201
78,10,7.659,-2.341
79,39,43.344,4.344
80,40,38.381,-1.619
