inst#,actual,predicted,error
1,64,68.726,4.726
2,64,68.464,4.464
3,48,57.494,9.494
4,34,31.703,-2.297
5,45,54.9,9.9
6,73,70.263,-2.737
7,28,26.414,-1.586
8,51,48.761,-2.239
9,63,59.262,-3.738
10,17,24.859,7.859
11,73,69.843,-3.157
12,48,46.569,-1.431
13,43,40.885,-2.115
14,70,70.263,0.263
15,48,39.693,-8.307
16,41,32.01,-8.99
17,69,70.306,1.306
18,48,48.102,0.102
19,55,46.278,-8.722
20,37,41.435,4.435
21,64,56.667,-7.333
22,62,58.216,-3.784
23,48,51.615,3.615
24,21,26.067,5.067
25,66,68.665,2.665
26,57,56.836,-0.164
27,48,56.554,8.554
28,15,12.411,-2.589
29,21,25.095,4.095
30,24,23.982,-0.018
31,66,63.606,-2.394
32,30,25.751,-4.249
33,27,28.249,1.249
34,64,64.597,0.597
35,68,63.449,-4.551
36,35,26.608,-8.392
37,33,38.033,5.033
38,15,12.628,-2.372
39,17,25.875,8.875
40,66,63.986,-2.014
41,63,57.648,-5.352
42,54,50.82,-3.18
43,43,44.967,1.967
44,21,27.041,6.041
45,68,69.504,1.504
46,30,30.305,0.305
47,54,48.695,-5.305
48,37,36.913,-0.087
49,39,46.121,7.121
50,43,46.664,3.664
51,28,22.611,-5.389
52,42,37.623,-4.377
53,45,33.585,-11.415
54,51,48.233,-2.767
55,45,47.4,2.4
56,66,66.023,0.023
57,48,42.432,-5.568
58,60,59.896,-0.104
59,33,31.109,-1.891
60,34,25.754,-8.246
61,24,20.244,-3.756
62,27,26.429,-0.571
63,15,20.551,5.551
64,72,70.191,-1.809
65,66,69.437,3.437
66,53,52.676,-0.324
67,27,30.251,3.251
68,26,24.182,-1.818
69,28,25.71,-2.29
70,44,45.686,1.686
71,62,63.803,1.803
72,57,53.388,-3.612
73,66,64.875,-1.125
74,32,36.132,4.132
75,48,52.08,4.08
76,23,26.592,3.592
77,60,64.049,4.049
78,12,25.082,13.082
79,51,45.76,-5.24
80,51,45.881,-5.119
81,43,44.514,1.514
82,21,14.534,-6.466
83,39,31.777,-7.223
84,71,70.796,-0.204
85,19,12.628,-6.372
86,68,68.623,0.623
87,59,56.258,-2.742
88,66,64.063,-1.937
89,48,46.578,-1.422
90,69,62.9,-6.1
91,35,44.346,9.346
92,66,68.904,2.904
93,62,53.842,-8.158
94,10,6.276,-3.724
95,39,38.906,-0.094
96,28,29.359,1.359
97,26,27.82,1.82
98,3,8.412,5.412
99,33,34.452,1.452
100,63,61.274,-1.726
101,61,63.404,2.404
102,21,25.223,4.223
103,72,69.221,-2.779
104,64,63.784,-0.216
105,64,62.608,-1.392
106,18,9.403,-8.597
107,69,66.142,-2.858
108,57,57.532,0.532
109,21,25.99,4.99
110,30,27.306,-2.694
111,64,63.039,-0.961
112,57,61.34,4.34
113,63,61.728,-1.272
114,64,57.602,-6.398
115,69,63.878,-5.122
116,70,69.966,-0.034
117,70,64.773,-5.227
118,32,28.556,-3.444
119,36,40.267,4.267
120,18,24.728,6.728
121,37,39.383,2.383
122,63,61.629,-1.371
123,57,56.967,-0.033
124,57,57.923,0.923
125,68,66.971,-1.029
126,70,70.744,0.744
127,14,8.925,-5.075
128,28,23.02,-4.98
129,18,25.234,7.234
130,32,29.686,-2.314
131,21,24.197,3.197
132,36,30.321,-5.679
133,33,34.669,1.669
134,32,35.224,3.224
135,46,47.12,1.12
136,34,37.688,3.688
137,41,47.342,6.342
138,36,28.103,-7.897
139,42,48.296,6.296
140,36,36.915,0.915
141,72,70,-2
142,46,46.668,0.668
143,46,43.288,-2.712
144,54,56.317,2.317
145,70,67.508,-2.492
146,71,68.677,-2.323
147,42,39.135,-2.865
148,72,66.813,-5.187
149,35,37.98,2.98
150,68,65.437,-2.563
151,10,7.542,-2.458
152,66,56.944,-9.056
153,15,15.365,0.365
154,39,41.534,2.534
155,61,63.56,2.56
156,66,68.356,2.356
157,30,28.483,-1.517
158,19,26.658,7.658
159,64,63.348,-0.652
160,43,39.564,-3.436
161,62,64.614,2.614
162,72,64.385,-7.615
163,35,39.783,4.783
164,30,30.567,0.567
165,18,18.242,0.242
166,30,40.384,10.384
167,69,69.603,0.603
168,30,40.411,10.411
169,52,46.223,-5.777
170,18,27.814,9.814
171,69,68.745,-0.255
172,46,45.235,-0.765
173,63,63.56,0.56
174,57,56.285,-0.715
175,63,58.845,-4.155
176,66,66.632,0.632
177,51,44.512,-6.488
178,30,34.969,4.969
179,69,65.831,-3.169
180,41,43.363,2.363
181,28,27.331,-0.669
182,55,59.573,4.573
183,37,43.784,6.784
184,64,63.789,-0.211
185,59,56.936,-2.064
186,61,63.654,2.654
187,37,32.144,-4.856
188,72,70.325,-1.675
189,50,51.889,1.889
190,34,36.698,2.698
191,46,44.007,-1.993
192,33,27.306,-5.694
193,24,18.572,-5.428
194,25,25.367,0.367
195,66,63.606,-2.394
196,19,11.365,-7.635
197,68,68.034,0.034
198,60,53.26,-6.74
199,52,43.937,-8.063
200,63,64.283,1.283
201,37,34.948,-2.052
202,44,46.284,2.284
203,48,52.567,4.567
204,57,53.437,-3.563
205,12,12.815,0.815
206,30,27.738,-2.262
207,68,65.509,-2.491
208,48,50.27,2.27
209,63,63.769,0.769
210,21,28.067,7.067
211,46,39.079,-6.921
212,48,42.102,-5.898
213,79,70.796,-8.204
214,34,35.832,1.832
215,21,24.342,3.342
216,48,53.286,5.286
217,55,57.582,2.582
218,35,39.991,4.991
219,27,27.445,0.445
220,48,40.267,-7.733
221,21,26.501,5.501
222,64,63.846,-0.154
223,57,57.924,0.924
224,62,63.614,1.614
225,37,29.687,-7.313
226,21,22.698,1.698
227,60,47.774,-12.226
228,70,70.796,0.796
229,59,60.284,1.284
230,44,44.79,0.79
231,28,45.928,17.928
232,64,60.582,-3.418
233,28,30.403,2.403
234,50,52.572,2.572
235,43,44.197,1.197
236,43,40.565,-2.435
237,64,64.215,0.215
238,42,46.649,4.649
239,48,54.822,6.822
240,43,36.584,-6.416
241,62,56.667,-5.333
242,8,11.845,3.845
243,48,48.017,0.017
244,57,62.962,5.962
245,42,38.653,-3.347
246,71,68.034,-2.966
247,64,63.372,-0.628
248,21,30.263,9.263
249,33,36.404,3.404
250,25,32.197,7.197
251,10,22.034,12.034
252,43,45.583,2.583
253,62,56.413,-5.587
254,39,39.535,0.535
255,61,63.846,2.846
256,46,46.457,0.457
257,39,43.02,4.02
258,34,35.369,1.369
259,23,25.986,2.986
260,41,43.02,2.02
261,37,42.567,5.567
262,46,44.517,-1.483
263,57,62.608,5.608
264,21,26.22,5.22
265,34,30.9,-3.1
266,34,37.121,3.121
267,21,23.409,2.409
268,39,34.692,-4.308
269,53,55.599,2.599
270,30,29.687,-0.313
271,21,25.691,4.691
272,37,40.565,3.565
273,34,30.578,-3.422
274,28,29.75,1.75
275,63,64.373,1.373
276,10,11.79,1.79
277,50,55.799,5.799
278,45,45.998,0.998
279,55,60.183,5.183
280,61,63.094,2.094
281,64,68.424,4.424
282,17,16.478,-0.522
283,39,37.219,-1.781
284,34,29.369,-4.631
285,35,33.171,-1.829
286,69,62.394,-6.606
287,39,39.783,0.783
288,61,56.36,-4.64
289,44,41.251,-2.749
290,37,39.586,2.586
291,53,43.841,-9.159
292,21,25.245,4.245
293,55,60.229,5.229
294,39,42.567,3.567
295,55,53.286,-1.714
296,25,21.93,-3.07
297,33,33.749,0.749
298,46,37.996,-8.004
299,44,43.492,-0.508
300,30,33.979,3.979
301,55,63.058,8.058
302,48,49.364,1.364
303,54,59.601,5.601
304,36,39.351,3.351
305,27,25.095,-1.905
306,48,43.267,-4.733
307,39,42.176,3.176
308,24,18.572,-5.428
309,73,70.763,-2.237
310,9,12.411,3.411
311,28,27.611,-0.389
312,32,30.981,-1.019
313,17,16.541,-0.459
314,34,42.173,8.173
315,48,42.402,-5.598
316,9,7.446,-1.554
317,69,68.445,-0.555
318,66,57.532,-8.468
319,72,65.408,-6.592
320,39,43.568,4.568
321,66,66.343,0.343
322,53,57.887,4.887
323,69,64.991,-4.009
324,3,11.845,8.845
325,66,59.911,-6.089
326,27,26.996,-0.004
327,64,63.629,-0.371
328,43,50.682,7.682
329,52,49.754,-2.246
330,33,33.07,0.07
331,26,24.956,-1.044
332,64,58.845,-5.155
333,57,60.799,3.799
334,34,33.038,-0.962
335,39,36.544,-2.456
336,30,33.372,3.372
337,23,26.92,3.92
338,46,54.206,8.206
339,30,36.659,6.659
340,39,41.662,2.662
341,61,63.153,2.153
342,26,23.294,-2.706
343,21,24.669,3.669
344,36,36.004,0.004
345,52,52.846,0.846
346,36,40.551,4.551
347,50,46.84,-3.16
348,18,18.572,0.572
349,57,57.973,0.973
350,54,48.563,-5.437
351,27,27.198,0.198
352,36,45.41,9.41
353,34,38.542,4.542
354,72,70.464,-1.536
355,30,31.713,1.713
356,37,45.506,8.506
357,12,12.411,0.411
358,30,30.918,0.918
359,60,63.058,3.058
360,66,67.974,1.974
361,39,46.326,7.326
362,46,47.117,1.117
363,37,33.07,-3.93
364,39,33.635,-5.365
365,44,44.414,0.414
366,39,43.287,4.287
367,63,62.559,-0.441
368,55,55.931,0.931
369,68,68.624,0.624
370,46,40.119,-5.881
371,39,31.783,-7.217
372,30,27.676,-2.324
