inst#,actual,predicted,error
1,64,66.94,2.94
2,64,67.132,3.132
3,48,54.801,6.801
4,34,30.888,-3.112
5,45,53.959,8.959
6,73,68.465,-4.535
7,28,25.274,-2.726
8,51,49.048,-1.952
9,63,61.754,-1.246
10,17,24.823,7.823
11,73,67.973,-5.027
12,48,46.519,-1.481
13,43,40.427,-2.573
14,70,68.522,-1.478
15,48,40.994,-7.006
16,41,31.943,-9.057
17,69,68.654,-0.346
18,48,49.306,1.306
19,55,46.57,-8.43
20,37,39.468,2.468
21,64,59.202,-4.798
22,62,57.56,-4.44
23,48,51.826,3.826
24,21,24.482,3.482
25,66,68.475,2.475
26,57,58.849,1.849
27,48,57.111,9.111
28,15,18.164,3.164
29,21,26.245,5.245
30,24,22.811,-1.189
31,66,63.609,-2.391
32,30,27.303,-2.697
33,27,28.115,1.115
34,64,64.549,0.549
35,68,63.104,-4.896
36,35,28.064,-6.936
37,33,36.259,3.259
38,15,15.934,0.934
39,17,25.635,8.635
40,66,63.689,-2.311
41,63,56.584,-6.416
42,54,50.863,-3.137
43,43,41.738,-1.262
44,21,26.581,5.581
45,68,68.027,0.027
46,30,30.831,0.831
47,54,48.121,-5.879
48,37,37.78,0.78
49,39,44.091,5.091
50,43,45.287,2.287
51,28,23.813,-4.187
52,42,37.058,-4.942
53,45,33.262,-11.738
54,51,46.575,-4.425
55,45,47.343,2.343
56,66,65.551,-0.449
57,48,41.005,-6.995
58,60,58.249,-1.751
59,33,30.998,-2.002
60,34,26.289,-7.711
61,24,22.321,-1.679
62,27,27.234,0.234
63,15,28.114,13.114
64,72,68.12,-3.88
65,66,68.054,2.054
66,53,52.238,-0.762
67,27,30.948,3.948
68,26,25.738,-0.262
69,28,26.201,-1.799
70,44,44.489,0.489
71,62,63.377,1.377
72,57,53.971,-3.029
73,66,64.871,-1.129
74,32,36.616,4.616
75,48,50.235,2.235
76,23,26.133,3.133
77,60,63.534,3.534
78,12,24.738,12.738
79,51,46.134,-4.866
80,51,42.703,-8.297
81,43,42.971,-0.029
82,21,17.897,-3.103
83,39,30.765,-8.235
84,71,69.525,-1.475
85,19,16.718,-2.282
86,68,67.216,-0.784
87,59,57.58,-1.42
88,66,65.307,-0.693
89,48,45.068,-2.932
90,69,62.871,-6.129
91,35,41.05,6.05
92,66,66.38,0.38
93,62,52.912,-9.088
94,10,11.107,1.107
95,39,38.361,-0.639
96,28,30.702,2.702
97,26,28.209,2.209
98,3,15.428,12.428
99,33,31.275,-1.725
100,63,61.25,-1.75
101,61,63.045,2.045
102,21,25.951,4.951
103,72,67.637,-4.363
104,64,64.125,0.125
105,64,60.663,-3.337
106,18,13.389,-4.611
107,69,64.133,-4.867
108,57,60.177,3.177
109,21,26.318,5.318
110,30,28.709,-1.291
111,64,63.272,-0.728
112,57,60.258,3.258
113,63,61.252,-1.748
114,64,62.123,-1.877
115,69,64.157,-4.843
116,70,68.519,-1.481
117,70,66.35,-3.65
118,32,28.473,-3.527
119,36,40.716,4.716
120,18,24.329,6.329
121,37,39.103,2.103
122,63,60.389,-2.611
123,57,58.311,1.311
124,57,57.433,0.433
125,68,65.227,-2.773
126,70,69.175,-0.825
127,14,15.717,1.717
128,28,23.909,-4.091
129,18,25.191,7.191
130,32,31.144,-0.856
131,21,23.928,2.928
132,36,27.447,-8.553
133,33,34.516,1.516
134,32,33.021,1.021
135,46,45.905,-0.095
136,34,35.798,1.798
137,41,45.013,4.013
138,36,29.955,-6.045
139,42,47.318,5.318
140,36,35.146,-0.854
141,72,68.661,-3.339
142,46,48.323,2.323
143,46,45.401,-0.599
144,54,57.034,3.034
145,70,64.988,-5.012
146,71,68.048,-2.952
147,42,38.596,-3.404
148,72,67.298,-4.702
149,35,37.434,2.434
150,68,65.223,-2.777
151,10,12.663,2.663
152,66,58.322,-7.678
153,15,19,4
154,39,40.337,1.337
155,61,62.585,1.585
156,66,67.417,1.417
157,30,29.825,-0.175
158,19,30.227,11.227
159,64,63.919,-0.081
160,43,38.309,-4.691
161,62,63.832,1.832
162,72,65.714,-6.286
163,35,38.401,3.401
164,30,30.567,0.567
165,18,21.979,3.979
166,30,40.032,10.032
167,69,67.729,-1.271
168,30,39.435,9.435
169,52,45.706,-6.294
170,18,28.114,10.114
171,69,67.746,-1.254
172,46,44.843,-1.157
173,63,62.585,-0.415
174,57,52.655,-4.345
175,63,59.968,-3.032
176,66,64.273,-1.727
177,51,47.235,-3.765
178,30,33.686,3.686
179,69,66.905,-2.095
180,41,41.382,0.382
181,28,27.281,-0.719
182,55,55.478,0.478
183,37,42.969,5.969
184,64,63.611,-0.389
185,59,60.202,1.202
186,61,62.244,1.244
187,37,33.789,-3.211
188,72,69.118,-2.882
189,50,51.103,1.103
190,34,37.618,3.618
191,46,44.183,-1.817
192,33,29.157,-3.843
193,24,20.381,-3.619
194,25,26.054,1.054
195,66,63.517,-2.483
196,19,14.895,-4.105
197,68,66.298,-1.702
198,60,55.452,-4.548
199,52,44.351,-7.649
200,63,64.047,1.047
201,37,36.335,-0.665
202,44,46.552,2.552
203,48,55.57,7.57
204,57,55.897,-1.103
205,12,13.463,1.463
206,30,28.919,-1.081
207,68,66.509,-1.491
208,48,49.687,1.687
209,63,62.861,-0.139
210,21,27.501,6.501
211,46,36.172,-9.828
212,48,40.386,-7.614
213,79,69.932,-9.068
214,34,35.94,1.94
215,21,23.746,2.746
216,48,52.946,4.946
217,55,57.44,2.44
218,35,38.924,3.924
219,27,27.668,0.668
220,48,40.9,-7.1
221,21,24.404,3.404
222,64,63.686,-0.314
223,57,60.369,3.369
224,62,62.588,0.588
