inst#,actual,predicted,error
1,64,66.941,2.941
2,64,66.853,2.853
3,48,54.78,6.78
4,34,31.318,-2.682
5,45,53.072,8.072
6,73,69.957,-3.043
7,28,24.301,-3.699
8,51,49.795,-1.205
9,63,60.55,-2.45
10,17,22.944,5.944
11,73,69.567,-3.433
12,48,48.566,0.566
13,43,40.285,-2.715
14,70,70.455,0.455
15,48,42.044,-5.956
16,41,33.72,-7.28
17,69,69.711,0.711
18,48,52.364,4.364
19,55,49.569,-5.431
20,37,41.054,4.054
21,64,57.918,-6.082
22,62,57.399,-4.601
23,48,52.715,4.715
24,21,23.292,2.292
25,66,69.238,3.238
26,57,60.199,3.199
27,48,56.729,8.729
28,15,13.986,-1.014
29,21,26.737,5.737
30,24,19.649,-4.351
31,66,62.302,-3.698
32,30,27.643,-2.357
33,27,28.014,1.014
34,64,65.009,1.009
35,68,63.497,-4.503
36,35,27.732,-7.268
37,33,36.537,3.537
38,15,13.274,-1.726
39,17,22.855,5.855
40,66,62.769,-3.231
41,63,55.51,-7.49
42,54,52.154,-1.846
43,43,42.336,-0.664
44,21,24.121,3.121
45,68,69.2,1.2
46,30,29.871,-0.129
47,54,50.727,-3.273
48,37,38.074,1.074
49,39,44.391,5.391
50,43,45.64,2.64
51,28,22.701,-5.299
52,42,38.398,-3.602
53,45,35.185,-9.815
54,51,48.551,-2.449
55,45,47.852,2.852
56,66,64.317,-1.683
57,48,42.683,-5.317
58,60,57.45,-2.55
59,33,31.848,-1.152
60,34,26.214,-7.786
61,24,20.939,-3.061
62,27,27.499,0.499
63,15,21.711,6.711
64,72,70.176,-1.824
65,66,69.56,3.56
66,53,51.103,-1.897
67,27,31.857,4.857
68,26,25.689,-0.311
69,28,24.478,-3.522
70,44,45.428,1.428
71,62,63.887,1.887
72,57,54.346,-2.654
73,66,65.147,-0.853
74,32,38.315,6.315
75,48,49.831,1.831
76,23,26.15,3.15
77,60,63.995,3.995
78,12,23.555,11.555
79,51,48.234,-2.766
80,51,43.827,-7.173
81,43,43.545,0.545
82,21,15.836,-5.164
83,39,30.911,-8.089
84,71,72.882,1.882
85,19,13.882,-5.118
86,68,67.193,-0.807
