inst#,actual,predicted,error
1,64,44.028,-19.972
2,64,44.028,-19.972
3,48,44.028,-3.972
4,34,44.028,10.028
5,45,44.028,-0.972
6,73,44.028,-28.972
7,28,44.028,16.028
8,51,44.028,-6.972
9,63,44.028,-18.972
10,17,44.028,27.028
11,73,44.028,-28.972
12,48,44.028,-3.972
13,43,44.028,1.028
14,70,44.028,-25.972
15,48,44.028,-3.972
16,41,44.028,3.028
17,69,44.028,-24.972
18,48,44.028,-3.972
19,55,44.028,-10.972
20,37,44.028,7.028
21,64,44.028,-19.972
22,62,44.028,-17.972
23,48,44.028,-3.972
24,21,44.028,23.028
25,66,44.028,-21.972
26,57,44.028,-12.972
27,48,44.028,-3.972
28,15,44.028,29.028
29,21,44.028,23.028
30,24,44.028,20.028
31,66,44.028,-21.972
32,30,44.028,14.028
33,27,44.028,17.028
34,64,44.028,-19.972
35,68,44.028,-23.972
36,35,44.028,9.028
37,33,44.028,11.028
38,15,44.028,29.028
39,17,44.028,27.028
40,66,44.028,-21.972
41,63,44.028,-18.972
42,54,44.028,-9.972
43,43,44.028,1.028
44,21,44.028,23.028
45,68,44.028,-23.972
46,30,44.028,14.028
47,54,44.028,-9.972
48,37,44.028,7.028
49,39,44.028,5.028
50,43,44.028,1.028
51,28,44.028,16.028
52,42,44.028,2.028
53,45,44.028,-0.972
54,51,44.028,-6.972
55,45,44.028,-0.972
56,66,44.028,-21.972
57,48,44.028,-3.972
58,60,44.028,-15.972
59,33,44.028,11.028
60,34,44.028,10.028
61,24,44.028,20.028
62,27,44.028,17.028
63,15,44.028,29.028
64,72,44.028,-27.972
65,66,44.028,-21.972
66,53,44.028,-8.972
67,27,44.028,17.028
68,26,44.028,18.028
69,28,44.028,16.028
70,44,44.028,0.028
71,62,44.028,-17.972
72,57,44.028,-12.972
73,66,44.028,-21.972
74,32,44.028,12.028
75,48,44.028,-3.972
76,23,44.028,21.028
77,60,44.028,-15.972
78,12,44.028,32.028
79,51,44.028,-6.972
80,51,44.028,-6.972
81,43,44.028,1.028
82,21,44.028,23.028
83,39,44.028,5.028
84,71,44.028,-26.972
85,19,44.028,25.028
86,68,44.028,-23.972
87,59,44.028,-14.972
88,66,44.028,-21.972
89,48,44.028,-3.972
90,69,44.028,-24.972
91,35,44.028,9.028
92,66,44.028,-21.972
93,62,44.028,-17.972
94,10,44.028,34.028
95,39,44.028,5.028
96,28,44.028,16.028
97,26,44.028,18.028
98,3,44.028,41.028
99,33,44.028,11.028
100,63,44.028,-18.972
101,61,44.028,-16.972
102,21,44.028,23.028
103,72,44.028,-27.972
104,64,44.028,-19.972
105,64,44.028,-19.972
106,18,44.028,26.028
107,69,44.028,-24.972
108,57,44.028,-12.972
109,21,44.028,23.028
110,30,44.028,14.028
111,64,44.028,-19.972
112,57,44.028,-12.972
113,63,44.028,-18.972
114,64,44.028,-19.972
115,69,44.028,-24.972
116,70,44.028,-25.972
117,70,44.028,-25.972
118,32,44.028,12.028
119,36,44.028,8.028
120,18,44.028,26.028
121,37,44.028,7.028
122,63,44.028,-18.972
123,57,44.028,-12.972
124,57,44.028,-12.972
125,68,44.028,-23.972
126,70,44.028,-25.972
127,14,44.028,30.028
128,28,44.028,16.028
129,18,44.028,26.028
130,32,44.028,12.028
131,21,44.028,23.028
132,36,44.028,8.028
133,33,44.028,11.028
134,32,44.028,12.028
135,46,44.028,-1.972
136,34,44.028,10.028
137,41,44.028,3.028
138,36,44.028,8.028
139,42,44.028,2.028
140,36,44.028,8.028
141,72,44.028,-27.972
142,46,44.028,-1.972
143,46,44.028,-1.972
144,54,44.028,-9.972
145,70,44.028,-25.972
146,71,44.028,-26.972
147,42,44.028,2.028
148,72,44.028,-27.972
149,35,44.028,9.028
150,68,44.028,-23.972
151,10,44.028,34.028
152,66,44.028,-21.972
153,15,44.028,29.028
154,39,44.028,5.028
155,61,44.028,-16.972
156,66,44.028,-21.972
157,30,44.028,14.028
158,19,44.028,25.028
159,64,44.028,-19.972
160,43,44.028,1.028
161,62,44.028,-17.972
162,72,44.028,-27.972
163,35,44.028,9.028
164,30,44.028,14.028
165,18,44.028,26.028
166,30,44.028,14.028
167,69,44.028,-24.972
168,30,44.028,14.028
169,52,44.028,-7.972
170,18,44.028,26.028
171,69,44.028,-24.972
172,46,44.028,-1.972
173,63,44.028,-18.972
174,57,44.028,-12.972
175,63,44.028,-18.972
176,66,44.028,-21.972
177,51,44.028,-6.972
178,30,44.028,14.028
179,69,44.028,-24.972
180,41,44.028,3.028
181,28,44.028,16.028
182,55,44.028,-10.972
183,37,44.028,7.028
184,64,44.028,-19.972
185,59,44.028,-14.972
186,61,44.028,-16.972
187,37,44.028,7.028
188,72,44.028,-27.972
189,50,44.028,-5.972
190,34,44.028,10.028
191,46,44.028,-1.972
192,33,44.028,11.028
193,24,44.028,20.028
194,25,44.028,19.028
195,66,44.028,-21.972
196,19,44.028,25.028
197,68,44.028,-23.972
198,60,44.028,-15.972
199,52,44.028,-7.972
200,63,44.028,-18.972
201,37,44.028,7.028
202,44,44.028,0.028
203,48,44.028,-3.972
204,57,44.028,-12.972
205,12,44.028,32.028
206,30,44.028,14.028
207,68,44.028,-23.972
208,48,44.028,-3.972
209,63,44.028,-18.972
210,21,44.028,23.028
211,46,44.028,-1.972
212,48,44.028,-3.972
213,79,44.028,-34.972
214,34,44.028,10.028
215,21,44.028,23.028
216,48,44.028,-3.972
217,55,44.028,-10.972
218,35,44.028,9.028
219,27,44.028,17.028
220,48,44.028,-3.972
221,21,44.028,23.028
222,64,44.028,-19.972
223,57,44.028,-12.972
224,62,44.028,-17.972
225,37,44.028,7.028
226,21,44.028,23.028
227,60,44.028,-15.972
228,70,44.028,-25.972
229,59,44.028,-14.972
230,44,44.028,0.028
231,28,44.028,16.028
232,64,44.028,-19.972
233,28,44.028,16.028
234,50,44.028,-5.972
235,43,44.028,1.028
236,43,44.028,1.028
237,64,44.028,-19.972
238,42,44.028,2.028
239,48,44.028,-3.972
240,43,44.028,1.028
241,62,44.028,-17.972
242,8,44.028,36.028
243,48,44.028,-3.972
244,57,44.028,-12.972
245,42,44.028,2.028
246,71,44.028,-26.972
247,64,44.028,-19.972
248,21,44.028,23.028
249,33,44.028,11.028
250,25,44.028,19.028
251,10,44.028,34.028
252,43,44.028,1.028
253,62,44.028,-17.972
254,39,44.028,5.028
255,61,44.028,-16.972
256,46,44.028,-1.972
257,39,44.028,5.028
258,34,44.028,10.028
259,23,44.028,21.028
260,41,44.028,3.028
261,37,44.028,7.028
262,46,44.028,-1.972
263,57,44.028,-12.972
264,21,44.028,23.028
265,34,44.028,10.028
266,34,44.028,10.028
267,21,44.028,23.028
268,39,44.028,5.028
269,53,44.028,-8.972
270,30,44.028,14.028
271,21,44.028,23.028
272,37,44.028,7.028
273,34,44.028,10.028
274,28,44.028,16.028
275,63,44.028,-18.972
276,10,44.028,34.028
277,50,44.028,-5.972
278,45,44.028,-0.972
279,55,44.028,-10.972
280,61,44.028,-16.972
281,64,44.028,-19.972
282,17,44.028,27.028
283,39,44.028,5.028
284,34,44.028,10.028
285,35,44.028,9.028
286,69,44.028,-24.972
287,39,44.028,5.028
288,61,44.028,-16.972
289,44,44.028,0.028
290,37,44.028,7.028
291,53,44.028,-8.972
292,21,44.028,23.028
293,55,44.028,-10.972
294,39,44.028,5.028
295,55,44.028,-10.972
296,25,44.028,19.028
297,33,44.028,11.028
298,46,44.028,-1.972
299,44,44.028,0.028
300,30,44.028,14.028
301,55,44.028,-10.972
302,48,44.028,-3.972
303,54,44.028,-9.972
304,36,44.028,8.028
305,27,44.028,17.028
306,48,44.028,-3.972
307,39,44.028,5.028
308,24,44.028,20.028
309,73,44.028,-28.972
310,9,44.028,35.028
311,28,44.028,16.028
312,32,44.028,12.028
313,17,44.028,27.028
314,34,44.028,10.028
315,48,44.028,-3.972
316,9,44.028,35.028
317,69,44.028,-24.972
318,66,44.028,-21.972
319,72,44.028,-27.972
320,39,44.028,5.028
321,66,44.028,-21.972
322,53,44.028,-8.972
323,69,44.028,-24.972
324,3,44.028,41.028
325,66,44.028,-21.972
326,27,44.028,17.028
327,64,44.028,-19.972
328,43,44.028,1.028
329,52,44.028,-7.972
330,33,44.028,11.028
331,26,44.028,18.028
332,64,44.028,-19.972
333,57,44.028,-12.972
334,34,44.028,10.028
335,39,44.028,5.028
336,30,44.028,14.028
337,23,44.028,21.028
338,46,44.028,-1.972
339,30,44.028,14.028
340,39,44.028,5.028
341,61,44.028,-16.972
342,26,44.028,18.028
343,21,44.028,23.028
344,36,44.028,8.028
345,52,44.028,-7.972
346,36,44.028,8.028
347,50,44.028,-5.972
348,18,44.028,26.028
349,57,44.028,-12.972
350,54,44.028,-9.972
351,27,44.028,17.028
352,36,44.028,8.028
353,34,44.028,10.028
354,72,44.028,-27.972
355,30,44.028,14.028
356,37,44.028,7.028
357,12,44.028,32.028
358,30,44.028,14.028
359,60,44.028,-15.972
360,66,44.028,-21.972
361,39,44.028,5.028
362,46,44.028,-1.972
363,37,44.028,7.028
364,39,44.028,5.028
365,44,44.028,0.028
366,39,44.028,5.028
367,63,44.028,-18.972
368,55,44.028,-10.972
369,68,44.028,-23.972
370,46,44.028,-1.972
371,39,44.028,5.028
372,30,44.028,14.028
