inst#,actual,predicted,error
1,64,67.759,3.759
2,64,69.047,5.047
3,48,60.581,12.581
4,34,30.419,-3.581
5,45,53.636,8.636
6,73,69.047,-3.953
7,28,25.787,-2.213
8,51,48.514,-2.486
9,63,53.542,-9.458
10,17,25.689,8.689
11,73,69.047,-3.953
12,48,43.433,-4.567
13,43,40.344,-2.656
14,70,69.047,-0.953
15,48,44.13,-3.87
16,41,30.419,-10.581
17,69,69.047,0.047
18,48,47.326,-0.674
19,55,47.326,-7.674
20,37,40.344,3.344
21,64,63.598,-0.402
22,62,57.935,-4.065
23,48,54.274,6.274
24,21,25.787,4.787
25,66,69.047,3.047
26,57,57.939,0.939
27,48,56.049,8.049
28,15,17.805,2.805
29,21,25.787,4.787
30,24,25.689,1.689
31,66,63.349,-2.651
32,30,25.787,-4.213
33,27,27.443,0.443
34,64,63.349,-0.651
35,68,63.349,-4.651
36,35,20.426,-14.574
37,33,34.626,1.626
38,15,11.29,-3.71
39,17,25.689,8.689
40,66,63.349,-2.651
41,63,55.212,-7.788
42,54,53.636,-0.364
43,43,41.421,-1.579
44,21,25.787,4.787
45,68,67.759,-0.241
46,30,34.626,4.626
47,54,47.326,-6.674
48,37,34.626,-2.374
49,39,43.433,4.433
50,43,40.95,-2.05
51,28,20.426,-7.574
52,42,37.328,-4.672
53,45,30.419,-14.581
54,51,47.326,-3.674
55,45,47.326,2.326
56,66,69.047,3.047
57,48,42.138,-5.862
58,60,61.081,1.081
59,33,34.626,1.626
60,34,25.787,-8.213
61,24,17.977,-6.023
62,27,25.787,-1.213
63,15,26.629,11.629
64,72,69.36,-2.64
65,66,67.759,1.759
66,53,54.274,1.274
67,27,30.419,3.419
68,26,25.787,-0.213
69,28,20.426,-7.574
70,44,43.433,-0.567
71,62,63.349,1.349
72,57,47.326,-9.674
73,66,63.349,-2.651
74,32,37.328,5.328
75,48,55.212,7.212
76,23,25.787,2.787
77,60,63.349,3.349
78,12,17.705,5.705
79,51,43.433,-7.567
80,51,47.326,-3.674
81,43,44.92,1.92
82,21,16.058,-4.942
83,39,32.455,-6.545
84,71,69.047,-1.953
85,19,11.29,-7.71
86,68,67.759,-0.241
87,59,57.939,-1.061
88,66,63.349,-2.651
89,48,43.433,-4.567
90,69,63.349,-5.651
91,35,44.13,9.13
92,66,69.047,3.047
93,62,53.636,-8.364
94,10,5,-5
