inst#,actual,predicted,error
1,64,68.588,4.588
2,64,68.588,4.588
3,48,56.56,8.56
4,34,29.261,-4.739
5,45,56.56,11.56
6,73,70,-3
7,28,26.01,-1.99
8,51,47.286,-3.714
9,63,64.5,1.5
10,17,26.01,9.01
11,73,70,-3
12,48,45.235,-2.765
13,43,42.968,-0.032
14,70,70,0
15,48,35.62,-12.38
16,41,29.261,-11.739
17,69,70,1
18,48,46,-2
19,55,47.286,-7.714
20,37,42.968,5.968
21,64,56.56,-7.44
22,62,56.56,-5.44
23,48,53.32,5.32
24,21,26.01,5.01
25,66,68.588,2.588
26,57,56.333,-0.667
27,48,56.56,8.56
28,15,16.313,1.313
29,21,26.01,5.01
30,24,26.01,2.01
31,66,62.357,-3.643
32,30,28.276,-1.724
33,27,28.276,1.276
34,64,68.6,4.6
35,68,63.25,-4.75
36,35,26.01,-8.99
37,33,36.944,3.944
38,15,9.389,-5.611
39,17,26.01,9.01
40,66,62.357,-3.643
41,63,56.56,-6.44
42,54,56.56,2.56
43,43,47.286,4.286
44,21,26.01,5.01
45,68,69.286,1.286
46,30,28.276,-1.724
47,54,47.286,-6.714
48,37,35.62,-1.38
49,39,42.968,3.968
50,43,42.968,-0.032
51,28,26.01,-1.99
52,42,35.62,-6.38
53,45,31.167,-13.833
54,51,47.286,-3.714
55,45,47.286,2.286
56,66,65.818,-0.182
57,48,45.235,-2.765
58,60,59.5,-0.5
59,33,28.276,-4.724
60,34,26.01,-7.99
61,24,16.313,-7.688
62,27,28.276,1.276
63,15,26.01,11.01
64,72,70.545,-1.455
65,66,70.545,4.545
66,53,53.32,0.32
67,27,29.261,2.261
68,26,26.01,0.01
69,28,26.01,-1.99
70,44,42.968,-1.032
71,62,63.25,1.25
72,57,56.56,-0.44
73,66,62.357,-3.643
74,32,35.62,3.62
75,48,51.5,3.5
76,23,26.01,3.01
77,60,68.6,8.6
78,12,26.01,14.01
79,51,45.235,-5.765
80,51,47.286,-3.714
81,43,42.968,-0.032
82,21,16.313,-4.688
83,39,26.01,-12.99
84,71,72.333,1.333
85,19,9.389,-9.611
86,68,68.588,0.588
87,59,56.56,-2.44
88,66,65.818,-0.182
89,48,42.968,-5.032
90,69,64.5,-4.5
91,35,48.8,13.8
92,66,65,-1
93,62,56,-6
94,10,9.389,-0.611
95,39,36.944,-2.056
96,28,29.261,1.261
97,26,28.276,2.276
98,3,9.389,6.389
99,33,36.833,3.833
100,63,63.25,0.25
101,61,63.25,2.25
102,21,28.276,7.276
103,72,68.588,-3.412
104,64,62.357,-1.643
105,64,62,-2
106,18,9.389,-8.611
107,69,68.6,-0.4
108,57,56.56,-0.44
109,21,26.01,5.01
110,30,28.276,-1.724
111,64,68.6,4.6
112,57,62,5
113,63,64.5,1.5
114,64,56,-8
115,69,62.357,-6.643
116,70,70,0
117,70,67.65,-2.35
118,32,28.276,-3.724
119,36,42.968,6.968
120,18,23.909,5.909
121,37,39.333,2.333
122,63,62,-1
123,57,53.333,-3.667
124,57,56.56,-0.44
125,68,67.545,-0.455
126,70,70.545,0.545
127,14,9.389,-4.611
128,28,26.01,-1.99
129,18,26.01,8.01
130,32,29.261,-2.739
131,21,26.01,5.01
132,36,26.01,-9.99
133,33,35.62,2.62
134,32,36.944,4.944
135,46,47.286,1.286
136,34,35.62,1.62
137,41,42.968,1.968
138,36,28.276,-7.724
139,42,42.968,0.968
140,36,36.944,0.944
141,72,70.545,-1.455
142,46,47.286,1.286
143,46,45.235,-0.765
144,54,56.56,2.56
145,70,68.6,-1.4
146,71,70.545,-0.455
147,42,36.944,-5.056
148,72,67.65,-4.35
149,35,36.944,1.944
150,68,67.65,-0.35
151,10,9.389,-0.611
152,66,56.56,-9.44
153,15,16.313,1.313
154,39,37,-2
155,61,63.267,2.267
156,66,68.588,2.588
157,30,28.276,-1.724
158,19,26.01,7.01
159,64,62.357,-1.643
160,43,39.333,-3.667
161,62,68.6,6.6
162,72,65.818,-6.182
163,35,39.333,4.333
164,30,32.143,2.143
165,18,16.313,-1.688
166,30,35.62,5.62
167,69,69.286,0.286
168,30,35.62,5.62
169,52,45.235,-6.765
170,18,28.276,10.276
171,69,68.588,-0.412
172,46,46,0
173,63,63.267,0.267
174,57,56.56,-0.44
175,63,56.56,-6.44
176,66,65,-1
177,51,48.8,-2.2
178,30,36.833,6.833
179,69,67.65,-1.35
180,41,42.968,1.968
181,28,28.276,0.276
182,55,55,0
183,37,42.968,5.968
184,64,63.267,-0.733
185,59,63.25,4.25
186,61,63.267,2.267
187,37,26.01,-10.99
188,72,70,-2
189,50,53.32,3.32
190,34,35.62,1.62
191,46,42.968,-3.032
192,33,28.276,-4.724
193,24,16.313,-7.688
194,25,26.01,1.01
195,66,62.357,-3.643
196,19,9.389,-9.611
197,68,68.588,0.588
198,60,56.56,-3.44
199,52,45.235,-6.765
200,63,65.818,2.818
201,37,35.62,-1.38
202,44,47.286,3.286
203,48,56,8
204,57,53.32,-3.68
205,12,9.389,-2.611
206,30,28.276,-1.724
207,68,67.65,-0.35
208,48,56,8
209,63,62.357,-0.643
210,21,26.01,5.01
211,46,42.968,-3.032
212,48,45.235,-2.765
213,79,72.333,-6.667
214,34,35.62,1.62
215,21,23.909,2.909
216,48,53.32,5.32
217,55,56.56,1.56
218,35,39.333,4.333
219,27,28.276,1.276
220,48,42.968,-5.032
221,21,26.01,5.01
222,64,62.357,-1.643
223,57,63.25,6.25
224,62,63.25,1.25
225,37,29.261,-7.739
226,21,26.01,5.01
227,60,48.8,-11.2
228,70,70.545,0.545
229,59,56.333,-2.667
230,44,47.286,3.286
231,28,48.8,20.8
232,64,63.5,-0.5
233,28,32.143,4.143
234,50,53.32,3.32
235,43,42.968,-0.032
236,43,42.968,-0.032
237,64,63.267,-0.733
238,42,45.235,3.235
239,48,56.56,8.56
240,43,36.833,-6.167
241,62,56.56,-5.44
242,8,9.389,1.389
243,48,46,-2
244,57,62,5
245,42,39.333,-2.667
246,71,68.588,-2.412
247,64,62.357,-1.643
248,21,29.261,8.261
249,33,36.944,3.944
250,25,29.261,4.261
251,10,26.01,16.01
252,43,42.968,-0.032
253,62,56.56,-5.44
254,39,39.333,0.333
255,61,62.357,1.357
256,46,42.968,-3.032
257,39,36.944,-2.056
258,34,36.833,2.833
259,23,26.01,3.01
260,41,36.944,-4.056
261,37,42.968,5.968
262,46,47.286,1.286
263,57,62,5
264,21,26.01,5.01
265,34,26.01,-7.99
266,34,39.333,5.333
267,21,26.01,5.01
268,39,35.62,-3.38
269,53,56.56,3.56
270,30,29.261,-0.739
271,21,26.01,5.01
272,37,42.968,5.968
273,34,29.261,-4.739
274,28,32.143,4.143
275,63,67.65,4.65
276,10,9.389,-0.611
277,50,56.56,6.56
278,45,42.968,-2.032
279,55,59.5,4.5
280,61,63.267,2.267
281,64,68.588,4.588
282,17,26.01,9.01
283,39,35.62,-3.38
284,34,29.261,-4.739
285,35,35.62,0.62
286,69,64.5,-4.5
287,39,39.333,0.333
288,61,56.56,-4.44
289,44,42.968,-1.032
290,37,39.333,2.333
291,53,45.235,-7.765
292,21,26.01,5.01
293,55,59.333,4.333
294,39,42.968,3.968
295,55,53.32,-1.68
296,25,26.01,1.01
297,33,36.833,3.833
298,46,35.62,-10.38
299,44,42.968,-1.032
300,30,35.62,5.62
301,55,56.333,1.333
302,48,56.56,8.56
303,54,59.333,5.333
304,36,35.62,-0.38
305,27,26.01,-0.99
306,48,42.968,-5.032
307,39,42.968,3.968
308,24,16.313,-7.688
309,73,70,-3
310,9,16.313,7.313
311,28,26.01,-1.99
312,32,28.276,-3.724
313,17,10.5,-6.5
314,34,45.235,11.235
315,48,45.235,-2.765
316,9,9.389,0.389
317,69,68.588,-0.412
318,66,56.56,-9.44
319,72,67.65,-4.35
320,39,42.968,3.968
321,66,62.357,-3.643
322,53,56.56,3.56
323,69,67.65,-1.35
324,3,9.389,6.389
325,66,59.333,-6.667
326,27,26.01,-0.99
327,64,62.357,-1.643
328,43,45.235,2.235
329,52,46,-6
330,33,26.01,-6.99
331,26,26.01,0.01
332,64,56.56,-7.44
333,57,60.75,3.75
334,34,28.276,-5.724
335,39,36.944,-2.056
336,30,35.62,5.62
337,23,26.667,3.667
338,46,53.32,7.32
339,30,36.944,6.944
340,39,36.944,-2.056
341,61,62.357,1.357
342,26,26.01,0.01
343,21,26.01,5.01
344,36,36.944,0.944
345,52,53.32,1.32
346,36,39.333,3.333
347,50,47.286,-2.714
348,18,16.313,-1.688
349,57,63.5,6.5
350,54,42.968,-11.032
351,27,26.01,-0.99
352,36,42.968,6.968
353,34,35.62,1.62
354,72,69.286,-2.714
355,30,29.261,-0.739
356,37,45.235,8.235
357,12,16.313,4.313
358,30,28.276,-1.724
359,60,56.333,-3.667
360,66,68.588,2.588
361,39,45.235,6.235
362,46,47.286,1.286
363,37,26.01,-10.99
364,39,26.01,-12.99
365,44,42.968,-1.032
366,39,42.968,3.968
367,63,63.267,0.267
368,55,56.56,1.56
369,68,68.588,0.588
370,46,39.333,-6.667
371,39,26.01,-12.99
372,30,28.276,-1.724
