inst#,actual,predicted,error
1,64,68.44,4.44
2,64,68.19,4.19
3,48,54.487,6.487
4,34,29.837,-4.163
5,45,54.505,9.505
6,73,69.654,-3.346
7,28,27.559,-0.441
8,51,49.49,-1.51
9,63,61.705,-1.295
10,17,23.793,6.793
11,73,69.537,-3.463
12,48,48.38,0.38
13,43,41.83,-1.17
14,70,70.055,0.055
15,48,41.311,-6.689
16,41,31.206,-9.794
17,69,70.291,1.291
18,48,46.859,-1.141
19,55,46.263,-8.737
20,37,39.371,2.371
21,64,58.782,-5.218
22,62,58.59,-3.41
23,48,51.805,3.805
24,21,25.159,4.159
25,66,69.719,3.719
26,57,56.835,-0.165
27,48,56.701,8.701
28,15,14.7,-0.3
29,21,25.028,4.028
30,24,24.151,0.151
31,66,62.981,-3.019
32,30,25.586,-4.414
33,27,27.591,0.591
34,64,63.302,-0.698
35,68,65.985,-2.015
36,35,24.958,-10.042
37,33,37.653,4.653
38,15,14.286,-0.714
39,17,25.501,8.501
40,66,63.433,-2.567
41,63,58.186,-4.814
42,54,51.796,-2.204
43,43,44.095,1.095
44,21,25.723,4.723
45,68,68.953,0.953
46,30,32.193,2.193
47,54,47.546,-6.454
48,37,37.304,0.304
49,39,45.643,6.643
50,43,44.938,1.938
51,28,21.617,-6.383
52,42,36.287,-5.713
53,45,31.27,-13.73
54,51,47.156,-3.844
55,45,49.29,4.29
56,66,65.923,-0.077
57,48,42.288,-5.712
58,60,60.288,0.288
59,33,29.564,-3.436
60,34,27.3,-6.7
61,24,19.919,-4.081
62,27,25.929,-1.071
63,15,23.545,8.545
64,72,70.916,-1.084
65,66,70.383,4.383
66,53,52.697,-0.303
67,27,32.939,5.939
68,26,23.477,-2.523
69,28,23.45,-4.55
70,44,44.904,0.904
71,62,64.169,2.169
72,57,53.171,-3.829
73,66,63.03,-2.97
74,32,35.341,3.341
75,48,51.798,3.798
76,23,25.93,2.93
77,60,66.626,6.626
78,12,23.889,11.889
79,51,44.728,-6.272
80,51,45.088,-5.912
81,43,43.616,0.616
82,21,14.283,-6.717
83,39,30.635,-8.365
84,71,71.707,0.707
85,19,13.277,-5.723
86,68,68.931,0.931
87,59,58.696,-0.304
88,66,64.889,-1.111
89,48,47.138,-0.862
90,69,62.338,-6.662
91,35,42.849,7.849
92,66,68.468,2.468
93,62,54.287,-7.713
94,10,5.376,-4.624
95,39,38.609,-0.391
96,28,27.974,-0.026
97,26,27.732,1.732
98,3,9.133,6.133
99,33,34.213,1.213
100,63,63.079,0.079
101,61,65.21,4.21
102,21,26.808,5.808
103,72,69.35,-2.65
104,64,60.624,-3.376
105,64,63.076,-0.924
106,18,8.6,-9.4
107,69,67.557,-1.443
108,57,56.327,-0.673
109,21,26.668,5.668
110,30,26.453,-3.547
111,64,65.292,1.292
112,57,60.681,3.681
113,63,59.966,-3.034
114,64,62.177,-1.823
115,69,63.188,-5.812
116,70,70.205,0.205
117,70,63.684,-6.316
118,32,28.145,-3.855
119,36,41.581,5.581
120,18,24.828,6.828
121,37,39.905,2.905
122,63,62.023,-0.977
123,57,54.949,-2.051
124,57,56.966,-0.034
125,68,67.037,-0.963
126,70,70.913,0.913
127,14,9.733,-4.267
128,28,22.872,-5.128
129,18,25.823,7.823
130,32,31.042,-0.958
131,21,23.185,2.185
132,36,30.154,-5.846
133,33,33.481,0.481
134,32,33.785,1.785
135,46,46.351,0.351
136,34,39.148,5.148
137,41,48.926,7.926
138,36,28.633,-7.367
139,42,47.314,5.314
140,36,36.184,0.184
141,72,69.739,-2.261
142,46,48.304,2.304
143,46,44.858,-1.142
144,54,56.614,2.614
145,70,68.259,-1.741
146,71,70.224,-0.776
147,42,39.793,-2.207
148,72,66.61,-5.39
149,35,37.619,2.619
150,68,64.261,-3.739
151,10,5.957,-4.043
152,66,58.641,-7.359
153,15,14.921,-0.079
154,39,41.12,2.12
155,61,64.712,3.712
156,66,67.859,1.859
157,30,28.643,-1.357
158,19,28.87,9.87
159,64,63.513,-0.487
160,43,37.575,-5.425
161,62,64.857,2.857
162,72,65.236,-6.764
163,35,39.296,4.296
164,30,31.996,1.996
165,18,19.349,1.349
166,30,40.751,10.751
167,69,70.06,1.06
168,30,41.318,11.318
169,52,44.044,-7.956
170,18,27.176,9.176
171,69,69.339,0.339
172,46,45.287,-0.713
173,63,64.712,1.712
174,57,54.093,-2.907
175,63,61.312,-1.688
176,66,65.78,-0.22
177,51,45.864,-5.136
178,30,34.55,4.55
179,69,66.041,-2.959
180,41,42.96,1.96
181,28,26.852,-1.148
182,55,56.757,1.757
183,37,43.744,6.744
184,64,64.108,0.108
185,59,57.899,-1.101
186,61,65.525,4.525
187,37,35.208,-1.792
188,72,70.778,-1.222
189,50,51.753,1.753
190,34,35.289,1.289
191,46,45.661,-0.339
192,33,26.828,-6.172
193,24,18.052,-5.948
194,25,23.924,-1.076
195,66,62.855,-3.145
196,19,11.217,-7.783
197,68,67.651,-0.349
198,60,52.595,-7.405
199,52,46.399,-5.601
200,63,65.356,2.356
201,37,34.89,-2.11
202,44,46.643,2.643
203,48,57.222,9.222
204,57,53.806,-3.194
205,12,12.488,0.488
206,30,27.328,-2.672
207,68,65.345,-2.655
208,48,49.657,1.657
209,63,63.587,0.587
210,21,27.838,6.838
211,46,37.732,-8.268
212,48,40.566,-7.434
213,79,72.002,-6.998
214,34,34.262,0.262
215,21,24.133,3.133
216,48,52.645,4.645
217,55,59.18,4.18
218,35,39.54,4.54
219,27,24.549,-2.451
220,48,41.397,-6.603
221,21,27.81,6.81
222,64,64.172,0.172
223,57,57.573,0.573
224,62,65.598,3.598
225,37,27.323,-9.677
226,21,21.645,0.645
227,60,47.711,-12.289
228,70,71.123,1.123
229,59,60.266,1.266
230,44,45.459,1.459
231,28,46.127,18.127
232,64,60.529,-3.471
233,28,31.656,3.656
234,50,52.181,2.181
235,43,42.256,-0.744
236,43,41.575,-1.425
237,64,63.842,-0.158
238,42,47.348,5.348
239,48,56.399,8.399
240,43,36.711,-6.289
241,62,57.205,-4.795
242,8,13.383,5.383
243,48,46.489,-1.511
244,57,62.791,5.791
245,42,37.101,-4.899
246,71,67.651,-3.349
247,64,62.378,-1.622
248,21,30.524,9.524
249,33,36.131,3.131
250,25,31.194,6.194
251,10,24.248,14.248
252,43,44.007,1.007
253,62,55.597,-6.403
254,39,40.305,1.305
255,61,63.27,2.27
256,46,47.228,1.228
257,39,41.371,2.371
258,34,36.256,2.256
259,23,26.079,3.079
260,41,41.504,0.504
261,37,39.991,2.991
262,46,44.441,-1.559
263,57,62.908,5.908
264,21,23.447,2.447
265,34,30.874,-3.126
266,34,36.904,2.904
267,21,25.345,4.345
268,39,35.017,-3.983
269,53,56.666,3.666
270,30,28.313,-1.687
271,21,26.541,5.541
272,37,42.017,5.017
273,34,28.738,-5.262
274,28,29.147,1.147
275,63,67.283,4.283
276,10,11.258,1.258
277,50,52.968,2.968
278,45,44.24,-0.76
279,55,60.429,5.429
280,61,63.507,2.507
281,64,68.57,4.57
282,17,18.858,1.858
283,39,36.531,-2.469
284,34,30.924,-3.076
285,35,33.573,-1.427
286,69,63.266,-5.734
287,39,39.296,0.296
288,61,56.18,-4.82
289,44,42.12,-1.88
290,37,39.45,2.45
291,53,45.953,-7.047
292,21,24.183,3.183
293,55,58.667,3.667
294,39,40.197,1.197
295,55,53.151,-1.849
296,25,19.954,-5.046
297,33,33.196,0.196
298,46,37.943,-8.057
299,44,41.173,-2.827
300,30,35.381,5.381
301,55,63.82,8.82
302,48,49.97,1.97
303,54,59.213,5.213
304,36,40.136,4.136
305,27,25.471,-1.529
306,48,43.025,-4.975
307,39,41.907,2.907
308,24,17.777,-6.223
309,73,70.26,-2.74
310,9,12.446,3.446
311,28,25.384,-2.616
312,32,30.761,-1.239
313,17,15.187,-1.813
314,34,41.621,7.621
315,48,45.898,-2.102
316,9,5.402,-3.598
