inst#,actual,predicted,error
1,64,68,4
2,64,68.4,4.4
3,48,51.717,3.717
4,34,28.55,-5.45
5,45,53.2,8.2
6,73,69.017,-3.983
7,28,28,0
8,51,50.9,-0.1
9,63,63.9,0.9
10,17,21.6,4.6
11,73,69.227,-3.773
12,48,50.3,2.3
13,43,44.4,1.4
14,70,70.233,0.233
15,48,43.542,-4.458
16,41,28.25,-12.75
17,69,70.717,1.717
18,48,45.875,-2.125
19,55,45.867,-9.133
20,37,37.5,0.5
21,64,56.033,-7.967
22,62,59.4,-2.6
23,48,51.175,3.175
24,21,24.35,3.35
25,66,69.75,3.75
26,57,54.1,-2.9
27,48,55.533,7.533
28,15,9.433,-5.567
29,21,23.308,2.308
30,24,26.633,2.633
31,66,62.45,-3.55
32,30,24.467,-5.533
33,27,26.775,-0.225
34,64,63.1,-0.9
35,68,68.75,0.75
36,35,24.55,-10.45
37,33,37.2,4.2
38,15,13.933,-1.067
39,17,26.233,9.233
40,66,63.593,-2.407
41,63,58,-5
42,54,53.35,-0.65
43,43,44.5,1.5
44,21,25.533,4.533
45,68,68.8,0.8
46,30,32.2,2.2
47,54,46.203,-7.797
48,37,36.467,-0.533
49,39,47.867,8.867
50,43,42.65,-0.35
51,28,20.75,-7.25
52,42,36.658,-5.342
53,45,28.4,-16.6
54,51,47.65,-3.35
55,45,50.8,5.8
56,66,66.9,0.9
57,48,42.9,-5.1
58,60,61.725,1.725
59,33,28.2,-4.8
60,34,25.667,-8.333
61,24,19.367,-4.633
62,27,25.3,-1.7
63,15,22.35,7.35
64,72,71.2,-0.8
65,66,70.2,4.2
66,53,52.05,-0.95
67,27,36.7,9.7
68,26,22.4,-3.6
69,28,23.25,-4.75
70,44,48.25,4.25
71,62,63.35,1.35
72,57,51.667,-5.333
73,66,61.1,-4.9
74,32,34.933,2.933
75,48,52.667,4.667
76,23,26.175,3.175
77,60,70.3,10.3
78,12,21.25,9.25
79,51,47.3,-3.7
80,51,44.45,-6.55
81,43,42.1,-0.9
82,21,15.05,-5.95
83,39,33.2,-5.8
84,71,72,1
85,19,14.583,-4.417
86,68,70.35,2.35
87,59,61.5,2.5
88,66,64.5,-1.5
89,48,49.967,1.967
90,69,62.8,-6.2
91,35,42.467,7.467
92,66,68.033,2.033
93,62,53.1,-8.9
94,10,5.1,-4.9
95,39,37.15,-1.85
96,28,27.2,-0.8
97,26,27.45,1.45
98,3,7.3,4.3
99,33,34.65,1.65
100,63,64.5,1.5
101,61,67.35,6.35
102,21,27.7,6.7
103,72,69.96,-2.04
104,64,59.2,-4.8
105,64,62.4,-1.6
106,18,6.233,-11.767
107,69,70.8,1.8
108,57,58.45,1.45
109,21,28.6,7.6
110,30,27.1,-2.9
111,64,65.4,1.4
112,57,60.975,3.975
113,63,63.3,0.3
114,64,63.8,-0.2
115,69,62.71,-6.29
116,70,70.8,0.8
117,70,62.1,-7.9
118,32,29.317,-2.683
119,36,42.583,6.583
120,18,26.833,8.833
121,37,40.7,3.7
122,63,61.575,-1.425
123,57,53.65,-3.35
124,57,55.35,-1.65
125,68,66.6,-1.4
126,70,71,1
127,14,8,-6
128,28,23.4,-4.6
129,18,28.9,10.9
130,32,34.5,2.5
131,21,23.1,2.1
132,36,31.3,-4.7
133,33,33.55,0.55
134,32,34.85,2.85
135,46,44.7,-1.3
136,34,37,3
137,41,51.5,10.5
138,36,28,-8
139,42,46.367,4.367
140,36,37.35,1.35
141,72,69.05,-2.95
142,46,48,2
143,46,42.3,-3.7
144,54,56.8,2.8
145,70,69.85,-0.15
146,71,71.4,0.4
147,42,40.5,-1.5
148,72,66.9,-5.1
149,35,38.1,3.1
150,68,61.467,-6.533
151,10,6.15,-3.85
152,66,56.717,-9.283
153,15,17.167,2.167
154,39,42.95,3.95
155,61,65.7,4.7
156,66,68.4,2.4
157,30,30.25,0.25
158,19,26.65,7.65
159,64,63.92,-0.08
160,43,36.85,-6.15
161,62,67.1,5.1
162,72,65.683,-6.317
163,35,39.965,4.965
164,30,34.2,4.2
165,18,21.433,3.433
166,30,40.267,10.267
167,69,71,2
168,30,41.267,11.267
169,52,44.183,-7.817
170,18,26.3,8.3
171,69,70.7,1.7
172,46,45.2,-0.8
173,63,65.7,2.7
174,57,56,-1
175,63,58.1,-4.9
176,66,64.8,-1.2
177,51,47.183,-3.817
178,30,34.917,4.917
179,69,67.1,-1.9
180,41,45.2,4.2
181,28,26.35,-1.65
182,55,57,2
183,37,42.35,5.35
184,64,63.1,-0.9
185,59,58.45,-0.55
186,61,67.217,6.217
187,37,37.35,0.35
188,72,70.667,-1.333
189,50,50.233,0.233
190,34,31.7,-2.3
191,46,45.35,-0.65
192,33,28,-5
193,24,16.217,-7.783
194,25,22.45,-2.55
195,66,62.45,-3.55
196,19,11.6,-7.4
197,68,68,0
198,60,51.453,-8.547
199,52,44.3,-7.7
200,63,65.8,2.8
201,37,35.367,-1.633
202,44,46.117,2.117
203,48,61.6,13.6
204,57,54.287,-2.713
205,12,15.2,3.2
206,30,30.417,0.417
207,68,66,-2
208,48,48.6,0.6
209,63,62.937,-0.063
210,21,29.4,8.4
211,46,40.2,-5.8
212,48,40.1,-7.9
213,79,73,-6
214,34,31.6,-2.4
215,21,26.1,5.1
216,48,54.253,6.253
217,55,58.167,3.167
218,35,39,4
219,27,24.95,-2.05
