inst#,actual,predicted,error
1,64,66.246,2.246
2,64,68.388,4.388
3,48,56.008,8.008
4,34,28.244,-5.756
5,45,55.095,10.095
6,73,69.336,-3.664
7,28,25.041,-2.959
8,51,51.891,0.891
9,63,62.894,-0.106
10,17,24.65,7.65
11,73,68.91,-4.09
12,48,44.14,-3.86
13,43,40.088,-2.912
14,70,69.336,-0.664
15,48,42.043,-5.957
16,41,28.237,-12.763
17,69,69.705,0.705
18,48,47.96,-0.04
19,55,43.536,-11.464
20,37,37.022,0.022
21,64,61.507,-2.493
22,62,57.083,-4.917
23,48,53.924,5.924
24,21,24.65,3.65
25,66,69.336,3.336
26,57,57.663,0.663
27,48,57.857,9.857
28,15,17.731,2.731
29,21,25.091,4.091
30,24,23.782,-0.218
31,66,64.416,-1.584
32,30,25.84,-4.16
33,27,27.485,0.485
34,64,63.455,-0.545
35,68,62.794,-5.206
36,35,25.783,-9.217
37,33,36.417,3.417
38,15,12.528,-2.472
39,17,25.658,8.658
40,66,64.007,-1.993
41,63,56.454,-6.546
42,54,54.172,0.172
43,43,40.541,-2.459
44,21,25.731,4.731
45,68,67.551,-0.449
46,30,31.278,1.278
47,54,47.235,-6.765
48,37,39.501,2.501
49,39,41.562,2.562
50,43,47.436,4.436
51,28,23.896,-4.104
52,42,37.361,-4.639
53,45,34.47,-10.53
54,51,43.213,-7.787
55,45,48.161,3.161
56,66,67.299,1.299
57,48,38.748,-9.252
58,60,57.455,-2.545
59,33,26.923,-6.077
60,34,25.991,-8.009
61,24,21.661,-2.339
62,27,25.48,-1.52
63,15,26.368,11.368
64,72,69.033,-2.967
65,66,67.37,1.37
66,53,45.677,-7.323
67,27,31.472,4.472
68,26,24.625,-1.375
69,28,25.599,-2.401
70,44,42.361,-1.639
71,62,62.377,0.377
72,57,52.415,-4.585
73,66,64.015,-1.985
74,32,36.181,4.181
75,48,44.992,-3.008
76,23,25.819,2.819
77,60,62.794,2.794
78,12,24.248,12.248
79,51,46.528,-4.472
80,51,41.013,-9.987
81,43,42.203,-0.797
82,21,12.55,-8.45
83,39,32.425,-6.575
84,71,70.61,-0.39
85,19,17.279,-1.721
86,68,66.551,-1.449
87,59,56.992,-2.008
88,66,65.35,-0.65
89,48,42.361,-5.639
90,69,63.951,-5.049
91,35,40.667,5.667
92,66,69.151,3.151
93,62,55.493,-6.507
94,10,8.48,-1.52
95,39,39.837,0.837
96,28,28.237,0.237
97,26,23.489,-2.511
98,3,17.67,14.67
99,33,30.342,-2.658
100,63,60.985,-2.015
101,61,62.794,1.794
102,21,23.749,2.749
103,72,68.756,-3.244
104,64,65.35,1.35
105,64,61.012,-2.988
106,18,10.073,-7.927
107,69,63.611,-5.389
108,57,60.529,3.529
109,21,27.485,6.485
110,30,27.631,-2.369
111,64,61.591,-2.409
112,57,60.507,3.507
113,63,62.52,-0.48
114,64,63.141,-0.859
115,69,64.982,-4.018
116,70,69.317,-0.683
117,70,66.271,-3.729
118,32,26.852,-5.148
119,36,40.541,4.541
120,18,21.955,3.955
121,37,39.727,2.727
122,63,59.543,-3.457
123,57,58.448,1.448
124,57,56.628,-0.372
125,68,65.444,-2.556
126,70,69.705,-0.295
127,14,16.929,2.929
128,28,23.782,-4.218
129,18,25.155,7.155
130,32,31.227,-0.773
131,21,23.782,2.782
132,36,28.733,-7.267
133,33,36.821,3.821
134,32,29.08,-2.92
135,46,42.851,-3.149
136,34,37.538,3.538
137,41,42.061,1.061
138,36,28.629,-7.371
139,42,47.999,5.999
140,36,35.453,-0.547
141,72,69.317,-2.683
142,46,48.633,2.633
143,46,46.713,0.713
144,54,57.388,3.388
145,70,64.439,-5.561
146,71,67.731,-3.269
147,42,38.36,-3.64
148,72,66.622,-5.378
149,35,37.491,2.491
150,68,64.25,-3.75
151,10,8.732,-1.268
152,66,57.443,-8.557
153,15,18.544,3.544
154,39,39.746,0.746
155,61,62.677,1.677
156,66,66.789,0.789
157,30,25.657,-4.343
158,19,31.446,12.446
159,64,64.416,0.416
160,43,39.137,-3.863
161,62,64.301,2.301
162,72,65.285,-6.715
163,35,38.789,3.789
164,30,29.032,-0.968
165,18,20.452,2.452
166,30,40.959,10.959
167,69,68.754,-0.246
168,30,42.084,12.084
169,52,42.568,-9.432
170,18,26.71,8.71
171,69,68.756,-0.244
172,46,42.289,-3.711
173,63,62.677,-0.323
174,57,49.207,-7.793
175,63,62.459,-0.541
176,66,65.323,-0.677
177,51,49.574,-1.426
178,30,32.786,2.786
179,69,66.622,-2.378
180,41,40.647,-0.353
181,28,23.064,-4.936
182,55,54.881,-0.119
183,37,42.203,5.203
184,64,63.057,-0.943
185,59,59.21,0.21
186,61,59.698,-1.302
187,37,37.487,0.487
188,72,69.705,-2.295
189,50,47.262,-2.738
190,34,39.058,5.058
191,46,42.353,-3.647
192,33,28.393,-4.607
193,24,20.452,-3.548
194,25,26.511,1.511
195,66,64.416,-1.584
196,19,11.446,-7.554
197,68,65.821,-2.179
198,60,52.415,-7.585
199,52,42.912,-9.088
200,63,64.437,1.437
201,37,38.264,1.264
202,44,46.753,2.753
203,48,57.3,9.3
204,57,58.365,1.365
205,12,12.318,0.318
206,30,25.113,-4.887
207,68,66.271,-1.729
208,48,54.636,6.636
209,63,62.652,-0.348
210,21,28.102,7.102
211,46,35.538,-10.462
212,48,38.183,-9.817
213,79,70.61,-8.39
214,34,35.982,1.982
215,21,21.543,0.543
216,48,59.419,11.419
217,55,56.229,1.229
218,35,39.357,4.357
219,27,21.87,-5.13
220,48,40.151,-7.849
221,21,25.155,4.155
222,64,64.416,0.416
223,57,59.693,2.693
224,62,62.384,0.384
225,37,28.528,-8.472
226,21,23.896,2.896
227,60,42.701,-17.299
228,70,70.457,0.457
229,59,57.786,-1.214
230,44,43.536,-0.464
231,28,44.163,16.163
232,64,56.424,-7.576
233,28,28.932,0.932
234,50,55.33,5.33
235,43,40.791,-2.209
236,43,39.357,-3.643
237,64,61.603,-2.397
238,42,48.49,6.49
239,48,56.735,8.735
240,43,35.061,-7.939
241,62,59.747,-2.253
242,8,18.372,10.372
243,48,43.293,-4.707
244,57,62.317,5.317
245,42,33.388,-8.612
246,71,65.821,-5.179
247,64,63.38,-0.62
248,21,35.29,14.29
249,33,35.453,2.453
250,25,34.361,9.361
251,10,22.979,12.979
252,43,40.463,-2.537
253,62,57.168,-4.832
254,39,40.689,1.689
255,61,64.716,3.716
256,46,41.781,-4.219
257,39,40.125,1.125
258,34,32.784,-1.216
259,23,28.58,5.58
260,41,40.125,-0.875
261,37,40.73,3.73
262,46,43.506,-2.494
263,57,61.408,4.408
264,21,25.318,4.318
265,34,31.34,-2.66
266,34,38.775,4.775
267,21,23.782,2.782
268,39,37.838,-1.162
269,53,56.405,3.405
270,30,29.148,-0.852
271,21,25.041,4.041
272,37,39.357,2.357
273,34,28.428,-5.572
274,28,28.932,0.932
275,63,67.557,4.557
276,10,12.318,2.318
277,50,56.314,6.314
278,45,45.832,0.832
279,55,58.442,3.442
280,61,62.468,1.468
281,64,68.756,4.756
282,17,22.043,5.043
283,39,39.795,0.795
284,34,33.333,-0.667
285,35,38.264,3.264
286,69,65.062,-3.938
287,39,38.789,-0.211
288,61,53.393,-7.607
289,44,40.541,-3.459
290,37,37.963,0.963
291,53,44.141,-8.859
292,21,27.594,6.594
293,55,61.333,6.333
294,39,40.73,1.73
295,55,59.419,4.419
296,25,23.27,-1.73
297,33,29.026,-3.974
298,46,40.046,-5.954
299,44,41.194,-2.806
300,30,34.455,4.455
301,55,63.211,8.211
302,48,51.054,3.054
303,54,58.713,4.713
304,36,38.236,2.236
305,27,25.468,-1.532
306,48,41.95,-6.05
307,39,41.815,2.815
308,24,20.452,-3.548
309,73,69.705,-3.295
310,9,16.929,7.929
311,28,26.842,-1.158
312,32,30.997,-1.003
313,17,19.374,2.374
314,34,41.832,7.832
315,48,42.183,-5.817
316,9,8.521,-0.479
317,69,66.919,-2.081
318,66,65.424,-0.576
319,72,68.413,-3.587
320,39,41.219,2.219
321,66,67.365,1.365
322,53,57.388,4.388
323,69,66.271,-2.729
324,3,18.372,15.372
325,66,59.283,-6.717
326,27,26.369,-0.631
327,64,63.97,-0.03
