inst#,actual,predicted,error
1,64,66.878,2.878
2,64,66.87,2.87
3,48,54.676,6.676
4,34,31.408,-2.592
5,45,52.902,7.902
6,73,69.927,-3.073
7,28,24.424,-3.576
8,51,50.002,-0.998
9,63,60.424,-2.576
10,17,23.156,6.156
11,73,69.552,-3.448
12,48,48.239,0.239
13,43,40.543,-2.457
14,70,70.432,0.432
15,48,41.859,-6.141
16,41,33.6,-7.4
17,69,69.649,0.649
18,48,52.313,4.313
19,55,49.472,-5.528
20,37,41.024,4.024
21,64,57.801,-6.199
22,62,57.127,-4.873
23,48,52.819,4.819
24,21,23.615,2.615
25,66,69.214,3.214
26,57,59.917,2.917
27,48,56.554,8.554
28,15,14.517,-0.483
29,21,26.908,5.908
30,24,19.762,-4.238
31,66,62.389,-3.611
32,30,27.909,-2.091
33,27,28.164,1.164
34,64,64.848,0.848
35,68,63.212,-4.788
36,35,27.692,-7.308
37,33,36.835,3.835
38,15,13.38,-1.62
39,17,23.147,6.147
40,66,62.875,-3.125
41,63,55.288,-7.712
42,54,52.003,-1.997
43,43,42.827,-0.173
44,21,24.505,3.505
45,68,68.972,0.972
46,30,30.357,0.357
47,54,50.7,-3.3
48,37,38.315,1.315
49,39,44.56,5.56
50,43,45.845,2.845
51,28,22.779,-5.221
52,42,38.331,-3.669
53,45,35.144,-9.856
54,51,48.666,-2.334
55,45,48.074,3.074
56,66,64.478,-1.522
57,48,42.413,-5.587
58,60,57.541,-2.459
59,33,32.206,-0.794
60,34,26.333,-7.667
61,24,21.19,-2.81
62,27,27.812,0.812
63,15,21.492,6.492
64,72,69.862,-2.138
65,66,69.329,3.329
66,53,51.502,-1.498
67,27,31.83,4.83
68,26,25.857,-0.143
69,28,24.588,-3.412
70,44,45.487,1.487
71,62,63.588,1.588
72,57,54.11,-2.89
73,66,64.996,-1.004
74,32,38.271,6.271
75,48,50.196,2.196
76,23,26.394,3.394
77,60,63.717,3.717
78,12,23.74,11.74
79,51,48.226,-2.774
80,51,44.068,-6.932
81,43,43.597,0.597
82,21,16.115,-4.885
