y1Date,y1MinTemp,y1MaxTemp,y1MinDew,y1MaxDew,,,y2Date,y2MinTemp,y2MaxTemp,y2MinDew,y2MaxDew,,,y3Date,y3MinTemp,y3MaxTemp,y3MinDew,y3MaxDew
19650101,30,37,16,22,,,19660101,48,62,44,50,,,19670101,26,34,20,30
19650102,30,45,22,40,,,19660102,39,48,38,44,,,19670102,30,42,20,33
19650103,30,41,6,28,,,19660103,37,48,14,45,,,19670103,28,41,21,32
19650104,27,44,4,22,,,19660104,27,46,13,19,,,19670104,30,41,24,37
19650105,23,55,15,25,,,19660105,21,43,13,35,,,19670105,26,33,12,24
19650106,28,46,21,31,,,19660106,37,45,35,44,,,19670106,21,34,13,20
19650107,21,48,20,38,,,19660107,30,48,26,38,,,19670107,28,45,19,36
19650108,39,59,38,47,,,19660108,19,42,0,33,,,19670108,37,50,35,46
19650109,41,62,36,54,,,19660109,15,33,-2,9,,,19670109,30,41,20,35
19650110,28,41,25,34,,,19660110,24,51,9,18,,,19670110,28,45,19,35
19650111,23,37,20,25,,,19660111,19,43,1,19,,,19670111,24,36,10,20
19650112,21,41,19,31,,,19660112,14,30,-4,4,,,19670112,21,41,10,19
19650113,18,39,18,34,,,19660113,18,33,3,21,,,19670113,28,53,14,28
19650114,10,37,3,27,,,19660114,26,41,16,23,,,19670114,37,46,24,40
19650115,9,21,1,18,,,19660115,21,37,12,23,,,19670115,37,46,23,40
19650116,16,21,9,17,,,19660116,19,32,2,22,,,19670116,28,37,7,23
19650117,1,16,-12,9,,,19660117,24,37,7,13,,,19670117,25,51,14,25
19650118,9,30,-3,13,,,19660118,17,35,5,10,,,19670118,17,37,-2,21
19650119,8,26,1,7,,,19660119,24,39,7,16,,,19670119,14,25,-1,16
19650120,21,43,8,23,,,19660120,30,46,16,21,,,19670120,12,42,10,28
19650121,19,41,15,24,,,19660121,23,42,13,22,,,19670121,23,46,20,34
19650122,21,57,18,41,,,19660122,21,37,12,34,,,19670122,30,57,29,45
19650123,30,44,30,37,,,19660123,33,36,19,33,,,19670123,28,72,28,52
19650124,32,35,31,34,,,19660124,24,32,7,17,,,19670124,44,73,40,54
19650125,30,45,27,34,,,19660125,21,28,7,14,,,19670125,46,75,41,54
19650126,28,53,27,42,,,19660126,21,25,8,17,,,19670126,45,70,38,49
19650127,25,44,8,35,,,19660127,18,28,2,17,,,19670127,39,54,34,51
19650128,17,45,8,23,,,19660128,9,19,-14,-2,,,19670128,32,39,16,33
19650129,19,39,-3,17,,,19660129,3,14,-14,7,,,19670129,30,37,8,18
19650130,10,18,-2,10,,,19660130,12,16,4,10,,,19670130,25,39,7,13
19650131,6,26,-3,9,,,19660131,5,24,-9,11,,,19670131,17,41,9,29
19650201,8,35,0,25,,,19660201,9,27,0,20,,,19670201,30,61,22,40
19650202,17,33,5,29,,,19660202,19,27,20,25,,,19670202,37,71,31,50
19650203,10,27,-5,4,,,19660203,14,30,10,19,,,19670203,28,37,13,31
19650204,10,30,-10,0,,,19660204,15,30,7,20,,,19670204,21,46,14,29
19650205,8,33,-7,11,,,19660205,12,28,3,13,,,19670205,32,46,20,28
19650206,27,64,12,27,,,19660206,3,27,-6,17,,,19670206,21,37,12,28
19650207,33,54,25,53,,,19660207,25,30,17,23,,,19670207,15,21,5,15
19650208,45,69,45,53,,,19660208,21,36,18,23,,,19670208,1,28,-4,12
19650209,37,53,31,47,,,19660209,18,35,14,26,,,19670209,3,33,-2,21
19650210,37,42,36,41,,,19660210,30,45,26,36,,,19670210,27,39,20,26
19650211,39,52,39,50,,,19660211,36,48,35,49,,,19670211,30,46,18,32
19650212,41,62,41,58,,,19660212,28,46,29,44,,,19670212,14,33,-3,17
19650213,33,55,15,41,,,19660213,37,54,36,54,,,19670213,8,32,-3,16
19650214,26,33,12,23,,,19660214,37,52,25,35,,,19670214,19,55,13,35
19650215,18,39,15,22,,,19660215,36,46,20,32,,,19670215,45,60,29,37
19650216,23,50,19,30,,,19660216,30,37,23,36,,,19670216,33,61,12,44
19650217,34,46,26,34,,,19660217,28,39,7,38,,,19670217,24,32,12,20
19650218,32,52,19,34,,,19660218,24,44,8,22,,,19670218,21,30,14,23
19650219,18,39,-3,28,,,19660219,23,46,11,31,,,19670219,15,35,11,26
19650220,12,30,-8,4,,,19660220,10,24,-10,8,,,19670220,25,39,20,34
19650221,26,57,6,30,,,19660221,12,33,-3,10,,,19670221,25,36,11,33
19650222,19,42,-3,34,,,19660222,18,37,8,16,,,19670222,18,37,9,26
19650223,19,33,-1,14,,,19660223,21,37,14,20,,,19670223,27,37,5,32
19650224,21,41,13,35,,,19660224,27,30,20,29,,,19670224,16,27,1,12
19650225,27,57,13,57,,,19660225,28,39,21,30,,,19670225,10,21,-5,1
19650226,21,30,5,12,,,19660226,26,39,19,23,,,19670226,15,33,0,6
19650227,19,42,2,22,,,19660227,21,43,17,24,,,19670227,12,42,5,25
19650228,25,62,21,39,,,19660228,33,48,21,48,,,19670228,28,46,9,31
19650301,33,53,17,32,,,19660301,37,53,15,46,,,19670301,19,33,-4,10
19650302,28,48,20,28,,,19660302,36,54,14,21,,,19670302,15,55,0,27
19650303,34,48,28,36,,,19660303,30,63,21,40,,,19670303,45,73,26,38
19650304,35,55,27,38,,,19660304,46,57,40,56,,,19670304,34,52,18,36
19650305,32,46,27,44,,,19660305,39,55,30,55,,,19670305,34,39,30,37
19650306,28,39,22,27,,,19660306,28,41,7,26,,,19670306,39,43,35,40
19650307,30,50,25,34,,,19660307,24,37,8,17,,,19670307,33,42,20,36
19650308,39,50,30,36,,,19660308,24,37,11,12,,,19670308,27,45,18,26
19650309,37,50,30,37,,,19660309,19,44,10,18,,,19670309,30,61,18,39
19650310,30,45,15,30,,,19660310,21,57,13,26,,,19670310,30,71,25,43
19650311,28,41,12,18,,,19660311,33,55,22,34,,,19670311,45,73,41,56
19650312,21,43,13,19,,,19660312,37,61,30,36,,,19670312,39,57,28,48
19650313,25,45,8,15,,,19660313,41,59,34,42,,,19670313,37,43,28,40
19650314,23,48,13,31,,,19660314,37,48,33,39,,,19670314,44,75,40,62
19650315,33,46,19,33,,,19660315,39,57,7,41,,,19670315,35,55,31,45
19650316,28,57,20,31,,,19660316,28,46,6,15,,,19670316,30,41,17,31
19650317,30,37,18,32,,,19660317,23,54,13,27,,,19670317,23,36,1,26
19650318,33,41,32,38,,,19660318,30,69,20,35,,,19670318,17,30,-5,4
19650319,33,46,11,38,,,19660319,43,59,34,45,,,19670319,15,35,0,13
19650320,21,33,11,25,,,19660320,37,52,22,38,,,19670320,25,39,13,23
19650321,9,36,5,18,,,19660321,30,57,20,29,,,19670321,33,35,24,31
19650322,23,51,13,26,,,19660322,42,78,31,47,,,19670322,32,45,26,35
19650323,41,63,19,50,,,19660323,46,69,40,49,,,19670323,34,39,28,34
19650324,42,48,30,42,,,19660324,34,53,27,48,,,19670324,35,46,22,35
19650325,35,41,32,37,,,19660325,28,45,14,24,,,19670325,27,57,20,30
19650326,35,46,33,41,,,19660326,25,55,15,29,,,19670326,34,60,25,37
19650327,32,48,20,41,,,19660327,28,43,10,20,,,19670327,35,51,27,38
19650328,26,57,20,36,,,19660328,24,41,7,11,,,19670328,41,55,35,47
19650329,43,61,37,56,,,19660329,23,52,7,14,,,19670329,46,57,31,48
19650330,36,48,15,43,,,19660330,30,60,15,37,,,19670330,34,60,25,35
19650331,28,44,8,15,,,19660331,35,50,16,35,,,19670331,35,64,26,41
19650401,25,46,10,30,,,19660401,34,62,17,29,,,19670401,37,75,30,47
19650402,36,43,21,36,,,19660402,37,50,21,28,,,19670402,48,86,41,55
19650403,28,53,9,17,,,19660403,30,57,22,35,,,19670403,48,81,19,54
19650404,21,55,8,17,,,19660404,39,48,22,38,,,19670404,35,51,15,27
19650405,28,64,13,24,,,19660405,32,51,19,25,,,19670405,36,59,27,47
19650406,39,51,23,37,,,19660406,30,53,19,29,,,19670406,50,79,46,61
19650407,41,46,36,41,,,19660407,32,55,20,34,,,19670407,46,64,35,55
19650408,43,77,39,48,,,19660408,34,53,18,30,,,19670408,42,57,30,35
19650409,45,57,29,51,,,19660409,32,51,24,35,,,19670409,37,57,32,40
19650410,37,62,28,36,,,19660410,33,50,19,28,,,19670410,46,73,31,58
19650411,41,57,31,44,,,19660411,32,57,21,32,,,19670411,35,53,12,31
19650412,50,79,34,52,,,19660412,39,48,31,38,,,19670412,30,54,11,20
