@relation wekaTrainingYear3Only

@attribute ﻿y3Date numeric
@attribute y3MinTemp numeric
@attribute y3MaxTemp numeric
@attribute y3MinDew numeric
@attribute y3MaxDew numeric

@data
19670101,26,34,20,30
19670102,30,42,20,33
19670103,28,41,21,32
19670104,30,41,24,37
19670105,26,33,12,24
19670106,21,34,13,20
19670107,28,45,19,36
19670108,37,50,35,46
19670109,30,41,20,35
19670110,28,45,19,35
19670111,24,36,10,20
19670112,21,41,10,19
19670113,28,53,14,28
19670114,37,46,24,40
19670115,37,46,23,40
19670116,28,37,7,23
19670117,25,51,14,25
19670118,17,37,-2,21
19670119,14,25,-1,16
19670120,12,42,10,28
19670121,23,46,20,34
19670122,30,57,29,45
19670123,28,72,28,52
19670124,44,73,40,54
19670125,46,75,41,54
19670126,45,70,38,49
19670127,39,54,34,51
19670128,32,39,16,33
19670129,30,37,8,18
19670130,25,39,7,13
19670131,17,41,9,29
19670201,30,61,22,40
19670202,37,71,31,50
19670203,28,37,13,31
19670204,21,46,14,29
19670205,32,46,20,28
19670206,21,37,12,28
19670207,15,21,5,15
19670208,1,28,-4,12
19670209,3,33,-2,21
19670210,27,39,20,26
19670211,30,46,18,32
19670212,14,33,-3,17
19670213,8,32,-3,16
19670214,19,55,13,35
19670215,45,60,29,37
19670216,33,61,12,44
19670217,24,32,12,20
19670218,21,30,14,23
19670219,15,35,11,26
19670220,25,39,20,34
19670221,25,36,11,33
19670222,18,37,9,26
19670223,27,37,5,32
19670224,16,27,1,12
19670225,10,21,-5,1
19670226,15,33,0,6
19670227,12,42,5,25
19670228,28,46,9,31
19670301,19,33,-4,10
19670302,15,55,0,27
19670303,45,73,26,38
19670304,34,52,18,36
19670305,34,39,30,37
19670306,39,43,35,40
19670307,33,42,20,36
19670308,27,45,18,26
19670309,30,61,18,39
19670310,30,71,25,43
19670311,45,73,41,56
19670312,39,57,28,48
19670313,37,43,28,40
19670314,44,75,40,62
19670315,35,55,31,45
19670316,30,41,17,31
19670317,23,36,1,26
19670318,17,30,-5,4
19670319,15,35,0,13
19670320,25,39,13,23
19670321,33,35,24,31
19670322,32,45,26,35
19670323,34,39,28,34
19670324,35,46,22,35
19670325,27,57,20,30
19670326,34,60,25,37
19670327,35,51,27,38
19670328,41,55,35,47
19670329,46,57,31,48
19670330,34,60,25,35
19670331,35,64,26,41
19670401,37,75,30,47
19670402,48,86,41,55
19670403,48,81,19,54
19670404,35,51,15,27
19670405,36,59,27,47
19670406,50,79,46,61
19670407,46,64,35,55
19670408,42,57,30,35
19670409,37,57,32,40
19670410,46,73,31,58
19670411,35,53,12,31
19670412,30,54,11,20
19670413,34,54,22,34
19670414,46,78,32,54
19670415,57,84,44,61
19670416,50,80,39,52
19670417,44,51,39,49
19670418,48,64,35,54
19670419,46,54,32,35
19670420,37,68,29,38
19670421,46,68,36,53
19670422,60,82,28,62
19670423,46,66,25,35
19670424,42,54,24,49
19670425,37,55,19,23
19670426,35,55,23,46
19670427,39,50,28,42
19670428,43,60,20,25
19670429,41,64,19,31
19670430,48,71,31,38
19670501,46,78,35,52
19670502,57,84,49,61
19670503,46,64,28,50
19670504,37,63,28,41
19670505,44,72,38,50
19670506,44,59,39,52
19670507,44,50,40,47
19670508,42,63,34,48
19670509,43,60,34,44
19670510,45,63,31,38
19670511,43,73,33,59
19670512,51,64,37,47
19670513,42,55,29,41
19670514,48,55,42,51
19670515,54,75,47,67
19670516,42,64,31,45
19670517,37,66,29,45
19670518,43,75,39,53
19670519,53,81,46,60
19670520,57,75,37,60
19670521,48,61,32,45
19670522,46,57,44,53
19670523,48,64,41,48
19670524,46,64,29,41
19670525,43,70,31,42
19670526,43,72,36,44
19670527,48,79,36,48
19670528,62,79,49,56
19670529,54,63,50,57
19670530,51,69,39,53
19670531,53,68,35,48
19670601,44,72,39,51
19670602,48,79,43,54
19670603,50,82,40,51
19670604,51,80,47,61
19670605,54,82,50,61
19670606,54,81,49,61
19670607,53,84,49,61
19670608,57,82,49,62
19670609,57,88,52,63
19670610,61,90,53,64
19670611,62,91,56,65
19670612,57,91,55,65
19670613,64,93,59,69
19670614,63,75,58,62
19670615,66,87,61,67
19670616,68,93,64,71
19670617,68,90,64,71
19670618,70,82,64,73
19670619,64,75,58,69
19670620,61,84,48,57
19670621,59,91,53,68
19670622,70,84,64,71
19670623,69,88,67,73
19670624,72,91,65,70
19670625,71,89,52,72
19670626,59,80,47,55
19670627,57,82,46,58
19670628,57,81,49,59
19670629,57,75,50,61
19670630,66,75,61,68
19670701,66,86,64,70
19670702,64,86,62,71
19670703,69,84,56,72
19670704,57,78,53,60
19670705,55,77,51,57
19670706,62,78,54,61
19670707,64,80,56,64
19670708,66,77,58,70
19670709,70,87,69,73
19670710,70,91,68,74
19670711,73,86,68,72
19670712,71,91,66,70
19670713,72,84,62,69
19670714,64,80,60,69
19670715,66,78,58,70
19670716,61,82,55,63
19670717,63,82,58,65
19670718,66,82,62,68
19670719,64,84,57,70
19670720,66,84,61,69
19670721,63,81,60,68
19670722,63,84,59,66
19670723,66,90,63,70
19670724,70,91,65,72
19670725,73,89,66,73
19670726,71,87,62,71
19670727,68,88,65,72
19670728,69,84,65,74
19670729,66,80,63,70
19670730,70,82,65,70
19670731,64,84,63,74
19670801,66,89,63,68
19670802,66,82,63,72
19670803,72,91,68,74
19670804,68,84,66,76
19670805,68,79,67,73
19670806,66,82,63,69
19670807,64,82,62,71
19670808,68,82,63,71
19670809,66,87,66,75
19670810,68,82,59,73
19670811,62,77,50,60
19670812,64,75,54,58
19670813,64,73,58,62
19670814,57,81,55,64
19670815,57,82,56,65
19670816,61,82,58,65
19670817,61,84,59,67
19670818,66,88,64,71
19670819,69,84,68,73
19670820,66,80,65,73
19670821,64,75,62,66
19670822,68,82,63,71
19670823,63,71,61,68
19670824,63,68,60,67
19670825,64,80,65,74
19670826,68,82,67,75
19670827,70,82,69,76
19670828,64,75,56,69
19670829,62,81,57,63
19670830,61,82,59,70
19670831,62,80,53,70
19670901,55,72,43,52
19670902,54,71,43,53
19670903,46,75,43,53
19670904,55,80,51,62
19670905,57,81,56,64
19670906,59,82,55,62
19670907,62,82,59,63
19670908,60,82,59,68
19670909,61,79,58,68
19670910,55,66,45,64
19670911,46,66,42,47
19670912,44,69,41,51
19670913,50,73,36,56
19670914,48,77,47,57
19670915,57,82,52,57
19670916,68,72,56,67
19670917,63,78,60,67
19670918,57,86,57,70
19670919,63,84,55,68
19670920,61,84,59,67
19670921,66,82,62,72
19670922,54,73,46,65
19670923,46,64,36,48
19670924,44,71,40,50
19670925,39,66,34,45
19670926,43,75,40,55
19670927,53,80,51,63
19670928,64,73,63,70
19670929,57,80,49,71
19670930,44,64,37,49
19671001,48,66,41,50
19671002,42,75,38,55
19671003,48,82,47,62
19671004,57,87,54,66
19671005,59,87,56,64
19671006,53,73,45,63
19671007,50,60,42,52
19671008,55,64,51,59
19671009,61,73,59,64
19671010,50,64,49,63
19671011,45,61,42,54
19671012,43,57,37,44
19671013,37,62,34,48
19671014,39,63,37,53
19671015,46,66,45,58
19671016,55,75,55,62
19671017,54,71,52,65
19671018,48,69,44,66
19671019,43,57,33,44
19671020,33,61,29,40
19671021,39,66,24,46
19671022,36,62,28,38
19671023,35,64,32,49
19671024,36,62,34,56
19671025,43,69,42,61
19671026,39,57,30,42
19671027,39,64,33,49
19671028,37,55,26,45
19671029,32,57,25,36
19671030,30,57,26,38
19671031,35,57,30,42
19671101,42,64,36,50
19671102,53,57,50,56
19671103,43,64,42,53
19671104,36,57,26,53
19671105,28,45,14,29
19671106,24,42,15,24
19671107,28,42,14,19
19671108,26,46,16,26
19671109,26,59,17,28
19671110,34,60,26,37
19671111,35,64,30,46
19671112,52,73,35,44
19671113,43,54,25,36
19671114,35,46,23,29
19671115,26,42,1,28
19671116,21,37,2,12
19671117,28,46,14,35
19671118,39,60,23,42
19671119,37,51,20,30
19671120,34,44,16,22
19671121,32,39,19,33
19671122,39,48,34,45
19671123,34,48,21,44
